"","1642.MS00491","1642.MS00444","1642.MS00457","2382.MU002.C3.HA.1.678.root.9.12.lane7.NoIndex.L007.sequences","2382.DPOO1.C1.HA.3.438.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00488","1001.SKD7","1642.MS00496","2382.MU002.C3.HA.3.687.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00446","2382.SH004.C1.RH.1.602.rhizo.9.12.lane7.NoIndex.L007.sequences","2382.SH007.C6.RH.3.512.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00363","1642.MS00357","2382.HE003.C181.HA.4.368.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00458","2382.SH004.C1.RH.4.617.rhizo.9.12.lane7.NoIndex.L007.sequences","2382.DPOO1.C1.HA.3.31.root.6.11.lane1.NoIndex.L001.sequences","1642.MS00632","2382.SH005.C3.RH.4.467.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00495","2382.HE003.C181.HA.3.363.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00571","1642.MS00577","2382.SH004.C1.RH.2.608.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00341","2382.SH008.C6.HA.4.343.root.9.11.lane1.NoIndex.L001.sequences","2382.RU006.C181.RH.3.788.root.9.12.lane7.NoIndex.L007.sequences","2382.GM.181.R5.root.10.12.lane7.NoIndex.L007.sequences","2382.SH005.C3.RH.2.457.rhizo.4.12.lane7.NoIndex.L007.sequences","2382.MU002.C3.HA.3.487.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00344","2382.HE003.C181.HA.4.135.root.6.11.lane1.NoIndex.L001.sequences","1642.MS00540","1642.MS00405","2382.HE003.C181.HA.5.773.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00376","2382.MU002.C3.HA.5.79.root.6.11.lane1.NoIndex.L001.sequences","2382.RU006.C181.RH.2.147.root.6.11.lane1.NoIndex.L001.sequences","1642.MS00531"
"1642.MS00495",0.0269264564554,0.0230463923414,0.0231708068775,0.1101384403388,0.1061201693517,0.0213309270814,0.1439389999176,0.0211109111821,0.0959125954283,0.0260439415943,0.0979072130704,0.0963213884272,0.0251881771293,0.0297836547556,0.0980059687813,0.0251137140541,0.0977599736044,0.1026314652504,0.0235275598152,0.0936858655153,0,0.0963398294828,0.0221111821772,0.0205601025576,0.1279548143539,0.0334277117204,0.098425837219,0.1105884141383,0.1088112321826,0.0981259895788,0.1028535945734,0.0306910781222,0.1046065935132,0.0216684350472,0.0235087018861,0.1094399285097,0.0385876489387,0.0985394154225,0.1014973446364,0.0223613771967
"2382.HE003.C181.HA.3.363.root.9.11.lane1.NoIndex.L001.sequences",0.0899078033625,0.0994639803702,0.0864015599342,0.036734761435,0.0264247552631,0.1054444921441,0.0696950726576,0.0845724860691,0.0417346284009,0.0908647788221,0.0387894251752,0.0413764109949,0.0700700572762,0.0799869682571,0.02111263053,0.0898312218946,0.0332472466241,0.0210396546779,0.0927232353132,0.0344996709827,0.0963398294828,0,0.0908999799818,0.0896248676042,0.0275127462987,0.0788245522555,0.0236459067984,0.027832676261,0.0293713911951,0.0390352649183,0.0615903246239,0.0775450594163,0.0123815905643,0.0980591635688,0.0821670455528,0.0179885677027,0.0896189396455,0.0230909679193,0.0205675148425,0.1004220418666
"1642.MS00571",0.027284677048,0.0250098270852,0.0220848881822,0.0999221208125,0.093030002076,0.0239566835858,0.1314659536526,0.0214779959006,0.0895365595045,0.0257322748954,0.0976309121647,0.0880017416712,0.0248608446486,0.0287244363558,0.0931705116143,0.0253103040104,0.0887191903337,0.094897094541,0.0242217318578,0.0867312759659,0.0221111821772,0.0908999799818,0,0.0209614148645,0.1136078796994,0.0322028848277,0.0921197014925,0.1007458410482,0.099215350784,0.0899201080846,0.1086369044944,0.0303104641432,0.0964020209511,0.0232331066559,0.0238667380155,0.1009586024939,0.0376568684998,0.0904219194144,0.0947040153539,0.0237718920575
"1642.MS00577",0.0275578931838,0.023663644718,0.0209144567046,0.0993727243521,0.0932111579818,0.0215857023859,0.1413819757629,0.0212034732519,0.0927411508045,0.0253613985211,0.0961798613131,0.0900451706732,0.0258377785111,0.0289043948571,0.0897629759901,0.0247811475611,0.0909645851008,0.0946123122844,0.0202389875224,0.0888447191508,0.0205601025576,0.0896248676042,0.0209614148645,0,0.1148411131672,0.0326285616553,0.0906819809728,0.0983306318806,0.0980902190791,0.0920975977922,0.104836573149,0.030407297686,0.0951877597118,0.0225461970899,0.0219506748594,0.1000877122743,0.0380016337539,0.0878902537393,0.0929440562122,0.0216761446944
"2382.SH004.C1.RH.2.608.root.9.12.lane7.NoIndex.L007.sequences",0.1184855927239,0.1251325865873,0.1142942692376,0.0211599914938,0.0217924638805,0.1340535891503,0.0800412685175,0.1152614665248,0.0614087653583,0.1220029337121,0.0551990627047,0.061627292433,0.1004425209301,0.1083652143904,0.0404403205554,0.1150135469631,0.0491104715493,0.0167873041625,0.121777747205,0.0559888149492,0.1279548143539,0.0275127462987,0.1136078796994,0.1148411131672,0,0.1050944239518,0.0331865961437,0.0408883220339,0.0370010599902,0.0559835145003,0.0765590811753,0.0992521585986,0.0252338962898,0.1264016718758,0.1142410555385,0.018083275373,0.1169486243078,0.0284986881644,0.0337539789905,0.1305186114282
"1642.MS00341",0.0378566669145,0.0310650993196,0.029605488892,0.0905792612643,0.0853215204759,0.0359694265179,0.1230691036786,0.0315978026006,0.0866186816124,0.0352486522761,0.0828404264029,0.0850086131052,0.0213728711788,0.0162179333776,0.0800286086686,0.0308552369486,0.0841083122669,0.0863965996933,0.0379444862148,0.080621216274,0.0334277117204,0.0788245522555,0.0322028848277,0.0326285616553,0.1050944239518,0,0.080195181385,0.0893095570259,0.079274269032,0.0843454852729,0.0922842671702,0.0162656770879,0.0843136456918,0.0362480640989,0.0254801375795,0.0920408342027,0.0214642246578,0.0773099752084,0.0840279594333,0.0351850365948
"2382.SH008.C6.HA.4.343.root.9.11.lane1.NoIndex.L001.sequences",0.0910400988706,0.098691469047,0.0883098597751,0.0372316210846,0.0253281010554,0.1067648004208,0.0749827305451,0.0886104436311,0.0334444651154,0.0907679793661,0.0356981229963,0.0340908544052,0.0707911342676,0.0802231645435,0.0267653403972,0.0906749535837,0.027329214767,0.023040173961,0.0968112851743,0.0266806373336,0.098425837219,0.0236459067984,0.0921197014925,0.0906819809728,0.0331865961437,0.080195181385,0,0.0388703124296,0.0402556686472,0.0299989304185,0.0488835296197,0.079461074674,0.0277863516278,0.0999174534162,0.0850763447694,0.029101387642,0.092500458864,0.0213389454921,0.0293695607489,0.1024358753616
"2382.RU006.C181.RH.3.788.root.9.12.lane7.NoIndex.L007.sequences",0.0956026581124,0.107526213861,0.0965592460828,0.034048823855,0.0317497935622,0.1168403688319,0.0801406401037,0.0930986129742,0.0495848414137,0.102210672919,0.0454124373438,0.0504608950896,0.0786470143256,0.0916067161452,0.0341990409289,0.0991908363225,0.0486606074157,0.0312683083004,0.1040469026272,0.0478659704264,0.1105884141383,0.027832676261,0.1007458410482,0.0983306318806,0.0408883220339,0.0893095570259,0.0388703124296,0,0.0296699472072,0.0549948335335,0.0631394479111,0.086540313752,0.0259704019176,0.1101891959823,0.092093731774,0.0244221274232,0.0985651107303,0.0325593645748,0.0181346187873,0.1127411912668
"2382.GM.181.R5.root.10.12.lane7.NoIndex.L007.sequences",0.1110896812715,0.1080217244687,0.1066995064638,0.0501450848662,0.0408020425165,0.1251863489701,0.0605124495635,0.0964577276208,0.0654504959903,0.1110916436696,0.0591670285898,0.0686356549709,0.0777033023772,0.0824216044771,0.0292691545079,0.1047725218622,0.0613670730691,0.0321724497815,0.1124685983305,0.0613368241676,0.1088112321826,0.0293713911951,0.099215350784,0.0980902190791,0.0370010599902,0.079274269032,0.0402556686472,0.0296699472072,0,0.0636317684652,0.0794283599565,0.0779625977376,0.0338654254922,0.107572340803,0.0913447436687,0.0330466434613,0.0907038978351,0.0348453161271,0.0339968997515,0.1128652605081
"2382.SH005.C3.RH.2.457.rhizo.4.12.lane7.NoIndex.L007.sequences",0.0914313286912,0.0998886679191,0.0870200237458,0.046455913987,0.0416905639991,0.1127283763484,0.0911656445351,0.0875099113335,0.035449783147,0.089794554596,0.0291282330451,0.0208862587513,0.0717335396253,0.0860383963208,0.0440260205922,0.0876438810453,0.0211770359839,0.03925094858,0.0969293747046,0.0183417623876,0.0981259895788,0.0390352649183,0.0899201080846,0.0920975977922,0.0559835145003,0.0843454852729,0.0299989304185,0.0549948335335,0.0636317684652,0,0.0364699779284,0.0856451539362,0.0442998644985,0.0969258343982,0.0841071019683,0.0482801426548,0.0979881684841,0.037711770695,0.0432211737816,0.102831392721
"2382.MU002.C3.HA.3.487.rhizo.4.12.lane7.NoIndex.L007.sequences",0.0877501123678,0.1054852724901,0.0895700922224,0.0517486001844,0.0456495453529,0.1098259217704,0.1194550631143,0.0941191450005,0.0251096969191,0.088678820599,0.0310817887577,0.0353652366877,0.0909980862959,0.0932977295592,0.0692601199709,0.0872440426281,0.0330453012583,0.0613754930697,0.0950070165952,0.0302837403433,0.1028535945734,0.0615903246239,0.1086369044944,0.104836573149,0.0765590811753,0.0922842671702,0.0488835296197,0.0631394479111,0.0794283599565,0.0364699779284,0,0.0924804053719,0.0625328623971,0.1000320141318,0.0862898246659,0.0623520520381,0.1007334572504,0.0473895303606,0.0547111973438,0.1045276076416
"1642.MS00344",0.0368920846452,0.0279623403057,0.0264518928416,0.0874064174811,0.0833089436316,0.0329585552488,0.1216090729197,0.0295313465922,0.0840722604327,0.0329732000568,0.0832398675494,0.0847191590096,0.0201147487366,0.0160630812348,0.0803106609975,0.0307822386417,0.0847894310813,0.0860699180557,0.0346050228395,0.0810997432788,0.0306910781222,0.0775450594163,0.0303104641432,0.030407297686,0.0992521585986,0.0162656770879,0.079461074674,0.086540313752,0.0779625977376,0.0856451539362,0.0924804053719,0,0.0795417466652,0.0338601946831,0.0236206714218,0.0885823458675,0.0215856188974,0.0754050061247,0.0801528272923,0.032342041721
