"","2382.SH005.C3.RH.4.667.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00631","1642.MS00593","1642.MS00525","2382.MU002.C3.HA.1.63.root.6.11.lane1.NoIndex.L001.sequences","2382.MU002.C3.HA.3.688.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00399","1642.MS00356","1642.MS00554","1642.MS00601","1642.MS00449","2382.MU002.C3.HA.3.71.root.6.11.lane1.NoIndex.L001.sequences","2382.MU002.C3.HA.1.478.root.4.12.lane7.NoIndex.L007.sequences","2382.SH007.C6.RH.2.708.root.9.12.lane7.NoIndex.L007.sequences","1001.SKD7","1642.MS00493","1642.MS00397","1642.MS00613","1642.MS00611","2382.DPOO1.C1.HA.1.427.rhizo.4.12.lane7.NoIndex.L007.sequences","1001.SKB7","1642.MS00394","1642.MS00595","2382.HE003.C181.HA.4.368.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00426","1642.MS00547","1642.MS00597","1642.MS00377","2382.HE003.C181.HA.2.558.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00447","2382.DPOO1.C1.HA.3.238.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00629","2382.GM.181.R5.rhizo.10.12.lane7.NoIndex.L007.sequences","1642.MS00577","1642.MS00585","1642.MS00459","1642.MS00519","2382.GM.181.R2.root.10.12.lane7.NoIndex.L007.sequences","2382.SH007.C6.RH.3.513.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00483"
"1001.SKB7",0.1167156555896,0.1865445301257,0.1857415212451,0.164617459119,0.0998558124128,0.0963448334263,0.1513289703847,0.1229958849934,0.1652854544609,0.1771009685245,0.167438396275,0.0967028158389,0.1074744383976,0.0832538578765,0.0281649659966,0.1706156650237,0.1459760024835,0.1748990501735,0.1769422897232,0.1390594344047,0,0.1632504273856,0.1507546370719,0.0705167456219,0.1566522314533,0.1730117576828,0.1675692473456,0.1396907165879,0.0999950431978,0.1732419387868,0.0908265167445,0.1597185476375,0.1325170570966,0.1626195217273,0.1775055854431,0.173495362029,0.1697069089071,0.0948128609768,0.0867038911016,0.1722785023822
"1642.MS00394",0.0799453943967,0.0309979744594,0.0305354640225,0.0251358084737,0.0945312322303,0.1039376217972,0.0244804893209,0.033393634879,0.0285481644658,0.0259786138679,0.0231332216103,0.0932629123818,0.1006463043887,0.1135759973799,0.1470802295979,0.0222091857399,0.0210380523022,0.0358740807027,0.0281772927802,0.0800637673093,0.1632504273856,0,0.0313718252899,0.0909020522838,0.0234515520621,0.0254235344512,0.0255582633549,0.0276350283696,0.100617865826,0.0300807337633,0.0885382708586,0.0270184309384,0.0697636182144,0.0235736576639,0.0262322416496,0.0222135253189,0.0290641219382,0.1147889260794,0.0965171410671,0.0262136884642
"1642.MS00595",0.0740817692789,0.0348753092953,0.0240329192039,0.0256580839003,0.0767228897138,0.0845501564821,0.0305439806541,0.0430600917834,0.0251539438423,0.0274226585449,0.0300461577814,0.0796633950741,0.0909292695943,0.1029626212828,0.1378055198935,0.0283348213871,0.0270974373994,0.0396539244397,0.0268475794861,0.0742947720742,0.1507546370719,0.0313718252899,0,0.0752552735614,0.0305287771778,0.0274215114717,0.0273160777253,0.040625078216,0.0901639853213,0.0363892978913,0.0788602751601,0.0292553714307,0.0648768685838,0.0258954836554,0.0234567144721,0.0264821360054,0.0285130780437,0.1019170031499,0.0855801372363,0.0297493159304
"2382.HE003.C181.HA.4.368.root.9.11.lane1.NoIndex.L001.sequences",0.0417574412382,0.1039428849576,0.1083751726339,0.0949625879241,0.0310896979899,0.03039044741,0.0864657398118,0.0728442420008,0.0967115564904,0.0962615522456,0.0936166062388,0.0327637427268,0.0428929542811,0.0347774248201,0.0759594171958,0.0901089168693,0.0785672899037,0.1098019993782,0.0907130627536,0.0501309465666,0.0705167456219,0.0909020522838,0.0752552735614,0,0.0819540161095,0.0928302523398,0.0906121676807,0.0861742720702,0.0315088886568,0.1049767919865,0.0347737008422,0.0850612699835,0.0459099207549,0.0877133748295,0.0908468334136,0.0938420229502,0.0943277105655,0.0409112225514,0.0251575258802,0.1001434617178
"1642.MS00426",0.0773576206977,0.0336995750191,0.0308210719792,0.0252456086984,0.0817052372016,0.0877284004798,0.0251093622084,0.0282903263284,0.0278982867211,0.0272080705522,0.0259048253246,0.0837866163012,0.0934054427066,0.1031944164781,0.1415691586178,0.0251483023217,0.0219189819128,0.0394165046948,0.0321561843241,0.077529758556,0.1566522314533,0.0234515520621,0.0305287771778,0.0819540161095,0,0.02659819589,0.0269125503815,0.0246165355018,0.090066480115,0.0323137316504,0.0829227061196,0.0296285021239,0.0655290627823,0.0250218045895,0.0292980250146,0.0256024826533,0.0295086519264,0.1026411580723,0.0869457571695,0.0279087576278
"1642.MS00547",0.0864152883139,0.0328044784446,0.0247812344274,0.0221779322381,0.0920930722805,0.0974534476439,0.0251034520122,0.0446490992912,0.0235811462202,0.0234152037726,0.0223913721725,0.09406748046,0.1025041479045,0.1155611910825,0.1537588445956,0.0219548562118,0.0228450874963,0.0329807680794,0.024323578546,0.087625354837,0.1730117576828,0.0254235344512,0.0274215114717,0.0928302523398,0.02659819589,0,0.0221538966047,0.0358164788119,0.1046182792871,0.0298458102844,0.0937364804216,0.0258313432867,0.0708709480378,0.0202008542733,0.0209787501341,0.0211670996757,0.0241891314554,0.1144839044105,0.0992030751309,0.0232928398681
"1642.MS00597",0.0827355185818,0.0270922737506,0.025251182406,0.0211266018774,0.0857075472809,0.0929904285202,0.0261702620189,0.0445736576702,0.0243219606361,0.0207154933418,0.0236194466658,0.0890536101543,0.0978705974364,0.1073122103755,0.1581538518801,0.0215850157033,0.0241336906507,0.0271762879126,0.0246048702697,0.0816549461633,0.1675692473456,0.0255582633549,0.0273160777253,0.0906121676807,0.0269125503815,0.0221538966047,0,0.037753411417,0.0972627582698,0.0298305183127,0.0853554511236,0.0241898738441,0.0713880603878,0.0218370693882,0.022429611591,0.0217870787579,0.0236375722016,0.1090676243786,0.0923272538936,0.0231447537703
"1642.MS00377",0.0895267100104,0.0421941758328,0.0375604101707,0.0368832873178,0.0885547172498,0.0932200635668,0.024535426671,0.0230580216605,0.0343022096309,0.0389305521054,0.0317173324551,0.0919848913047,0.1060260947989,0.1115968296061,0.1363213877413,0.0343994247826,0.0244324571649,0.0486310151669,0.0427912561555,0.0903662720173,0.1396907165879,0.0276350283696,0.040625078216,0.0861742720702,0.0246165355018,0.0358164788119,0.037753411417,0,0.1019886801708,0.034463092722,0.0882219865562,0.0412095184801,0.0735499057301,0.0335802861297,0.0410023870908,0.0317484044652,0.0351637437229,0.1090436760332,0.0930095900893,0.0336369938804
"2382.HE003.C181.HA.2.558.root.4.12.lane7.NoIndex.L007.sequences",0.0453233988599,0.1003491985763,0.1168755050985,0.1040055231686,0.0259787531656,0.0204213748418,0.099200403791,0.0873442340749,0.1113028393952,0.1054140743442,0.1065667167828,0.0225026808348,0.0271094450376,0.0206420828454,0.0958221532675,0.0974182237898,0.090815591158,0.1164019971753,0.1023775636153,0.0499120507954,0.0999950431978,0.100617865826,0.0901639853213,0.0315088886568,0.090066480115,0.1046182792871,0.0972627582698,0.1019886801708,0,0.119825769494,0.0236914711709,0.0918431394185,0.0459466666507,0.0993629838003,0.1009019065854,0.1038987521108,0.1096325788968,0.0181825549079,0.01837129859,0.1171980844291
"1642.MS00447",0.1036978906183,0.0445482396209,0.031687689913,0.0287439474154,0.1033041119464,0.1129726278417,0.0233190024367,0.0432549445909,0.0268328374753,0.0302035665029,0.0247134637224,0.107924333285,0.1181242364155,0.132193084184,0.1687738021596,0.0291333156925,0.0265126678059,0.0392164951426,0.0327716600681,0.101741196751,0.1732419387868,0.0300807337633,0.0363892978913,0.1049767919865,0.0323137316504,0.0298458102844,0.0298305183127,0.034463092722,0.119825769494,0,0.1060543979301,0.0383817643914,0.0937372090008,0.0292213948679,0.0323838593433,0.0294749749736,0.0265255008474,0.1352470765366,0.1120812198757,0.0266570338689
"2382.DPOO1.C1.HA.3.238.root.9.11.lane1.NoIndex.L001.sequences",0.040181686642,0.0859839317657,0.1049155443892,0.0891722936431,0.0244949676541,0.0266565008538,0.0880743983288,0.0758202627597,0.1001963857997,0.096829445827,0.0927017244022,0.0216565181665,0.0250625097006,0.0241885360519,0.0859499782476,0.0888365661632,0.080740002264,0.1000743804295,0.0899044501204,0.0383618524049,0.0908265167445,0.0885382708586,0.0788602751601,0.0347737008422,0.0829227061196,0.0937364804216,0.0853554511236,0.0882219865562,0.0236914711709,0.1060543979301,0,0.083788450362,0.0407138033889,0.0889038631765,0.0893756934473,0.0923576401833,0.0982479204326,0.0272032226664,0.0221142722082,0.1018526596884
"1642.MS00629",0.0748239570233,0.0250225304773,0.0341245273766,0.0262685534376,0.0849456832225,0.0890090749062,0.0326334190991,0.0440157248599,0.0316502555181,0.0280223469516,0.0286858285471,0.085492082933,0.0947907822713,0.1074327874877,0.1517229722492,0.0258854018849,0.0279287401825,0.027501391255,0.0269379990967,0.0744103898642,0.1597185476375,0.0270184309384,0.0292553714307,0.0850612699835,0.0296285021239,0.0258313432867,0.0241898738441,0.0412095184801,0.0918431394185,0.0383817643914,0.083788450362,0,0.0647278885863,0.0258104320684,0.0245158121298,0.0253898530841,0.0328754047982,0.1049085342881,0.0916062416169,0.0302915588155
"2382.GM.181.R5.rhizo.10.12.lane7.NoIndex.L007.sequences",0.0324069853403,0.0640798268175,0.0886622134243,0.0740703181105,0.0415927357526,0.0425264368154,0.0776241909134,0.0663285187831,0.0845490011042,0.0793936447546,0.0763836902232,0.0390636611255,0.0524189893535,0.0539711193057,0.1181592289374,0.0709416546619,0.0657954192249,0.0797802865878,0.0752568075074,0.0324204909929,0.1325170570966,0.0697636182144,0.0648768685838,0.0459099207549,0.0655290627823,0.0708709480378,0.0713880603878,0.0735499057301,0.0459466666507,0.0937372090008,0.0407138033889,0.0647278885863,0,0.0745875713254,0.0742385161962,0.0714108890962,0.0910344608521,0.0419490316411,0.0410294586383,0.0749364934682
"1642.MS00577",0.0864491026142,0.0315035053868,0.0227411314476,0.0213233314008,0.0883520993134,0.0929096748597,0.0226440724703,0.0397444920728,0.0213939437665,0.0218747105556,0.0237843927215,0.0897998671406,0.0978045013766,0.111004915611,0.1518829109559,0.0230946192331,0.0208891063522,0.0317835377703,0.0243036322446,0.086778154134,0.1626195217273,0.0235736576639,0.0258954836554,0.0877133748295,0.0250218045895,0.0202008542733,0.0218370693882,0.0335802861297,0.0993629838003,0.0292213948679,0.0889038631765,0.0258104320684,0.0745875713254,0,0.0217530929574,0.0220007118561,0.0224336637199,0.1113355109737,0.091682510295,0.0235197972578
