"","1642.MS00492","2382.DPOO1.C1.HA.4.243.root.9.11.lane1.NoIndex.L001.sequences","2382.SH005.C3.RH.1.253.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00403","2382.DPOO1.C1.HA.5.248.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00506","2382.RU006.C181.RH.4.593.root.4.12.lane7.NoIndex.L007.sequences","2382.SH007.C6.RH.2.708.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00363","2382.SH007.C6.RH.1.502.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00479","2382.SH004.C1.RH.4.417.rhizo.4.12.lane7.NoIndex.L007.sequences","1001.SKD8","2382.HE003.C181.HA.3.762.rhizo.9.12.lane7.NoIndex.L007.sequences","2382.MU002.C3.HA.2.283.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00418","2382.RU006.C181.RH.1.577.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00428","2382.MU002.C3.HA.4.492.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00603","2382.SH005.C3.RH.4.268.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00630","1642.MS00383","2382.MU002.C3.HA.3.288.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00584","1642.MS00486","1642.MS00541","1642.MS00636","1642.MS00600","2382.MU002.C3.HA.5.79.root.6.11.lane1.NoIndex.L001.sequences","1642.MS00438","2382.SH007.C6.RH.5.323.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00571","2382.SH004.C1.RH.5.622.rhizo.9.12.lane7.NoIndex.L007.sequences","2382.DPOO1.C1.HA.1.428.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00437","1642.MS00515","1642.MS00408","2382.SH004.C1.RH.4.618.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00559"
"2382.SH005.C3.RH.4.268.root.9.11.lane1.NoIndex.L001.sequences",0.09628128183,0.0213953011307,0.0199206536185,0.0838740596439,0.0237477673335,0.0860646784988,0.0263847053644,0.0174342665711,0.0736841969538,0.0382533684431,0.0886249227586,0.0381224196146,0.0749729571099,0.0385138070296,0.0168700259238,0.0891097617189,0.0399454350104,0.0837351964744,0.0472536779629,0.0972294671489,0,0.0895271601832,0.08049805566,0.0182922593033,0.1054951429954,0.1060315903932,0.0949864943608,0.0934670998733,0.104960822592,0.0185402109791,0.0887262949744,0.0212241542732,0.0921125579278,0.0404893532807,0.0203399529667,0.0890966637447,0.0959220120417,0.0792418109236,0.0225458831463,0.0925731051011
"1642.MS00630",0.0207057384515,0.0894444037985,0.0825195651661,0.0225744037526,0.0824802131779,0.0207350408834,0.0851996025624,0.1111155116318,0.024264162495,0.0858472583905,0.0192049369572,0.082774688885,0.1520727472528,0.0845951041679,0.0877994552992,0.0213359363789,0.0788543007154,0.0227267862636,0.0819326113893,0.0224952277056,0.0895271601832,0,0.0242494901376,0.1079846969212,0.0248951490149,0.0202398302889,0.0225496836156,0.0199215320464,0.0222689002125,0.0857675277562,0.0208835770364,0.0930283900905,0.0228625595336,0.0807556529386,0.1050526071943,0.0215747763723,0.0206439593324,0.020175070321,0.0992688748068,0.0204550475805
"1642.MS00383",0.0234579537558,0.0812266206202,0.0746213190722,0.020973733193,0.0754896305486,0.0237333618045,0.0780053962601,0.1061630207878,0.0204209312621,0.0788379318133,0.0226591008782,0.0771307945274,0.1375471914779,0.078234284702,0.0788886849913,0.020553217695,0.0751925654678,0.0183242816135,0.0775468810825,0.0291125750476,0.08049805566,0.0242494901376,0,0.0970430879945,0.0274448727432,0.024536265435,0.0257944945168,0.0255024813098,0.0267519795789,0.0755272860093,0.0210536102794,0.0792205121518,0.0224398467512,0.0770032861207,0.0968742396722,0.0216725299157,0.0225975061963,0.0187953969282,0.0851663278252,0.0247769004572
"2382.MU002.C3.HA.3.288.root.9.11.lane1.NoIndex.L001.sequences",0.1152447066294,0.0186386893995,0.0245553124134,0.1004813396518,0.0226237239088,0.1006820083457,0.0402998002773,0.0157056176176,0.0864616863009,0.0477727467228,0.1046350880489,0.0453494887057,0.0679418640711,0.0528350003595,0.0162614215551,0.1073770436526,0.0659257902179,0.0991762240984,0.0669107050583,0.1141914815275,0.0182922593033,0.1079846969212,0.0970430879945,0,0.1169779941203,0.1219684746195,0.1098150373196,0.1115550681064,0.1189517616515,0.0198626756738,0.1031512917856,0.0219250033035,0.1060379899974,0.0528196554237,0.0158044992207,0.1063748271906,0.1120862711225,0.0939527506932,0.0193533413882,0.108932290197
"1642.MS00584",0.0233250864349,0.1002444472427,0.0957920400075,0.02852747869,0.09399353262,0.0229341213186,0.1023245415303,0.126414715963,0.0290458545584,0.1011877982662,0.0220403414822,0.0983480315328,0.1651714825421,0.1037333207403,0.097707736449,0.0232466102011,0.0989793229119,0.0260361023573,0.0993341440719,0.027108494537,0.1054951429954,0.0248951490149,0.0274448727432,0.1169779941203,0,0.0215410797559,0.0246529610006,0.0248551411445,0.0220836655327,0.0986319992453,0.0228592604239,0.1038861657451,0.0219494569508,0.096358578367,0.1171288800786,0.0252730320021,0.0219770282636,0.0251653191416,0.1121976835017,0.0231985137746
"1642.MS00486",0.0189420264925,0.1042935948909,0.0937208867966,0.0219558086987,0.0987492093061,0.0209177440765,0.102393546365,0.130109400383,0.0226230560244,0.1033448621416,0.0178089049119,0.1024884401698,0.162602864349,0.0877561510377,0.1027324488287,0.0209818245983,0.0810945063842,0.0212090602066,0.0982229965543,0.0230729876213,0.1060315903932,0.0202398302889,0.024536265435,0.1219684746195,0.0215410797559,0,0.019191065214,0.0210234073152,0.0203773666382,0.0981029512527,0.0206203001616,0.1058655195114,0.0201339687475,0.0949615266892,0.1201735371788,0.0221659747745,0.0195622304223,0.0180463994402,0.1122150749762,0.021452816368
"1642.MS00541",0.0210457025775,0.0925390952304,0.087651070318,0.023884274902,0.0888123017948,0.0225804744183,0.091577888951,0.1163424733919,0.0271775269838,0.0954630652744,0.019444419706,0.0898985408022,0.1551853934638,0.0924826002052,0.0926308406882,0.0248156598604,0.0890390774292,0.022535569243,0.0905316903857,0.024973889193,0.0949864943608,0.0225496836156,0.0257944945168,0.1098150373196,0.0246529610006,0.019191065214,0,0.0209975666028,0.0194416383915,0.0902073836621,0.0244641848977,0.0965652364351,0.0226070277396,0.0893953967038,0.1078538764129,0.0257693509217,0.018475952974,0.0215647619585,0.1041295150831,0.0220790308038
"1642.MS00636",0.0204259563193,0.0917642380762,0.0864028720723,0.0234089895352,0.0864642133772,0.0225687315774,0.0925204889914,0.1141534564338,0.027649525258,0.092515292295,0.0206199182538,0.0882060675529,0.1582572253759,0.08978241983,0.0901340676207,0.0233608510713,0.0860851792677,0.0243804163168,0.0861857198583,0.0219869690153,0.0934670998733,0.0199215320464,0.0255024813098,0.1115550681064,0.0248551411445,0.0210234073152,0.0209975666028,0,0.0216529141346,0.0883686694408,0.022827222414,0.0953947995573,0.0215856136994,0.08454777198,0.1084447195644,0.0236871780797,0.0193539762884,0.0212254276955,0.104733917178,0.0220554058512
"1642.MS00600",0.0225898141159,0.097978010696,0.0956843679637,0.0251666466246,0.0958902569856,0.0235542596084,0.1005044283455,0.1207984129314,0.0288324411281,0.1009603968426,0.0218250535898,0.0979301387082,0.1626910330175,0.1026539751482,0.097841060053,0.0236102317703,0.0977309532363,0.0232859406103,0.0988919335263,0.0247633811988,0.104960822592,0.0222689002125,0.0267519795789,0.1189517616515,0.0220836655327,0.0203773666382,0.0194416383915,0.0216529141346,0,0.0974183183984,0.0223685079638,0.1034847005049,0.0226953609358,0.0970890507436,0.1149223635449,0.0256723321587,0.0207430539047,0.0237436361334,0.1126520414001,0.0225360446801
"2382.MU002.C3.HA.5.79.root.6.11.lane1.NoIndex.L001.sequences",0.0896008343753,0.0200887451338,0.0225550097614,0.0770459467228,0.0204673522621,0.0805976279537,0.0385362164044,0.02567645396,0.0650634616768,0.0333649958439,0.0818646810922,0.0341965127203,0.0854110246736,0.0381567618686,0.0167970912011,0.0843073290372,0.0439353045788,0.0774406991426,0.0405512534572,0.0895246191797,0.0185402109791,0.0857675277562,0.0755272860093,0.0198626756738,0.0986319992453,0.0981029512527,0.0902073836621,0.0883686694408,0.0974183183984,0,0.080227488344,0.0219508451843,0.0853048835271,0.0328835058427,0.0219871663012,0.0802817989869,0.0919769695806,0.0724938339951,0.0246163326809,0.086239648011
"1642.MS00438",0.0217905656967,0.0846670268525,0.0798087631788,0.0215987341557,0.077576636523,0.0201311090091,0.0819844242146,0.1087551541018,0.0212715996342,0.0830285107602,0.0200358181777,0.0815123452759,0.1404044724719,0.0836945564072,0.0826493796378,0.0182833986605,0.0783607172601,0.0198608537461,0.081101546268,0.0245947248026,0.0887262949744,0.0208835770364,0.0210536102794,0.1031512917856,0.0228592604239,0.0206203001616,0.0244641848977,0.022827222414,0.0223685079638,0.080227488344,0,0.0855131056725,0.0227364150552,0.0809631861059,0.1009358218307,0.0183463272535,0.0208019490629,0.0188802491188,0.0956338615016,0.0200260578848
"2382.SH007.C6.RH.5.323.root.9.11.lane1.NoIndex.L001.sequences",0.0984121548467,0.0261752045634,0.0178217704052,0.0847028144904,0.0249870373423,0.0873735001247,0.0413274917817,0.0255050068343,0.069466386992,0.0316374484639,0.088074160513,0.0353325133709,0.0724235260432,0.0420811033186,0.0220781428695,0.0888162484405,0.0512234122528,0.0820402023127,0.0597716172078,0.1016223411769,0.0212241542732,0.0930283900905,0.0792205121518,0.0219250033035,0.1038861657451,0.1058655195114,0.0965652364351,0.0953947995573,0.1034847005049,0.0219508451843,0.0855131056725,0,0.0917092175098,0.0399417262701,0.0284734242855,0.0885615775146,0.0976303854269,0.0808987069355,0.0170355953882,0.094650922864
"1642.MS00571",0.0210849084273,0.0878877597439,0.0838947271023,0.0237064065136,0.0813242072885,0.0207415490921,0.0967264707221,0.1108673885012,0.0242181505582,0.0868545246417,0.0199267171041,0.083711004274,0.1404228674322,0.0835264788806,0.0940187127079,0.0230233107773,0.0798473840596,0.0226681371298,0.0845402032,0.0237643512526,0.0921125579278,0.0228625595336,0.0224398467512,0.1060379899974,0.0219494569508,0.0201339687475,0.0226070277396,0.0215856136994,0.0226953609358,0.0853048835271,0.0227364150552,0.0917092175098,0,0.0817124121409,0.1030020873823,0.023290067371,0.0203043221584,0.0221312698936,0.0954756214833,0.0224320386449
