"","2382.SH004.C1.RH.4.15.root.6.11.lane1.NoIndex.L001.sequences","2382.SH005.C3.RH.5.473.root.4.12.lane7.NoIndex.L007.sequences","2382.DPOO1.C1.HA.3.438.root.4.12.lane7.NoIndex.L007.sequences","2382.SH007.C6.RH.2.707.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00371","1001.SKD8","2382.SH005.C3.RH.3.662.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00386","1642.MS00567","2382.RU006.C181.RH.4.792.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00517","1642.MS00621","1642.MS00466","2382.HE003.C181.HA.4.768.root.9.12.lane7.NoIndex.L007.sequences","2382.MU002.C3.HA.5.298.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00361","1642.MS00446","1642.MS00595","2382.RU006.C181.RH.4.592.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00524","2382.SH004.C1.RH.2.7.root.6.11.lane1.NoIndex.L001.sequences","2382.SH005.C3.RH.2.258.root.9.11.lane1.NoIndex.L001.sequences","2382.DPOO1.C1.HA.3.437.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00591","1642.MS00395","1642.MS00449","1642.MS00421","1642.MS00375","2382.MU002.C3.HA.4.75.root.6.11.lane1.NoIndex.L001.sequences","1642.MS00491","2382.DPOO1.C1.HA.2.633.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00635","2382.SH007.C6.RH.4.318.root.9.11.lane1.NoIndex.L001.sequences","2382.DPOO1.C1.HA.4.442.rhizo.4.12.r1.lane7.NoIndex.L007.sequences","1642.MS00619","1642.MS00432","2382.MU002.C3.HA.2.283.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00604","2382.HE003.C181.HA.4.568.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00474"
"2382.SH004.C1.RH.2.7.root.6.11.lane1.NoIndex.L001.sequences",0.0177844968676,0.0188173616354,0.0278904006929,0.0392835864454,0.0851295668549,0.0526200002699,0.0889536081631,0.0789770360301,0.0979725157425,0.0523394365453,0.0874003055269,0.1036453249197,0.0956471854624,0.0205595186241,0.0307383347823,0.0823516925099,0.0912106958484,0.0782696177567,0.0659050791785,0.1038496886001,0,0.0251635781126,0.0505213441349,0.0846740432496,0.0868939002156,0.0987944521664,0.0846560353864,0.0978157057532,0.0189745173187,0.0938374742351,0.0288363478477,0.1039918132016,0.0205797022709,0.0475851277374,0.1097624185114,0.0864277204438,0.0242399904329,0.1023853963678,0.0197914937017,0.0954827305066
"2382.SH005.C3.RH.2.258.root.9.11.lane1.NoIndex.L001.sequences",0.0231810870667,0.0254935445824,0.0233334945881,0.0272065858882,0.0836809531554,0.0872677884615,0.0414796582903,0.0747980326872,0.0885193073471,0.0366972244843,0.0783325480564,0.0913696400948,0.0866551495649,0.0246172830502,0.0220601248714,0.0788501821929,0.0809198101822,0.0699536918105,0.0454711797823,0.0902321552077,0.0251635781126,0,0.0326497407394,0.0784054732207,0.0795260297948,0.0864089480727,0.0748850008122,0.0950603154586,0.0193765190056,0.0796895518514,0.0232310643468,0.0909257161122,0.0209023521681,0.0317181206336,0.093736804418,0.0759101948459,0.0210550390264,0.0870412407615,0.0262495461376,0.0844787772261
"2382.DPOO1.C1.HA.3.437.rhizo.4.12.lane7.NoIndex.L007.sequences",0.042070769356,0.0418560804279,0.0271138164067,0.0235700302356,0.0845531172833,0.1191248756802,0.024546126843,0.0730724016665,0.0890003289213,0.0382559544797,0.0741647633719,0.0805090085242,0.084668040945,0.0481319857147,0.0362970186137,0.0799795517016,0.0749506197894,0.069514098955,0.0506062932217,0.0802608752035,0.0505213441349,0.0326497407394,0,0.0751864941185,0.0795084280194,0.0816735877348,0.0728052703342,0.0939952049842,0.0356196866342,0.0743877688521,0.0336666618361,0.0894258899428,0.0460081339727,0.0175804823961,0.0873590570746,0.0705089935687,0.0445551827654,0.0803137454365,0.0482172745645,0.083587256701
"1642.MS00591",0.0814392914538,0.0822278716602,0.0772758387996,0.0789810627646,0.0431882405084,0.133863212526,0.0816639652045,0.0290793723614,0.0269450277954,0.0814228601982,0.0247808966699,0.0281549232924,0.0263552554705,0.0925055641254,0.0764833639354,0.0341243642799,0.0313860639371,0.0277068146352,0.0886326335411,0.0300935334089,0.0846740432496,0.0784054732207,0.0751864941185,0,0.0288341659854,0.0314217439456,0.029249407564,0.041459867789,0.0782502784482,0.0303401747747,0.0782761010017,0.0269074052718,0.0840221318357,0.0753456535672,0.0328410283445,0.0301719594334,0.0773420206691,0.025875270484,0.0904945633541,0.0278263834699
"1642.MS00395",0.0816748796639,0.0771284769308,0.0787839539976,0.0788510883348,0.0334068045384,0.1293470781609,0.1010602756123,0.0164685775019,0.0187009982094,0.0777273190853,0.0197930371171,0.0235622177174,0.0174547978829,0.0919424096109,0.0837421072353,0.0209168545481,0.0225726534087,0.0253655157587,0.0794231973513,0.0233857356289,0.0868939002156,0.0795260297948,0.0795084280194,0.0288341659854,0,0.0203632496027,0.0177191242232,0.0309412583501,0.0817013289018,0.0280123144448,0.0791230764369,0.0231410757721,0.0850788837075,0.0807629668465,0.0262138482469,0.0203261402909,0.0789130742321,0.0234255208295,0.0897263086349,0.0184414034698
"1642.MS00449",0.0900541909833,0.091194905852,0.0901499695602,0.0826806488883,0.0376097370352,0.1463424416453,0.0908448329167,0.0210596700288,0.0214882078662,0.0880336861076,0.0213066879645,0.0214231255736,0.023079919308,0.1058018269283,0.0909454119142,0.0265781433342,0.0199206576029,0.0274145433457,0.0894812450307,0.0213287056786,0.0987944521664,0.0864089480727,0.0816735877348,0.0314217439456,0.0203632496027,0,0.0209581522009,0.0311597595239,0.0901091246262,0.0243231420291,0.0898455441558,0.0240225998951,0.0989185027281,0.0828459317884,0.021899742727,0.0195836887,0.0904128766085,0.0224422758924,0.1024713865746,0.0201568497535
"1642.MS00421",0.0754785340042,0.0736407975773,0.0745274780945,0.0714598395134,0.0301400163071,0.1323599179558,0.0846406667258,0.0177871047434,0.0215215911663,0.0711538858953,0.0189965840264,0.0224568866331,0.0198711225209,0.0861774797186,0.0789604972259,0.0210682367268,0.0208858951403,0.023329283499,0.072414326513,0.0227779994605,0.0846560353864,0.0748850008122,0.0728052703342,0.029249407564,0.0177191242232,0.0209581522009,0,0.0287283888552,0.0772607501698,0.024836156737,0.0745613071275,0.0230949596834,0.0816238164322,0.0734109864162,0.0254282869245,0.0194069249295,0.0785666206443,0.0234960631977,0.0856163305325,0.0204431762225
"1642.MS00375",0.0931275451197,0.0913435065081,0.0950047465447,0.0921318453203,0.0276806407668,0.1383053235888,0.10205195683,0.0247340037929,0.0347511043902,0.0998939439589,0.0332126329292,0.0401986542628,0.033585703415,0.1034851984673,0.0951976116133,0.0221214487122,0.0368239924342,0.0411570992794,0.0911833605692,0.0434431371975,0.0978157057532,0.0950603154586,0.0939952049842,0.041459867789,0.0309412583501,0.0311597595239,0.0287283888552,0,0.0937072532979,0.040077947812,0.0922048486176,0.0428300898978,0.0981581171484,0.0955854227421,0.0409781884501,0.0326341213763,0.0915826117351,0.0394589093845,0.1060657584849,0.0363961758735
"2382.MU002.C3.HA.4.75.root.6.11.lane1.NoIndex.L001.sequences",0.0200122820353,0.023829678343,0.0218558313386,0.0324026313106,0.086817001084,0.0823664490472,0.0415748804518,0.0769436735795,0.0914492184146,0.0452077601656,0.0805932143284,0.0961358964281,0.0898720769275,0.023571520742,0.0178429249838,0.0802349919585,0.0830692294052,0.0732838574356,0.0596555003109,0.0923266122882,0.0189745173187,0.0193765190056,0.0356196866342,0.0782502784482,0.0817013289018,0.0901091246262,0.0772607501698,0.0937072532979,0,0.0835985015769,0.0252847697196,0.0936666977191,0.0213592071486,0.0322947205034,0.0973308649771,0.0783503983776,0.0197633133506,0.0899855031787,0.0248509825409,0.0882269809541
"1642.MS00491",0.0881130612949,0.0869602764263,0.0820929317161,0.0758521220421,0.0415680893138,0.1500572007619,0.0816804072907,0.0283041687511,0.026395495205,0.075622850152,0.0245283366493,0.0251084738682,0.0233824298824,0.0959374290018,0.0808091420802,0.0343057128411,0.021963782436,0.0308845798071,0.0802043590893,0.022873178229,0.0938374742351,0.0796895518514,0.0743877688521,0.0303401747747,0.0280123144448,0.0243231420291,0.024836156737,0.040077947812,0.0835985015769,0,0.0807985589801,0.0274419299278,0.092088363634,0.0723046933142,0.0265742402382,0.0249703060466,0.0834826623168,0.0232671474368,0.0960673086136,0.0238786402737
"2382.DPOO1.C1.HA.2.633.root.9.12.lane7.NoIndex.L007.sequences",0.0330798517626,0.026571806799,0.0163999165901,0.0331915519294,0.0805486053241,0.0772614958621,0.0437758026975,0.0750567509892,0.0880746144414,0.036936736819,0.0784264636995,0.0920903977596,0.0869756564189,0.0212580506958,0.0239040746201,0.0768727003364,0.0842476301028,0.0752946953949,0.0538299597153,0.0909670821377,0.0288363478477,0.0232310643468,0.0336666618361,0.0782761010017,0.0791230764369,0.0898455441558,0.0745613071275,0.0922048486176,0.0252847697196,0.0807985589801,0,0.0915037727173,0.0223082085149,0.0348064027553,0.0949191072299,0.0783386328969,0.0181639082402,0.088414452514,0.0212329259605,0.0859331465413
"1642.MS00635",0.0952850861512,0.0941376219972,0.0948048808223,0.0886143295491,0.043936739915,0.1501895799591,0.0970250991771,0.0243385599878,0.0190992590573,0.0871831514113,0.0191052762337,0.0211883374702,0.0209048104925,0.1055259748788,0.0941420991315,0.0328789851086,0.0248283298399,0.0248721162814,0.0923297199235,0.02613320095,0.1039918132016,0.0909257161122,0.0894258899428,0.0269074052718,0.0231410757721,0.0240225998951,0.0230949596834,0.0428300898978,0.0936666977191,0.0274419299278,0.0915037727173,0,0.1007184602485,0.0887917508493,0.0228906094164,0.0247752684692,0.0941932475518,0.021385555905,0.1048382743657,0.0194581951484
"2382.SH007.C6.RH.4.318.root.9.11.lane1.NoIndex.L001.sequences",0.0241230613018,0.0273246664896,0.0238259043078,0.0397786625336,0.0940348155014,0.0698089788729,0.047664186259,0.0799417922036,0.0932102682696,0.0422407501234,0.0860312952455,0.1043103457026,0.0925589049457,0.0177183614322,0.0292692353202,0.084073484504,0.0933651280671,0.0818303194318,0.0519913578956,0.1003165195212,0.0205797022709,0.0209023521681,0.0460081339727,0.0840221318357,0.0850788837075,0.0989185027281,0.0816238164322,0.0981581171484,0.0213592071486,0.092088363634,0.0223082085149,0.1007184602485,0,0.0463207596101,0.1039649135302,0.0846485596502,0.0150552043347,0.098291385191,0.0166121647497,0.0914189631537
