"","2382.HE003.C181.HA.5.772.rhizo.9.12.lane7.NoIndex.L007.sequences","2382.HE003.C181.HA.3.131.r1.root.6.11.lane7.NoIndex.L007.sequences","1642.MS00379","1642.MS00478","1642.MS00376","1642.MS00541","2382.SH005.C3.RH.3.663.root.9.12.lane7.NoIndex.L007.sequences","2382.RU006.C181.RH.3.788.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00345","2382.RU006.C181.RH.1.577.rhizo.4.12.lane7.NoIndex.L007.sequences","2382.MU002.C3.HA.1.477.rhizo.4.12.lane7.NoIndex.L007.sequences","2382.RU006.C181.RH.3.588.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00438","2382.GM.181.R1.root.10.12.lane7.NoIndex.L007.sequences","2382.SH005.C3.RH.1.253.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00503","2382.SH004.C1.RH.3.612.rhizo.9.12.lane7.NoIndex.L007.sequences","2382.DPOO1.C1.HA.3.637.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00582","2382.RU006.C181.RH.4.792.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00581","1642.MS00600","1642.MS00555","2382.SH005.C3.RH.5.673.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00599","1642.MS00558","1642.MS00630","1642.MS00577","1642.MS00452","2382.MU002.C3.HA.1.63.root.6.11.lane1.NoIndex.L001.sequences","1642.MS00482","1642.MS00447","1642.MS00366","2382.DPOO1.C1.HA.3.638.root.9.12.lane7.NoIndex.L007.sequences","2382.SH007.C6.RH.2.507.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00638","2382.SH004.C1.RH.2.7.root.6.11.lane1.NoIndex.L001.sequences","2382.SH008.C6.HA.1.528.root.4.12.lane7.NoIndex.L007.sequences","2382.DPOO1.C1.HA.1.23.root.6.11.lane1.NoIndex.L001.sequences","1642.MS00433"
"1642.MS00581",0.0901967122631,0.1323166158793,0.029379408673,0.0233125713375,0.0431347416788,0.022323586585,0.1130715970967,0.1042268778401,0.0444321548429,0.0926135215031,0.0925316710512,0.109012575261,0.0232887100596,0.1128871122724,0.0895879607209,0.021506656515,0.090463453524,0.0953475727742,0.021460506016,0.090168560632,0,0.0223153800998,0.027347635396,0.1017851153543,0.0241298244405,0.0235698217748,0.0229329858921,0.0204236540019,0.0245451732183,0.0966570270992,0.0236818514055,0.0269529918623,0.0411633647316,0.0951118990595,0.0908736260003,0.0252708300355,0.1058342233443,0.1107088072795,0.0923041761049,0.0266489278567
"1642.MS00600",0.0957415293029,0.1264293161634,0.0282928501112,0.0200992712239,0.0403031951829,0.0196000408509,0.1141521274207,0.1056988235346,0.0416621882333,0.1006761127661,0.1012388302558,0.107129271745,0.0224444609235,0.109668460494,0.095293623395,0.0202265735263,0.0977397404994,0.102641966144,0.022022671173,0.0978519400924,0.0223153800998,0,0.0275827333347,0.1021306243822,0.0409537400017,0.0232656396836,0.0220101905835,0.0205461596968,0.0229415346444,0.0981283766221,0.0224072417633,0.0250960734477,0.0354004599734,0.1000019288329,0.0981018241425,0.0232383617763,0.1078095246226,0.1081283380395,0.0938100266108,0.0281101808829
"1642.MS00555",0.0909967100288,0.1356472510312,0.0316630544176,0.0276654930294,0.0459264646016,0.0288019244332,0.1158847682502,0.1029317060566,0.0447474466836,0.0898972730241,0.0952292106762,0.1090178363658,0.0248402229908,0.11218452591,0.0914379363964,0.0246970095074,0.0899157045184,0.0936381556934,0.0250669467923,0.0893481122896,0.027347635396,0.0275827333347,0,0.1049462456859,0.0502928442234,0.0270095849326,0.0240607886914,0.0243115336208,0.0268840209862,0.1010785914616,0.0279623398103,0.0312803302987,0.0392581195049,0.0970842690767,0.09514510833,0.0267580579617,0.1082486732067,0.1143037926677,0.0952734233702,0.0267072910446
"2382.SH005.C3.RH.5.673.root.9.12.lane7.NoIndex.L007.sequences",0.0342114878594,0.0245490949038,0.0892018869652,0.1048120801475,0.0901509104928,0.0951374387249,0.0141312176847,0.0255033626408,0.0876479853813,0.0491726652692,0.0472150704951,0.0235998263378,0.0876977972038,0.0180429677496,0.0203452215082,0.0830516519847,0.0478438363176,0.0459325352317,0.1029026713923,0.0472886206987,0.1017851153543,0.1021306243822,0.1049462456859,0,0.0982661415069,0.0919229507865,0.0882118411169,0.0877066867421,0.0877676846869,0.0188596303792,0.1073485116846,0.1069475719663,0.0797020194971,0.018825456724,0.0400562440801,0.0896731506248,0.0191729463134,0.0161630395384,0.0253459468812,0.081416939921
"1642.MS00599",0.0818352199753,0.1351005178997,0.0409991372396,0.0300758427364,0.0585787247507,0.0280475250137,0.1223339818983,0.0920722577454,0.0604751882368,0.080752971733,0.0830621812069,0.1038378088128,0.0361022474184,0.1047772374552,0.0847262675496,0.0356190678384,0.0799010865741,0.0886569235711,0.0413023174995,0.0755775083591,0.0241298244405,0.0409537400017,0.0502928442234,0.0982661415069,0,0.0418530968501,0.0346673196955,0.032317250178,0.0333448250928,0.0974082753187,0.042309000679,0.0433673272561,0.0569897960381,0.092838637196,0.0880529497791,0.0256179068511,0.0908892374552,0.1084082084363,0.0928539270093,0.0400024189407
"1642.MS00558",0.082107076786,0.1140524377165,0.0272938001834,0.0245949560258,0.0399824904393,0.0253137742131,0.1037829974126,0.0919991169921,0.0441081023597,0.0835676092978,0.0855905094017,0.0935833173575,0.0209135461546,0.096867703782,0.08301433613,0.0240682418546,0.0921305569848,0.0861502316088,0.0223989162188,0.0810626086226,0.0235698217748,0.0232656396836,0.0270095849326,0.0919229507865,0.0418530968501,0,0.0233141514801,0.0234572725297,0.0242233121378,0.0860115859963,0.0238844415779,0.027338090869,0.0419908770836,0.0871513257831,0.0840208648047,0.0259034623542,0.0956676359227,0.0957553545397,0.0804697382294,0.0243689678609
"1642.MS00630",0.0813131746985,0.1103843450502,0.0270305305696,0.0226884268311,0.0385057424567,0.0231088440603,0.103656529464,0.0898819678864,0.0409076521968,0.0816117270751,0.0832269282974,0.0914382863149,0.0214216280224,0.095864812429,0.0814934313876,0.0204600376186,0.0792368119671,0.0846739731772,0.0221124482317,0.0785980000899,0.0229329858921,0.0220101905835,0.0240607886914,0.0882118411169,0.0346673196955,0.0233141514801,0,0.0200740145696,0.0230409672382,0.0864069649379,0.0253276361859,0.0272846545865,0.0364227432647,0.0862635159813,0.0817556718318,0.0220253348306,0.0969105766476,0.0971736722751,0.0809059920434,0.0217335705233
"1642.MS00577",0.0833322908253,0.1092914546118,0.0267390848703,0.0205295382628,0.0351959853302,0.0195993366683,0.098644796876,0.0893198918111,0.0382000771782,0.0863639596596,0.0882506188752,0.0919172625201,0.0218289816559,0.0939865420673,0.0819557793343,0.0189413134878,0.1000532448251,0.0887678174504,0.02216563226,0.0825979296833,0.0204236540019,0.0205461596968,0.0243115336208,0.0877066867421,0.032317250178,0.0234572725297,0.0200740145696,0,0.0211217063839,0.0844324502799,0.0218354171126,0.0261253783232,0.0322032916188,0.0848889432903,0.0842271457291,0.0208873652193,0.0933218828056,0.0936605246455,0.0821425731007,0.0231268456899
"1642.MS00452",0.0820282971465,0.1075778854354,0.024493462004,0.0249809954608,0.0332318151907,0.0217470024991,0.0997820980225,0.0884693156303,0.0346280716939,0.0843612699431,0.084219104237,0.0929871523663,0.0226355494965,0.0937678114097,0.0798565595237,0.0211410078709,0.0777534854554,0.0860637611921,0.0259890425129,0.0809537225882,0.0245451732183,0.0229415346444,0.0268840209862,0.0877676846869,0.0333448250928,0.0242233121378,0.0230409672382,0.0211217063839,0,0.0839410616279,0.0251518125435,0.0260578748523,0.0318545899358,0.0832894701787,0.0828119270183,0.0222045348567,0.092979816747,0.094884988745,0.0789396750552,0.0223264643034
"2382.MU002.C3.HA.1.63.root.6.11.lane1.NoIndex.L001.sequences",0.0331254475493,0.030202056655,0.0838710393432,0.1010609098436,0.08556924235,0.0935218093935,0.0180414460166,0.0285293074396,0.0859534136574,0.0452028583562,0.038888731205,0.0284026397741,0.0819111532719,0.0243891127456,0.0216008411928,0.080298795719,0.0469654841208,0.0367257417197,0.0942499193581,0.043235053792,0.0966570270992,0.0981283766221,0.1010785914616,0.0188596303792,0.0974082753187,0.0860115859963,0.0864069649379,0.0844324502799,0.0839410616279,0,0.1009274377631,0.0994882045513,0.076413901464,0.0198098721652,0.0385041478443,0.0865745072462,0.02354337788,0.0218697408112,0.0200062635946,0.0755722007001
"1642.MS00482",0.0994149359903,0.1303558382053,0.0236319149988,0.0205791834399,0.0359145432805,0.0237160044606,0.1185998560415,0.1087329813032,0.0416351449108,0.094677505596,0.0981459865082,0.1134352575659,0.0194976097917,0.1132954767314,0.0900571261811,0.0203534495582,0.0936171031783,0.0992566012104,0.0227990933166,0.1006834015214,0.0236818514055,0.0224072417633,0.0279623398103,0.1073485116846,0.042309000679,0.0238844415779,0.0253276361859,0.0218354171126,0.0251518125435,0.1009274377631,0,0.0211426130818,0.0320037543693,0.1013653284503,0.1034780043933,0.0246266809253,0.1103475525551,0.1093701592048,0.0960228300342,0.0244911188336
"1642.MS00447",0.0989836627205,0.1308561060462,0.0226319132645,0.0230777101786,0.0364059739189,0.0304327422029,0.1193357946661,0.1112876358718,0.0421526812109,0.1025673303593,0.1008807166008,0.1130537597669,0.0211307287372,0.1094893591869,0.0954223818203,0.0269108295655,0.0969005591203,0.1024276313453,0.026005821901,0.0997665634143,0.0269529918623,0.0250960734477,0.0312803302987,0.1069475719663,0.0433673272561,0.027338090869,0.0272846545865,0.0261253783232,0.0260578748523,0.0994882045513,0.0211426130818,0,0.0335702808919,0.1000669928569,0.0998156717339,0.026653849389,0.1081900163878,0.1084881525459,0.0952423181078,0.0264391335078
"1642.MS00366",0.081061726351,0.0920670195306,0.0233263534411,0.0317476659056,0.021456889921,0.0370464237025,0.0906149903907,0.0790111721007,0.025196186491,0.0776449659996,0.0839653210862,0.0785148381503,0.0263119478244,0.0753122110063,0.0760740074194,0.0322966102476,0.1148776582188,0.090485132102,0.0415809822013,0.0851194200589,0.0411633647316,0.0354004599734,0.0392581195049,0.0797020194971,0.0569897960381,0.0419908770836,0.0364227432647,0.0322032916188,0.0318545899358,0.076413901464,0.0320037543693,0.0335702808919,0,0.0792506521976,0.0809220146852,0.0348240188608,0.0770989174413,0.0791951988068,0.0816957178378,0.0345741449178
