"","1642.MS00405","2382.SH005.C3.RH.3.662.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00473","1642.MS00463","1642.MS00380","2382.SH008.C6.HA.5.748.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00550","2382.SH007.C6.RH.4.518.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00568","1642.MS00490","1642.MS00545","1642.MS00599","2382.SH005.C3.RH.5.473.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00503","2382.SH008.C6.HA.3.538.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00376","2382.MU002.C3.HA.4.693.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00574","2382.SH008.C6.HA.2.733.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00399","1642.MS00338","1642.MS00468","1642.MS00364","2382.SH004.C1.RH.4.617.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00522","2382.DPOO1.C1.HA.4.35.root.6.11.lane1.NoIndex.L001.sequences","2382.SH008.C6.HA.4.742.rhizo.9.12.lane7.NoIndex.L007.sequences","2382.DPOO1.C1.HA.2.632.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00538","2382.MU002.C3.HA.3.288.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00609","2382.SH005.C3.RH.5.59.root.6.11.lane1.NoIndex.L001.sequences","1642.MS00504","2382.SH008.C6.HA.1.SH008.root.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00506","1642.MS00586","1642.MS00500","2382.SH008.C6.HA.3.111.r1.root.6.11.lane7.NoIndex.L007.sequences","1642.MS00367","2382.SH007.C6.RH.4.517.rhizo.4.12.lane7.NoIndex.L007.sequences"
"1642.MS00338",0.0290776754682,0.1156749477481,0.0358005229533,0.0348904728051,0.0306370229088,0.0921354518336,0.0365720140944,0.0878102043121,0.0373795466328,0.0332401855566,0.0340739338149,0.055636165395,0.0829469241639,0.033119710383,0.0954981781653,0.0240703234198,0.1021173107914,0.0369699537495,0.0907837677367,0.0226469806375,0,0.0322046686366,0.0374505665979,0.0903171246067,0.0354392568872,0.0866191751244,0.1112534988369,0.1072229550825,0.0353579465024,0.0981123125316,0.0388117572608,0.0845177102353,0.0294617447318,0.0916753624104,0.0339815820331,0.040253326378,0.0325252549632,0.0909887587418,0.0226590890222,0.0951013502461
"1642.MS00468",0.0222264380202,0.1161190349209,0.0226743930149,0.0245163165957,0.055710182265,0.1168024513162,0.0217213532487,0.1101736828253,0.0218010461884,0.0196073725111,0.0205011732784,0.0349143448009,0.109752541507,0.0210603513526,0.1310343564497,0.0394528554478,0.1192592940855,0.0222767113964,0.1139965664016,0.0237154039082,0.0322046686366,0,0.0524634506846,0.0966872322069,0.0243185189765,0.0963151694009,0.1122411305245,0.1017701592474,0.022635873466,0.1211463502777,0.0238972111489,0.1041745563939,0.0231815631778,0.1172309359184,0.0227555366369,0.0265507393942,0.0206549076938,0.1131592781022,0.0287141831631,0.103205560235
"1642.MS00364",0.0482757525938,0.1093602415153,0.0578294685246,0.057465001779,0.0418546244031,0.1039951626376,0.0585513570496,0.0996080867222,0.0574811107439,0.055804175756,0.0555986146521,0.0580131272157,0.0975877757903,0.0525050427103,0.1179652371945,0.0340372310195,0.1052365607714,0.0574205814278,0.1015631990749,0.0465529966536,0.0374505665979,0.0524634506846,0,0.0959368599958,0.0574660825368,0.0940627163464,0.1032420952143,0.0994740977416,0.0583888460394,0.1060824041683,0.061703017214,0.0939968200535,0.0482967410441,0.1048333322707,0.0556267991261,0.0666968335649,0.0513013469886,0.1012137725658,0.0322978227861,0.1054748834241
"2382.SH004.C1.RH.4.617.rhizo.9.12.lane7.NoIndex.L007.sequences",0.0863444274411,0.0310900539827,0.087282268065,0.0918817151526,0.1268442385755,0.0412678206932,0.1032754067773,0.0241620933598,0.0952495915533,0.1085958972279,0.0960348963466,0.0947214079826,0.0319083739133,0.0924038401307,0.0496438781176,0.0981454939813,0.0504535423936,0.0924947364324,0.0338969335511,0.1002438253185,0.0903171246067,0.0966872322069,0.0959368599958,0,0.109071834596,0.0292410092659,0.0223052858822,0.0256479867301,0.093796324225,0.0464695597352,0.098105965753,0.0371424191976,0.08368462455,0.0425462965638,0.0900440786393,0.1129848962388,0.0907152565869,0.0464911505313,0.0807418966445,0.0308461498991
"1642.MS00522",0.0250428300734,0.1191059893423,0.0258605379163,0.0263118149525,0.0592087073706,0.1169406446733,0.024756086165,0.111676429329,0.0257503283188,0.021442592743,0.0243531017231,0.0449595868763,0.1102250890395,0.0228347156513,0.1278049954414,0.039828706781,0.1234138236445,0.0248362977029,0.11542038802,0.023726796297,0.0354392568872,0.0243185189765,0.0574660825368,0.109071834596,0,0.1078630915672,0.1166813810348,0.1128510243223,0.0258889000417,0.1225412368081,0.0253018682886,0.112907293114,0.0263617492845,0.1195077681132,0.0265131272661,0.0239976599646,0.023266437602,0.125781592397,0.0328522572669,0.1069653499602
"2382.DPOO1.C1.HA.4.35.root.6.11.lane1.NoIndex.L001.sequences",0.0889007709985,0.0489184093838,0.0901491552595,0.0938096951746,0.1168264953102,0.0198319158418,0.1005395571674,0.0205389536912,0.0932354684452,0.1049562682081,0.0955510224717,0.0986982016843,0.0256647993603,0.0904465380222,0.0226771058822,0.0948164613534,0.0249329936566,0.0988517515425,0.0170873710942,0.094851430892,0.0866191751244,0.0963151694009,0.0940627163464,0.0292410092659,0.1078630915672,0,0.0426032181435,0.0443868386178,0.0961495834304,0.020174290467,0.1029287438286,0.0190390217241,0.0789946965479,0.0186225761118,0.0935763828138,0.115197453954,0.0909902470088,0.0232705259293,0.0786688271245,0.0398611353886
"2382.SH008.C6.HA.4.742.rhizo.9.12.lane7.NoIndex.L007.sequences",0.0901764848706,0.0254979070882,0.0897325651893,0.0988262463651,0.1270433626129,0.0398711816674,0.1045230758017,0.0314040537878,0.1039585102514,0.1272868662271,0.1090295804735,0.0943998920743,0.0524685490875,0.1131894861036,0.0595960480921,0.0969173167846,0.0471552835301,0.0943779745782,0.038209146027,0.116599086429,0.1112534988369,0.1122411305245,0.1032420952143,0.0223052858822,0.1166813810348,0.0426032181435,0,0.0227365531481,0.0989483563862,0.0516445571508,0.0974215268286,0.0663668678872,0.1160762478723,0.0471972933776,0.1063446365416,0.1126342047404,0.10592618382,0.0523989421059,0.1082863272711,0.0270844938437
"2382.DPOO1.C1.HA.2.632.rhizo.9.12.lane7.NoIndex.L007.sequences",0.0845651157133,0.0275950662595,0.0825542113409,0.0935969639767,0.1323107782376,0.0516846987511,0.1010237253256,0.0378595286883,0.0999521825037,0.1134752237545,0.1018688816259,0.094696273947,0.0593548714217,0.1073250698488,0.0695847955438,0.1007978672768,0.0583602019381,0.0886545387997,0.048042977985,0.1138811943053,0.1072229550825,0.1017701592474,0.0994740977416,0.0256479867301,0.1128510243223,0.0443868386178,0.0227365531481,0,0.0916754579393,0.0646648151581,0.0925884218213,0.072601518291,0.1105210079364,0.0620675621313,0.0999973431862,0.1099195078784,0.0987609983691,0.0670158127805,0.1041006701467,0.0287068781865
"1642.MS00538",0.0227911007989,0.0991179865587,0.0210502341242,0.0232737109475,0.0659308376355,0.1090076527608,0.0237995896098,0.0997937974887,0.0214446932135,0.0219614139041,0.0218679658967,0.047033730853,0.09943546382,0.0215115170988,0.1166096157339,0.0413727554957,0.1140358978275,0.0213421114755,0.1068451043306,0.0267991282411,0.0353579465024,0.022635873466,0.0583888460394,0.093796324225,0.0258889000417,0.0961495834304,0.0989483563862,0.0916754579393,0,0.1154893735583,0.0226191418884,0.1046444861137,0.0242469433138,0.1120392625153,0.0208928072003,0.025215158353,0.0211561853887,0.1161172487394,0.0311000605479,0.0926360505733
"2382.MU002.C3.HA.3.288.root.9.11.lane1.NoIndex.L001.sequences",0.1087340678532,0.0634738943458,0.1127623779623,0.1136965528787,0.1320114495753,0.0152894215775,0.1201655136442,0.024437349253,0.1108409479778,0.1301436917269,0.1151084467327,0.1227631288404,0.0337205744966,0.1063869401322,0.0292106961594,0.106004709762,0.0149186199789,0.1203430481576,0.0142527931211,0.1083064747488,0.0981123125316,0.1211463502777,0.1060824041683,0.0464695597352,0.1225412368081,0.020174290467,0.0516445571508,0.0646648151581,0.1154893735583,0,0.1246147231504,0.0189421527441,0.0887791172704,0.0140024453752,0.114133533161,0.1359162954639,0.1108693786063,0.021794668974,0.0937801836957,0.0582815884608
"1642.MS00609",0.0244941086136,0.0993903888349,0.0216848228833,0.0259310467857,0.0720595464111,0.1179385772818,0.0253054970377,0.1084321127859,0.023180197754,0.0241748739489,0.0216455601659,0.0418783490501,0.107750102757,0.0219567953719,0.1282504958722,0.048635134203,0.1192974503223,0.0206165878251,0.1132511607832,0.0280431405002,0.0388117572608,0.0238972111489,0.061703017214,0.098105965753,0.0253018682886,0.1029287438286,0.0974215268286,0.0925884218213,0.0226191418884,0.1246147231504,0,0.1180433257286,0.028611536727,0.1210344398722,0.0228809930626,0.0239736705979,0.0225958964014,0.1320471358576,0.0331358207249,0.0963859703156
"2382.SH005.C3.RH.5.59.root.6.11.lane1.NoIndex.L001.sequences",0.0951978523481,0.0718923831268,0.1010849472563,0.0998350329301,0.1195952499005,0.0191438059429,0.1087070471166,0.0210962687819,0.0994359115544,0.1085755617362,0.1026546737371,0.1059425586509,0.0203201609633,0.0967229505489,0.0157858563039,0.0967403954224,0.0283944796851,0.1132060800948,0.0168481744104,0.0991799023468,0.0845177102353,0.1041745563939,0.0939968200535,0.0371424191976,0.112907293114,0.0190390217241,0.0663668678872,0.072601518291,0.1046444861137,0.0189421527441,0.1180433257286,0,0.0821998010251,0.0163824252515,0.105515124089,0.1289434882683,0.0986208177403,0.0180372476824,0.0820897253898,0.0535214275612
"1642.MS00504",0.026072314097,0.1198765684429,0.0284528457379,0.0237597078152,0.0515474289944,0.0869031348534,0.022258059176,0.0816561442438,0.0236345164158,0.0217259401828,0.0229147746471,0.0419433153708,0.0782785746975,0.0198938206363,0.0914698597854,0.0347242485154,0.0944355198765,0.0262688433421,0.083951429373,0.0226550875769,0.0294617447318,0.0231815631778,0.0482967410441,0.08368462455,0.0263617492845,0.0789946965479,0.1160762478723,0.1105210079364,0.0242469433138,0.0887791172704,0.028611536727,0.0821998010251,0,0.0866140717449,0.0242735774491,0.0265799657479,0.0237737361712,0.0880788528923,0.0252322688004,0.083747364663
