"","2382.SH004.C1.RH.3.612.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00441","1001.SKB8","2382.MU002.C3.HA.4.493.root.4.12.lane7.NoIndex.L007.sequences","2382.SH008.C6.HA.4.343.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00467","1642.MS00463","2382.HE003.C181.HA.2.758.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00606","1642.MS00423","1642.MS00585","1642.MS00343","1642.MS00335","2382.SH007.C6.RH.2.507.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00429","1642.MS00567","2382.SH004.C1.RH.3.213.root.9.11.lane1.NoIndex.L001.sequences","2382.HE003.C181.HA.5.572.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00578","2382.MU002.C3.HA.3.71.root.6.11.lane1.NoIndex.L001.sequences","1642.MS00507","1642.MS00564","1642.MS00358","2382.DPOO1.C1.HA.1.23.root.6.11.lane1.NoIndex.L001.sequences","1642.MS00414","2382.HE003.C181.HA.3.131.r1.root.6.11.lane7.NoIndex.L007.sequences","2382.SH004.C1.RH.5.622.rhizo.9.12.lane7.NoIndex.L007.sequences","2382.MU002.C3.HA.3.288.root.9.11.lane1.NoIndex.L001.sequences","2382.SH004.C1.RH.4.418.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00596","2382.SH008.C6.HA.4.115.root.6.11.lane1.NoIndex.L001.sequences","1642.MS00542","1642.MS00489","1642.MS00391","1642.MS00613","1642.MS00402","2382.MU002.C3.HA.4.692.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00630","1642.MS00437","2382.SH008.C6.HA.4.543.root.4.12.lane7.NoIndex.L007.sequences"
"1642.MS00358",0.127503871558,0.0808110134823,0.1662757865804,0.1135787713608,0.1031112544753,0.0682797298515,0.0709485748995,0.1253450108033,0.0805382092795,0.0764737748968,0.0758396271412,0.0632483197823,0.0704479603107,0.1062305226723,0.0653020733468,0.0688117824595,0.1153086906989,0.1251415671261,0.07339352219,0.1068478013889,0.0843848202084,0.0814688755438,0,0.1258119366199,0.0628604082435,0.1378576410098,0.1155328289946,0.123939652555,0.1250292877781,0.0768144583568,0.1144230938582,0.0732825406102,0.0707428232566,0.0745184627499,0.1049363958164,0.0694751772798,0.1163869715139,0.0775820604655,0.0699456569808,0.1149019626453
"2382.DPOO1.C1.HA.1.23.root.6.11.lane1.NoIndex.L001.sequences",0.0329266736969,0.0839140479075,0.1113754507225,0.0288532605797,0.0228393081908,0.0954875033311,0.0847475667317,0.0304717813757,0.0907748252228,0.0773118458567,0.0835716827049,0.0896728121651,0.0737455228579,0.0328924794224,0.0882522074971,0.0881927129958,0.0241326208328,0.041035368827,0.0963032072767,0.0208378486714,0.0862971610459,0.0846653486821,0.1258119366199,0,0.0854156075186,0.0404089686144,0.0303614648601,0.024937653911,0.0255347920339,0.0872893457078,0.0314502865316,0.0884458661922,0.1026043632731,0.0859257409853,0.0921637518135,0.0791274137514,0.039407484409,0.0853698064398,0.0808155469892,0.0222846586947
"1642.MS00414",0.0863872206481,0.0192481032488,0.1551144457326,0.0981584422414,0.0859234229062,0.0231899953206,0.0229218124809,0.1021752877647,0.0256166211537,0.022448497894,0.0253138837791,0.0232335025613,0.0233082060685,0.0838401332279,0.0228840179072,0.0221965206873,0.0865999766952,0.0891912078651,0.0265087097157,0.0886361309216,0.0238464367946,0.025624583739,0.0628604082435,0.0854156075186,0,0.114143366595,0.0867404819814,0.1011053202066,0.1090133534,0.0252659404577,0.0817269315606,0.0230557532108,0.022640975042,0.0205362653544,0.0329866728503,0.0215880574284,0.0949219500388,0.02438371086,0.0192897718789,0.0881298939712
"2382.HE003.C181.HA.3.131.r1.root.6.11.lane7.NoIndex.L007.sequences",0.0637561263017,0.1165342790032,0.0931017067574,0.0339068078119,0.0455650489862,0.120013086106,0.1142082398372,0.0110036048115,0.1249593819457,0.1065655161851,0.1174280529664,0.1072208959912,0.097099735055,0.0631603235871,0.1269248379304,0.1155979435376,0.0377663072285,0.065101738896,0.1220532625937,0.0296499798385,0.1133897132457,0.111206856621,0.1378576410098,0.0404089686144,0.114143366595,0,0.0663605308524,0.0240422866962,0.0186359106805,0.1221966169449,0.0404364501278,0.1174532218181,0.1353771743061,0.110330254408,0.1454904562913,0.1090126324824,0.0792663631565,0.112692530462,0.116988632937,0.0314776001318
"2382.SH004.C1.RH.5.622.rhizo.9.12.lane7.NoIndex.L007.sequences",0.0181851565509,0.0824228570988,0.1104011227616,0.0469646654427,0.0279924013668,0.0890456360793,0.0827224829956,0.0514791785533,0.0910789463811,0.0735938715224,0.0837420033918,0.0826398377538,0.0776787818807,0.0238557063777,0.0834931713482,0.091638206517,0.0314693568466,0.0326010124344,0.0994306710765,0.0366373537546,0.0919348688177,0.0841700719761,0.1155328289946,0.0303614648601,0.0867404819814,0.0663605308524,0,0.0524083462372,0.0447771494098,0.0858646393791,0.042880491323,0.0886049624845,0.0946822554936,0.0874047919155,0.084296181582,0.0785385602651,0.0296510924327,0.0827140194782,0.0777946194682,0.0315926274154
"2382.MU002.C3.HA.3.288.root.9.11.lane1.NoIndex.L001.sequences",0.0480754662067,0.1056123521851,0.068363374724,0.0184616150973,0.0267526549277,0.1124680221699,0.1065178444148,0.0191652142385,0.1132571103999,0.0977945996304,0.1068930921519,0.1019401256849,0.0913951106268,0.0505941440215,0.103503210334,0.1066646383903,0.0222593960075,0.0597199661079,0.1126695930307,0.0148155567669,0.1015325885311,0.0998178034494,0.123939652555,0.024937653911,0.1011053202066,0.0240422866962,0.0524083462372,0,0.0141190250205,0.1116558548221,0.0322124224528,0.1064862781489,0.124853534742,0.1012621343435,0.1212562603391,0.0981364520137,0.0607884461297,0.1084698050368,0.1054591969968,0.0199604282572
"2382.SH004.C1.RH.4.418.root.4.12.lane7.NoIndex.L007.sequences",0.0379997522454,0.1098644714962,0.0739408179146,0.0239526874451,0.0257385862264,0.116383384133,0.1105372020013,0.0149913975178,0.1153373137434,0.0999312034471,0.1088231556795,0.1074089589074,0.0939846668433,0.0393730660212,0.1057192296396,0.1124736303475,0.0234132260498,0.0506930060898,0.117312558074,0.0174870872476,0.1135433904324,0.1021888776612,0.1250292877781,0.0255347920339,0.1090133534,0.0186359106805,0.0447771494098,0.0141190250205,0,0.1142291162175,0.0296242882329,0.11231129488,0.1259469757568,0.105805724941,0.1206241494151,0.0953500574346,0.0585866397612,0.1094333484424,0.1083908599892,0.0202523864543
"1642.MS00596",0.0855444854979,0.0228317896117,0.1596316232699,0.1045666931807,0.0952787506546,0.0241817661386,0.0232811367597,0.1112877975142,0.0226160313698,0.0250053189679,0.0219002734362,0.0340551231118,0.0320902633461,0.0864540595802,0.028388657351,0.0220732966486,0.0973605566645,0.0932682824312,0.024045687005,0.0953269724388,0.0224140864204,0.0231853163085,0.0768144583568,0.0872893457078,0.0252659404577,0.1221966169449,0.0858646393791,0.1116558548221,0.1142291162175,0,0.0940771055392,0.0230634237561,0.0244778754109,0.027592441493,0.0261562217786,0.023379747364,0.0929956402068,0.0202280107732,0.0225442444599,0.0981658170073
"2382.SH008.C6.HA.4.115.root.6.11.lane1.NoIndex.L001.sequences",0.0434937655582,0.0828076350105,0.0950930837565,0.0337488982177,0.0265950299047,0.0905383610743,0.083853432289,0.0299006451542,0.098784155415,0.0755748551169,0.0871621536345,0.0776699162926,0.0683771051108,0.0398036597576,0.0859349215745,0.0864943958749,0.0294315518205,0.0375277649089,0.0952446247155,0.0269491166704,0.0838310482326,0.082206301556,0.1144230938582,0.0314502865316,0.0817269315606,0.0404364501278,0.042880491323,0.0322124224528,0.0296242882329,0.0940771055392,0,0.0858802506535,0.1009165780809,0.081545943998,0.1042608698905,0.0814999678688,0.0500021594271,0.0863628955998,0.0821715730561,0.0240254644893
"1642.MS00542",0.0914807256289,0.0196962647449,0.159403166428,0.1048157591801,0.0894259853145,0.017499498928,0.0194849933477,0.1059598023907,0.0209132255396,0.0220015219576,0.0195835782556,0.0374169852752,0.0287742445397,0.0868365689684,0.0267955060523,0.016982836681,0.0913712061826,0.0927805870655,0.0178188855697,0.0930144180845,0.0184477877676,0.0177560241988,0.0732825406102,0.0884458661922,0.0230557532108,0.1174532218181,0.0886049624845,0.1064862781489,0.11231129488,0.0230634237561,0.0858802506535,0,0.0196160029279,0.0208982957182,0.034491391979,0.0222323403108,0.1002221382224,0.0209556020775,0.024464097371,0.0941062494298
"1642.MS00489",0.0932931363832,0.0197614843169,0.1631506186371,0.1070683715984,0.1061987521354,0.0172207304384,0.0199696200682,0.125488472603,0.0228606772846,0.0233216100622,0.0219728302255,0.0328612989068,0.0262256425371,0.101151348805,0.0248607096532,0.0214678948472,0.1086763123697,0.0999870591256,0.0206972408683,0.1095023360052,0.0183847252102,0.0218365348522,0.0707428232566,0.1026043632731,0.022640975042,0.1353771743061,0.0946822554936,0.124853534742,0.1259469757568,0.0244778754109,0.1009165780809,0.0196160029279,0,0.0215596919206,0.0333988525461,0.0230143829205,0.1148292682912,0.0225193892822,0.0233224071756,0.1112888160166
