"","1642.MS00441","1642.MS00414","1642.MS00562","2382.MU002.C3.HA.2.482.rhizo.4.12.r1.lane7.NoIndex.L007.sequences","1642.MS00498","1642.MS00533","1642.MS00584","1642.MS00447","1642.MS00418","1642.MS00397","2382.SH008.C6.HA.2.533.root.4.12.lane7.NoIndex.L007.sequences","2382.SH004.C1.RH.2.7.root.6.11.lane1.NoIndex.L001.sequences","1642.MS00396","1642.MS00408","2382.DPOO1.C1.HA.4.442.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00423","1642.MS00360","1642.MS00409","2382.SH005.C3.RH.4.467.rhizo.4.12.lane7.NoIndex.L007.sequences","2382.HE003.C181.HA.3.563.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00622","1642.MS00474","2382.SH007.C6.RH.2.708.root.9.12.lane7.NoIndex.L007.sequences","2382.RU006.C181.RH.4.593.root.4.12.lane7.NoIndex.L007.sequences","2382.SH007.C6.RH.5.522.rhizo.4.12.lane7.NoIndex.L007.sequences","2382.DPOO1.C1.HA.3.638.root.9.12.lane7.NoIndex.L007.sequences","2382.SH004.C1.RH.4.618.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00548","2382.SH008.C6.HA.5.348.root.9.11.lane1.NoIndex.L001.sequences","2382.HE003.C181.HA.4.568.root.4.12.lane7.NoIndex.L007.sequences","2382.GM.181.R4.root.10.12.lane7.NoIndex.L007.sequences","1642.MS00510","2382.SH004.C1.RH.3.11.r1.root.6.11.lane7.NoIndex.L007.sequences","1642.MS00391","1642.MS00402","2382.SH008.C6.HA.3.338.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00572","2382.SH007.C6.RH.5.723.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00387","1642.MS00552"
"1642.MS00622",0.0247941595959,0.0273945599602,0.022609608764,0.0928059493823,0.0255665132833,0.0245436720368,0.0295109320592,0.0324388301465,0.0263289389766,0.0260384177105,0.1008765000985,0.117973218702,0.0272847330098,0.0225807553653,0.0992757617546,0.0243951705287,0.0406021896437,0.0241858893727,0.0942927715812,0.0998886197017,0,0.0241939130369,0.1228328493849,0.1036808697577,0.094445539141,0.1037833233396,0.1223555516247,0.0247860416625,0.1158286963096,0.1094579928081,0.1317032306625,0.0251736375217,0.1202440169466,0.0307351376333,0.0257730991755,0.1141924768793,0.0228865374539,0.1249235523906,0.0257487649626,0.0292522791281
"1642.MS00474",0.0215204074925,0.0233628184976,0.0196020566868,0.0973157188607,0.0194717395683,0.0202570737443,0.0233586038393,0.0283487394258,0.0229693724681,0.0218109060934,0.0965885889362,0.1090561831693,0.0240391898695,0.0209820197466,0.1001956127296,0.0236650741064,0.0360184948881,0.0193948046928,0.0934107348684,0.10047245043,0.0241939130369,0,0.122292137053,0.0985027854519,0.0952006358195,0.0982411379782,0.1137365044856,0.020057488557,0.1119824024537,0.1095933996674,0.1249667068655,0.0191437490714,0.1182796019584,0.0227512669793,0.023164301283,0.1085907193923,0.0192407267606,0.119407322261,0.0249966989437,0.0206163390125
"2382.SH007.C6.RH.2.708.root.9.12.lane7.NoIndex.L007.sequences",0.1182689907901,0.1186030812701,0.1137599543794,0.0672800995992,0.1181117349916,0.1359926626833,0.1405284655778,0.1373262195847,0.121916850981,0.1083129997858,0.0435870516467,0.023836454693,0.1231377473183,0.1097918595287,0.0719334328413,0.1097568770163,0.1087979384438,0.1038513616736,0.0527134549544,0.024454162461,0.1228328493849,0.122292137053,0,0.0376080004693,0.0496463915766,0.0272108495835,0.0270918647515,0.1209170568095,0.0183922010139,0.0163651711284,0.0323836010519,0.1265954821179,0.0154183477188,0.1172331328607,0.1126940945337,0.0174158635861,0.1197491825302,0.0170613373992,0.110007573341,0.1370137316527
"2382.RU006.C181.RH.4.593.root.4.12.lane7.NoIndex.L007.sequences",0.0936670180221,0.0941560096347,0.0909738712857,0.0623522460877,0.0962478459148,0.1125277402197,0.1144808425226,0.1190859194284,0.0998028157618,0.0846517942709,0.0403984424828,0.0456059944543,0.0990065882821,0.0859519760988,0.0716426601261,0.0853573254423,0.0958822552557,0.0779556134328,0.0510121455234,0.0340516113214,0.1036808697577,0.0985027854519,0.0376080004693,0,0.0507600747144,0.046849343276,0.0506465802061,0.1001688829998,0.0433581427999,0.0394522917703,0.0357896042978,0.100054352352,0.0540472364119,0.0932029847326,0.0920046725224,0.0427122515096,0.0995450688449,0.0531220991922,0.0864735618576,0.1153764416882
"2382.SH007.C6.RH.5.522.rhizo.4.12.lane7.NoIndex.L007.sequences",0.0896761527232,0.0904925082839,0.0867299380873,0.0286481454761,0.0921246566845,0.1075132699033,0.1092349436391,0.1089768370822,0.0932499022732,0.0814557695074,0.0258157550784,0.0389748418342,0.0954086562974,0.0802546100811,0.0360439820261,0.0804327308175,0.0891008730998,0.079884663921,0.0227084077921,0.0333225794283,0.094445539141,0.0952006358195,0.0496463915766,0.0507600747144,0,0.0333111057842,0.0471839934569,0.0973377603925,0.0444513836862,0.0449922384476,0.0696383134177,0.1020762985034,0.0440473700204,0.0926810970503,0.0851641452514,0.0386553760654,0.096903078714,0.0470622953661,0.0787634799303,0.1098180501845
"2382.DPOO1.C1.HA.3.638.root.9.12.lane7.NoIndex.L007.sequences",0.0947000892501,0.0946401620439,0.0938804745409,0.0418095177812,0.0952030878488,0.1127554015222,0.1118181500823,0.1127488797547,0.0983126350543,0.0857103316981,0.0305533131447,0.0261216419194,0.101598062722,0.0852802068073,0.0445608834471,0.0877634923981,0.0897072706282,0.0837552022159,0.0324812061184,0.0247353160652,0.1037833233396,0.0982411379782,0.0272108495835,0.046849343276,0.0333111057842,0,0.0243028839735,0.0973469431763,0.0221325020333,0.0255878038769,0.0439821130765,0.1041382241606,0.0250508373712,0.0939824550874,0.0927914486601,0.0250659234856,0.0996182415304,0.0232802759717,0.0859778096777,0.1113499989931
"2382.SH004.C1.RH.4.618.root.9.12.lane7.NoIndex.L007.sequences",0.1084236175723,0.1072990586879,0.1076327071863,0.0673448860818,0.108686945754,0.127203381593,0.1253793218253,0.1252293527293,0.1113639535945,0.096689273501,0.0409499027861,0.0134570994735,0.1146086670934,0.098371329665,0.0709052360498,0.1019389184745,0.099447557798,0.0946291633239,0.0454590045362,0.0314059767914,0.1223555516247,0.1137365044856,0.0270918647515,0.0506465802061,0.0471839934569,0.0243028839735,0,0.1125544797909,0.0261563272507,0.026132620623,0.0298261053118,0.1183570532648,0.0244929623531,0.1035767710347,0.1074393798196,0.0205295002378,0.1166444635319,0.0145026882942,0.1026004950005,0.1200292378294
"1642.MS00548",0.0220999107569,0.0237711695971,0.0218467682367,0.0966812562325,0.0197741612441,0.0202352099109,0.0219992727156,0.0266105650715,0.0233490023095,0.0222777755658,0.1076185230401,0.1112544772123,0.0251971751987,0.0217653802903,0.1005163114394,0.0230576278502,0.0358497452401,0.0196802842283,0.092505610043,0.0961579224265,0.0247860416625,0.020057488557,0.1209170568095,0.1001688829998,0.0973377603925,0.0973469431763,0.1125544797909,0,0.1097140581884,0.1099851805139,0.119945183083,0.0185161695969,0.1164361264601,0.0229625326547,0.0227977885504,0.1084219410795,0.0198875268355,0.1184527308104,0.0258993812842,0.0212725437235
"2382.SH008.C6.HA.5.348.root.9.11.lane1.NoIndex.L001.sequences",0.1065295364167,0.1065886471906,0.1069637767105,0.0566700020635,0.1083620957531,0.1269177298968,0.1274739788828,0.1222342803737,0.1106091372279,0.0968800837152,0.0410399459257,0.0239431239004,0.1141517443016,0.0993721406124,0.0577402786077,0.102063260438,0.0969793047258,0.0953796421749,0.0478102138724,0.0236902026157,0.1158286963096,0.1119824024537,0.0183922010139,0.0433581427999,0.0444513836862,0.0221325020333,0.0261563272507,0.1097140581884,0,0.0195118278785,0.0395796869812,0.114687456149,0.0180766850626,0.1065463329655,0.1033942254273,0.0171565510664,0.110146557492,0.017171834702,0.0981650333458,0.1261475821024
"2382.HE003.C181.HA.4.568.root.4.12.lane7.NoIndex.L007.sequences",0.1054204403634,0.1056462096919,0.101383185076,0.0616547915685,0.1066077425849,0.1240444894861,0.1253800776882,0.1245312921479,0.1109577361648,0.0967469712979,0.0362383451138,0.0223272820946,0.1124284232899,0.0987574342959,0.0630893550997,0.0985410451924,0.0992038177952,0.0926370528582,0.0461563602131,0.0148692310087,0.1094579928081,0.1095933996674,0.0163651711284,0.0394522917703,0.0449922384476,0.0255878038769,0.026132620623,0.1099851805139,0.0195118278785,0,0.0272183996203,0.1153609576512,0.0169258440405,0.1048086804956,0.0989211131484,0.019221874122,0.1097772496496,0.0169032515463,0.097535781519,0.1260592684955
"2382.GM.181.R4.root.10.12.lane7.NoIndex.L007.sequences",0.1176928255841,0.1183998841353,0.1188110522432,0.0835248818426,0.1114465952751,0.1326855906437,0.1377993046896,0.1379263498767,0.1238708711109,0.10218925794,0.041773831199,0.0261315339764,0.1190289499118,0.106995676122,0.0812600166428,0.1127743246217,0.0999768664856,0.1006321350525,0.0603898135822,0.0375654363388,0.1317032306625,0.1249667068655,0.0323836010519,0.0357896042978,0.0696383134177,0.0439821130765,0.0298261053118,0.119945183083,0.0395796869812,0.0272183996203,0,0.1250967351014,0.0406586834749,0.1061381270486,0.1202133406753,0.0277783294189,0.1268827208271,0.0258605624912,0.1076669895782,0.1299120349547
"1642.MS00510",0.0218448907211,0.0242581413668,0.0208135942756,0.1019018815478,0.0199084974345,0.0202432719776,0.021259876899,0.0249194160412,0.0221079340415,0.0210925525264,0.1147184112364,0.1139462333283,0.0231074655506,0.0220092743927,0.1080907127828,0.0231400727324,0.0329588721158,0.0192859339135,0.1016308977388,0.1061002259806,0.0251736375217,0.0191437490714,0.1265954821179,0.100054352352,0.1020762985034,0.1041382241606,0.1183570532648,0.0185161695969,0.114687456149,0.1153609576512,0.1250967351014,0,0.1215462568853,0.0215180466344,0.0242012695412,0.1135007786267,0.0200880995769,0.1245617768915,0.0248707021196,0.0208873698793
"2382.SH004.C1.RH.3.11.r1.root.6.11.lane7.NoIndex.L007.sequences",0.1152827949558,0.1175734251931,0.1103183866141,0.057369800547,0.1163823126744,0.1377848756598,0.1379523927188,0.1349001991277,0.1216685354914,0.1058034032523,0.0496530201822,0.0236785579565,0.1235048131939,0.1063955723704,0.0674942522664,0.1096839285525,0.1095163004929,0.1035565637831,0.0489513331184,0.0244672694397,0.1202440169466,0.1182796019584,0.0154183477188,0.0540472364119,0.0440473700204,0.0250508373712,0.0244929623531,0.1164361264601,0.0180766850626,0.0169258440405,0.0406586834749,0.1215462568853,0,0.1146444193597,0.1097046487213,0.0217852302579,0.1164205250372,0.0172860843866,0.1080986089628,0.1328904775511
