"","1642.MS00354","1642.MS00611","2382.SH007.C6.RH.1.502.rhizo.4.12.lane7.NoIndex.L007.sequences","2382.MU002.C3.HA.3.488.root.4.12.lane7.NoIndex.L007.sequences","2382.SH005.C3.RH.1.253.root.9.11.lane1.NoIndex.L001.sequences","2382.DPOO1.C1.HA.2.632.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00552","1642.MS00376","1642.MS00620","2382.SH007.C6.RH.5.323.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00493","1642.MS00569","1642.MS00429","1642.MS00437","2382.SH004.C1.RH.3.412.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00411","1642.MS00491","1642.MS00347","1642.MS00390","2382.HE003.C181.HA.1.353.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00412","2382.HE003.C181.HA.3.131.r1.root.6.11.lane7.NoIndex.L007.sequences","1642.MS00614","1642.MS00338","1642.MS00388","1642.MS00399","1642.MS00498","2382.RU006.C181.RH.5.398.root.9.11.lane1.NoIndex.L001.sequences","2382.RU006.C181.RH.2.583.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00625","2382.SH004.C1.RH.3.613.root.9.12.lane7.NoIndex.L007.sequences","2382.SH008.C6.HA.1.728.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00418","2382.HE003.C181.HA.3.763.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00370","1642.MS00363","2382.MU002.C3.HA.5.497.rhizo.4.12.lane7.NoIndex.L007.sequences","2382.SH007.C6.RH.4.517.rhizo.4.12.lane7.NoIndex.L007.sequences","2382.SH008.C6.HA.4.542.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00541"
"1642.MS00412",0.0350123430553,0.0374125172606,0.1022708192659,0.1028746692287,0.0974911722883,0.098169271261,0.0314347050008,0.030412422627,0.0337004876822,0.1084325177685,0.028781350553,0.0327272287618,0.027768260143,0.0238731758589,0.1012307868407,0.0234738480652,0.03378269308,0.0290755151276,0.030155601892,0.1211120663684,0,0.1347993650745,0.0417942278115,0.029585781648,0.0277637483199,0.026075370393,0.0270543400067,0.0974883021095,0.104231821846,0.0319442770898,0.1397525652316,0.1197796747485,0.0234755853858,0.1321452326993,0.1004345042927,0.0284984735828,0.0998140321399,0.101201734596,0.0955315237283,0.0339521084342
"2382.HE003.C181.HA.3.131.r1.root.6.11.lane7.NoIndex.L007.sequences",0.0997351540354,0.1313693885128,0.0756764082417,0.0393003103577,0.0429688361423,0.0828160986883,0.1389947800074,0.1263046592899,0.1653968973522,0.0383254017627,0.1251495669898,0.1358000211173,0.1371792151591,0.1282017687409,0.0712367281173,0.1234659671066,0.1242851897534,0.1299573287563,0.119893132367,0.0143623570658,0.1347993650745,0,0.149002011678,0.1130079248191,0.1463585530427,0.1248978877723,0.1220825702964,0.0532309363163,0.0325461301584,0.1472159095331,0.0173213996165,0.0238169450258,0.1290907400453,0.0112670300572,0.1405592128225,0.1116793995417,0.0878995564845,0.0719958549164,0.0698084533796,0.1250201368433
"1642.MS00614",0.0647589710281,0.0236396276602,0.107886255887,0.1075686328865,0.1009065540003,0.0905588429171,0.0363833788818,0.0598597446528,0.0295104412073,0.1162114458336,0.0278612358009,0.0280465965562,0.0458782925483,0.0302656457309,0.0993497944923,0.0349846804863,0.0332695987685,0.0688070637435,0.0498236564852,0.126788884708,0.0417942278115,0.149002011678,0,0.0550896180186,0.0562635929826,0.0396153190059,0.0328303887179,0.1060831562572,0.1135688576918,0.0266807186345,0.1451286570474,0.1255476368346,0.0327200952457,0.1339548705785,0.1236816921953,0.0375907380928,0.0943943830118,0.0987516913819,0.0951423113903,0.0347619411857
"1642.MS00338",0.0213001634603,0.0474122990022,0.0970566940823,0.0906821543973,0.0873401777819,0.1185300530548,0.0331718058786,0.0258090361551,0.055156444808,0.0847174384652,0.0389845768142,0.0477885333766,0.0251090211901,0.0309643218694,0.0947209188576,0.0304017715077,0.0413589315546,0.0257670225931,0.01782233446,0.1027086709314,0.029585781648,0.1130079248191,0.0550896180186,0,0.0232809588321,0.0232132164239,0.0316577898325,0.089493318097,0.0918167399156,0.0432041165031,0.1183321278098,0.0980036861507,0.0273677433123,0.1152688897913,0.0749243850877,0.0255514964469,0.1106594562999,0.1005129112333,0.0932742616482,0.0426652830168
"1642.MS00388",0.0321195011231,0.048555270317,0.107542525783,0.1039765218796,0.0981621624059,0.1126694783347,0.0318659180577,0.0297191273267,0.0429153271824,0.105742906642,0.0371548681356,0.0478639914474,0.0228979243348,0.0275382240576,0.1021103061783,0.0299044460201,0.0384982605901,0.0298694666986,0.0223285468788,0.1208776162056,0.0277637483199,0.1463585530427,0.0562635929826,0.0232809588321,0,0.0239079031317,0.0312165990159,0.1056106163724,0.112657547013,0.0401087556087,0.140579914803,0.114856733666,0.026559989816,0.1338075157827,0.0907083243153,0.028014859885,0.1080646473793,0.1030722416155,0.0990613276491,0.0422123123077
"1642.MS00399",0.0304060796531,0.0328284500102,0.1019032590584,0.097339287917,0.0959343498625,0.1193328739144,0.0237298890096,0.0307872989049,0.0397249863323,0.1016626758433,0.0273251670703,0.0318436221612,0.024689326249,0.0260301003122,0.1009186806383,0.0221967415831,0.0331356533029,0.0304731761781,0.0194290218253,0.113932223664,0.026075370393,0.1248978877723,0.0396153190059,0.0232132164239,0.0239079031317,0,0.0226697883733,0.0944374066836,0.0973759200704,0.0299934034303,0.1286037193269,0.1102419016291,0.0221023911342,0.123448471265,0.0927820868,0.0243635312144,0.1134222385036,0.1032998257883,0.096507772855,0.0262601827917
"1642.MS00498",0.0398635283932,0.0267315615769,0.0977419236688,0.0942847796553,0.0903948649722,0.1021307666648,0.0214259132126,0.039777195958,0.0331085832031,0.097374475859,0.0241734768352,0.0266519808419,0.0260376108688,0.0249421654811,0.0947013774779,0.0238639141213,0.0295832220967,0.0392324331181,0.0280293238842,0.1137254207647,0.0270543400067,0.1220825702964,0.0328303887179,0.0316577898325,0.0312165990159,0.0226697883733,0,0.0918053013323,0.0960368643176,0.0267988573429,0.1275938008294,0.1108200645776,0.0230980358255,0.1229063070794,0.1009619407778,0.0255345591971,0.1019871173742,0.0985695572507,0.0893687402829,0.0233244619082
"2382.RU006.C181.RH.5.398.root.9.11.lane1.NoIndex.L001.sequences",0.0764339028854,0.0957909509974,0.0497053080482,0.0460740708568,0.0386337270548,0.0580488466877,0.1091270484153,0.0937688209234,0.1148055901222,0.0440856623338,0.0925911469703,0.0944949920729,0.0950660128662,0.0889454419879,0.0538734937297,0.0896147643851,0.0909135355794,0.0949475662773,0.0959017326333,0.0382726102052,0.0974883021095,0.0532309363163,0.1060831562572,0.089493318097,0.1056106163724,0.0944374066836,0.0918053013323,0,0.0178972007576,0.1012595822597,0.0527571245319,0.0481098595352,0.0965786986485,0.0449391772291,0.1182790603959,0.0735818473631,0.0620808265737,0.0536789502375,0.0518712254617,0.098973229195
"2382.RU006.C181.RH.2.583.root.4.12.lane7.NoIndex.L007.sequences",0.0770310509415,0.100296209617,0.0469777632296,0.0344123188327,0.0380575430325,0.0555079910796,0.1131017104785,0.1019392799181,0.121371843006,0.0342160964126,0.0972036064671,0.1011698777091,0.0999017926548,0.0962132540519,0.0511465729732,0.0936489211642,0.0967954150481,0.1029221764133,0.0996873749552,0.0264659736178,0.104231821846,0.0325461301584,0.1135688576918,0.0918167399156,0.112657547013,0.0973759200704,0.0960368643176,0.0178972007576,0,0.1069517648993,0.037173504842,0.0303871502525,0.1034226486957,0.0275591320598,0.1109801447393,0.0764923611415,0.0584371174776,0.053971934061,0.0500292102172,0.1010429550214
"1642.MS00625",0.0514702753536,0.0259646775817,0.100987977398,0.1061171653196,0.0990330974783,0.0888721662403,0.0294764040647,0.0486660301273,0.0267259389134,0.1179843071466,0.0220705515001,0.0229505215587,0.0355187108461,0.0260303824716,0.0949272041859,0.0262240707527,0.0258505275949,0.0495722127415,0.0381221874895,0.1194629835653,0.0319442770898,0.1472159095331,0.0266807186345,0.0432041165031,0.0401087556087,0.0299934034303,0.0267988573429,0.1012595822597,0.1069517648993,0,0.1421354468713,0.1229091948276,0.026777910776,0.1260586482247,0.1211913640001,0.0304052027889,0.091425859943,0.0944145288731,0.0912510282123,0.0280174052369
"2382.SH004.C1.RH.3.613.root.9.12.lane7.NoIndex.L007.sequences",0.0980350471273,0.1329041565378,0.070955699113,0.0327496746345,0.03374298874,0.0733673283871,0.1469476278275,0.12545366392,0.1563065107189,0.0282323450891,0.1320472831356,0.1407451430641,0.1271650441715,0.1309196406813,0.0648405856455,0.1278822986998,0.1315586590716,0.1279172621878,0.1280884665919,0.0220943133734,0.1397525652316,0.0173213996165,0.1451286570474,0.1183321278098,0.140579914803,0.1286037193269,0.1275938008294,0.0527571245319,0.037173504842,0.1421354468713,0,0.0177793496394,0.1359287756383,0.0183907013167,0.1309789376543,0.110459210283,0.0812186377644,0.070977181625,0.0636397155804,0.1369344660141
"2382.SH008.C6.HA.1.728.root.9.12.lane7.NoIndex.L007.sequences",0.0832538966224,0.1206848985037,0.0517730538288,0.0214296720688,0.0311510803231,0.0587368414844,0.1288646755209,0.113933279472,0.1366446128607,0.0274998030967,0.1147604752252,0.1194788318984,0.1057237733335,0.112072214201,0.05093934499,0.1094043070518,0.1182256573137,0.1124115752583,0.1095296529287,0.0218364137542,0.1197796747485,0.0238169450258,0.1255476368346,0.0980036861507,0.114856733666,0.1102419016291,0.1108200645776,0.0481098595352,0.0303871502525,0.1229091948276,0.0177793496394,0,0.1189545068874,0.019587124146,0.1189358286199,0.0922766577288,0.0640612143362,0.0552452309036,0.0505153281113,0.1185990455613
"1642.MS00418",0.0354913620841,0.028452268967,0.1033546301251,0.1008029657651,0.0941954745856,0.0951297208983,0.0250425253352,0.0316641118938,0.0290055998296,0.1034787670734,0.0246341196271,0.0284972588478,0.0250051657853,0.0223451933636,0.0991285597926,0.0217264537054,0.0303620000172,0.0325324935552,0.0267918778724,0.1202028730293,0.0234755853858,0.1290907400453,0.0327200952457,0.0273677433123,0.026559989816,0.0221023911342,0.0230980358255,0.0965786986485,0.1034226486957,0.026777910776,0.1359287756383,0.1189545068874,0,0.1297441977337,0.1048891968601,0.0234758923269,0.0962168581257,0.0978277649301,0.0944054636566,0.0288945958889
