"","1642.MS00606","1642.MS00433","1642.MS00633","2382.SH004.C1.RH.2.608.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00361","1642.MS00413","2382.MU002.C3.HA.3.288.root.9.11.lane1.NoIndex.L001.sequences","2382.MU002.C3.HA.3.488.root.4.12.lane7.NoIndex.L007.sequences","2382.SH004.C1.RH.5.623.root.9.12.lane7.NoIndex.L007.sequences","2382.HE003.C181.HA.1.552.rhizo.4.12.lane7.NoIndex.L007.sequences","2382.RU006.C181.RH.4.155.root.6.11.lane1.NoIndex.L001.sequences","1642.MS00442","1642.MS00505","1642.MS00524","2382.SH007.C6.RH.3.713.root.9.12.lane7.NoIndex.L007.sequences","2382.MU002.C3.HA.1.477.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00482","2382.RU006.C181.RH.4.792.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00461","2382.HE003.C181.HA.3.762.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00612","1642.MS00522","2382.HE003.C181.HA.2.358.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00431","2382.RU006.C181.RH.3.388.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00601","1642.MS00516","1642.MS00541","1642.MS00530","1642.MS00621","1642.MS00559","2382.SH007.C6.RH.1.303.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00602","2382.SH007.C6.RH.2.707.rhizo.9.12.lane7.NoIndex.L007.sequences","2382.SH005.C3.RH.5.673.root.9.12.lane7.NoIndex.L007.sequences","2382.RU006.C181.RH.2.147.root.6.11.lane1.NoIndex.L001.sequences","1642.MS00430","2382.SH005.C3.RH.5.59.root.6.11.lane1.NoIndex.L001.sequences","1642.MS00341","2382.SH008.C6.HA.1.SH008.root.root.9.12.lane7.NoIndex.L007.sequences"
"1642.MS00612",-1.28456367786185,-1.35225213868243,-3.13169857260139,0.577764892919007,-2.08651387761031,-2.53800540479078,1.29725560387672,1.7576483921841,1.09076440216913,3.8735043223206,1.11145610264228,-1.6227188823882,-0.974172630487612,-1.70538556530945,0.94720576955961,6.99862668430302,-2.79677640010649,5.14263423801393,-1.54910260344492,5.38179953066293,NA,-1.31429326966523,0.912233999758416,-2.06217997920577,2.50732846109396,-1.62839715380634,-2.37670737048743,-2.0658249632659,-3.94679224094796,-1.87367662996929,-2.23876889077479,2.23904271355773,-1.78365705356263,5.58954750812655,1.86843171080716,2.21746223312674,-1.69099145437984,0.776438565398588,-2.18769507393449,0.722876596253071
"1642.MS00522",-3.25174718599725,-2.15695958024924,-2.31638165286516,-0.228525913951462,-2.40778860965994,-3.13494160163537,0.0966137484704856,0.866948743126669,0.376255653093463,3.75631027487732,0.726906264956929,-4.16666106184063,-2.81884026784131,-1.91912818223025,0.203970101136629,5.86899777293826,-3.43543690306135,4.17427282107683,-2.57007110584029,4.70376604818183,-1.31429326966523,NA,0.266980978136187,-2.66984865087797,2.50285382808689,-3.42052484797497,-2.89480840691475,-4.33318693922188,-1.6460305307053,-2.40809026271962,-1.49488732839394,2.08226952323125,-2.18294371564487,4.82845825217454,0.750996973686659,1.55891553784456,-3.37222455570099,0.0686471501856697,-2.58682686294215,-0.214955089483124
"2382.HE003.C181.HA.2.358.root.9.11.lane1.NoIndex.L001.sequences",0.158224795345374,-0.216252404033923,1.96041178601739,-5.31889023196292,-0.734574451284757,-0.0899552537397648,-5.06524595279157,-6.0841796748542,-7.31989200087996,-5.21141046546419,-5.83174880519802,0.512097008195036,-0.625893314640542,0.917796736647111,-5.0313940735022,-2.35919114744831,0.970054008364553,-4.96370492048321,0.227298083787605,-2.48356137629648,0.912233999758416,0.266980978136187,NA,-0.692786068150332,-6.66073892783901,0.644130769347075,0.733498560821779,-0.0847486606773771,0.121452252994626,0.862468329010245,0.242568831864762,-7.61124393609915,1.16478200103253,-2.49842581809179,-5.73280074909115,-7.77257574910747,-1.11097282461022,-6.85063911642993,-0.886959724325753,-6.30638327472684
"1642.MS00431",-2.44510468934017,-3.94496298324931,-2.32003509741636,-1.18520674372233,-4.96010944057182,-4.24870836265475,-1.02923726401059,-1.57043648317337,-1.57043772740945,-0.762766098501606,-1.35736781945319,-2.61069189791273,-3.30487763176086,-2.10459979559888,-0.891572336118245,0.111747133206383,-3.24642642170677,-0.41738522990713,-2.87407756596402,-0.353361011161421,-2.06217997920577,-2.66984865087797,-0.692786068150332,NA,-0.2738625239937,-3.02878840868059,-2.45222005261687,-3.94798675809877,-5.04535634123629,-2.11523181344568,-2.89363966121699,-0.999546349395998,-0.857155879165886,-0.639136977066709,-1.47783548851862,-0.983645622822706,-5.44127210440272,-1.46040711072163,-3.2387323726891,-1.79311996800625
"2382.RU006.C181.RH.3.388.root.9.11.lane1.NoIndex.L001.sequences",2.64616253936954,-0.592772692683576,3.12316930218791,-3.96968732659091,-1.08064479734029,0.414576834796894,-5.30560319500107,-6.96524045229608,-5.30841009093915,-3.83385065884968,-6.04650698951007,1.42567406172624,0.462789427984317,2.41147291238663,-4.82733417282473,-3.99278294624627,2.35272195396307,-4.85689384667467,0.858064938509546,-5.17171634811117,2.50732846109396,2.50285382808689,-6.66073892783901,-0.2738625239937,NA,1.78641623534605,2.69414408428293,1.60986887242763,1.38020563740428,3.75284038111637,0.991348301154126,-4.77242947826621,2.89680125736416,-4.79196012921502,-4.74037470800853,-7.97104829617594,-0.33024152007536,-5.20394319076377,-1.42016172765165,-5.33261332572662
"1642.MS00601",-3.25762836953136,-2.56347233932019,-2.75602035878469,0.389275028884968,-3.03437703130737,-3.09436863051257,0.591121420243995,0.387003597531909,0.435436020729927,5.27581889084328,0.331480458107754,-3.07127616646461,-3.52316579090966,-3.2661171530642,0.464437143970287,7.22471660880786,-3.00249626543938,5.17107843160676,-3.60268112177102,5.26735089682149,-1.62839715380634,-3.42052484797497,0.644130769347075,-3.02878840868059,1.78641623534605,NA,-4.60030281832771,-4.04690565552593,-2.19968428964575,-2.39007585425042,-1.74589286212105,2.11135402530523,-3.46643635580474,6.72999272091503,0.874597218494456,1.70296341036278,-3.56166176269389,0.381892012628338,-2.04664263731145,0.0401328918043807
"1642.MS00516",-3.08238767803186,-2.49433385119168,-3.3782099753221,0.285684031897511,-3.03236714269663,-3.6591131358467,0.894759838612934,0.759768265723613,0.932051913238018,3.55044550006095,0.681427304818553,-2.96732111748481,-3.28847661707672,-3.64511805283048,0.630896955325757,5.56301249700944,-2.30743238610021,4.35619891919608,-2.95190014240735,3.82019618318399,-2.37670737048743,-2.89480840691475,0.733498560821779,-2.45222005261687,2.69414408428293,-4.60030281832771,NA,-4.74118548118385,-4.65006090838445,-3.36223809420001,-3.4693626780655,2.18559721613253,-4.67954005003098,4.34636603020175,1.18525413673645,1.90280903600893,-3.24646215327762,0.555140632193139,-2.48781998183963,0.690902690923236
"1642.MS00541",-4.37579372259763,-2.57743988083147,-3.54513655535496,-0.461770556541873,-2.45940024111398,-3.34844246710829,-0.339825037040087,0.81344054048708,-0.329121895034088,4.67696962676773,0.563206978372426,-3.46148922397812,-5.86040539413801,-2.09074610253336,-0.405044150963807,7.56856377403975,-3.59508047372105,4.79033980611744,-3.58038759148492,4.67885641320059,-2.0658249632659,-4.33318693922188,-0.0847486606773771,-3.94798675809877,1.60986887242763,-4.04690565552593,-4.74118548118385,NA,-4.94024203081436,-3.37164616437894,-4.44062394748626,1.80679152910237,-4.19204532441653,5.52130494194565,0.159359759404345,1.09724319628576,-3.49339636286905,-0.139746319050963,-1.97299226356132,-0.521353833017641
"1642.MS00530",-1.8076033816246,-1.61146368374346,-3.04198920244687,-0.420781811908148,-3.24354816849727,-4.0928123464438,0.0675771496446969,-0.106520320327548,0.113186439723501,1.72698214686381,-0.00588040083851829,-1.92850299785121,-1.84375787382318,-3.59451939281585,0.143879783009618,3.91062231058524,-2.31197803963017,2.75192094855961,-2.06501721273792,1.53121948887624,-3.94679224094796,-1.6460305307053,0.121452252994626,-5.04535634123629,1.38020563740428,-2.19968428964575,-4.65006090838445,-4.94024203081436,NA,-4.99698604458304,-4.70478157418613,0.798790151692413,-4.54331640910443,2.49685042537163,0.171403655892422,0.801079753797454,-1.99968854739823,-0.289741583924792,-2.9981591185841,-0.531449221726529
"1642.MS00621",-2.44499038999053,-1.66219873718656,-2.14824671851986,0.50432298043816,-2.32006018415496,-2.59157030487063,1.35207841196154,1.82208167966699,1.405593684996,4.69229377253997,2.27410279697843,-1.86569492002472,-2.49587654057712,-1.22003031552409,0.812385777158492,8.38590087363236,-1.77548805830656,5.50224884673415,-1.74003857099195,4.85012773396677,-1.87367662996929,-2.40809026271962,0.862468329010245,-2.11523181344568,3.75284038111637,-2.39007585425042,-3.36223809420001,-3.37164616437894,-4.99698604458304,NA,-3.62086890852135,2.61329666985609,-2.26114375040673,6.31268140946461,2.05990128320482,2.52130044187306,-1.86398619138889,1.29952093736191,-1.53068642046768,1.2724940247717
