#OTU-ID	Description	Env	SourceSink	Study	Details
A304	Host-associated	Animal-distal-gut	source	EMP	EMP
A332	Host-associated	Animal-distal-gut	source	EMP	EMP
A338	Host-associated	Animal-distal-gut	source	EMP	EMP
A373	Host-associated	Animal-distal-gut	source	EMP	EMP
A389	Host-associated	Animal-distal-gut	source	EMP	EMP
A397	Host-associated	Animal-distal-gut	source	EMP	EMP
A398	Host-associated	Animal-distal-gut	source	EMP	EMP
A408	Host-associated	Animal-distal-gut	source	EMP	EMP
A421	Host-associated	Animal-distal-gut	source	EMP	EMP
A435	Host-associated	Animal-distal-gut	source	EMP	EMP
A448	Host-associated	Animal-distal-gut	source	EMP	EMP
A460	Host-associated	Animal-distal-gut	source	EMP	EMP
A478	Host-associated	Animal-distal-gut	source	EMP	EMP
A503	Host-associated	Animal-distal-gut	source	EMP	EMP
A532	Host-associated	Animal-distal-gut	source	EMP	EMP
A538	Host-associated	Animal-distal-gut	source	EMP	EMP
A542	Host-associated	Animal-distal-gut	source	EMP	EMP
A545	Host-associated	Animal-distal-gut	source	EMP	EMP
A552	Host-associated	Animal-distal-gut	source	EMP	EMP
A561	Host-associated	Animal-distal-gut	source	EMP	EMP
A566	Host-associated	Animal-distal-gut	source	EMP	EMP
A574	Host-associated	Animal-distal-gut	source	EMP	EMP
A581	Host-associated	Animal-distal-gut	source	EMP	EMP
A633	Host-associated	Animal-distal-gut	source	EMP	EMP
A634	Host-associated	Animal-distal-gut	source	EMP	EMP
A640	Host-associated	Animal-distal-gut	source	EMP	EMP
A651	Host-associated	Animal-distal-gut	source	EMP	EMP
A664	Host-associated	Animal-distal-gut	source	EMP	EMP
A687	Host-associated	Animal-distal-gut	source	EMP	EMP
A701	Host-associated	Animal-distal-gut	source	EMP	EMP
A706	Host-associated	Animal-distal-gut	source	EMP	EMP
A722	Host-associated	Animal-distal-gut	source	EMP	EMP
A734	Host-associated	Animal-distal-gut	source	EMP	EMP
A743	Host-associated	Animal-distal-gut	source	EMP	EMP
A749	Host-associated	Animal-distal-gut	source	EMP	EMP
A800	Host-associated	Animal-distal-gut	source	EMP	EMP
A834	Host-associated	Animal-distal-gut	source	EMP	EMP
A838	Host-associated	Animal-distal-gut	source	EMP	EMP
A870	Host-associated	Animal-distal-gut	source	EMP	EMP
A873	Host-associated	Animal-distal-gut	source	EMP	EMP
A876	Host-associated	Animal-distal-gut	source	EMP	EMP
A891	Host-associated	Animal-distal-gut	source	EMP	EMP
A892	Host-associated	Animal-distal-gut	source	EMP	EMP
A895	Host-associated	Animal-distal-gut	source	EMP	EMP
A898	Host-associated	Animal-distal-gut	source	EMP	EMP
A905	Host-associated	Animal-distal-gut	source	EMP	EMP
A912	Host-associated	Animal-distal-gut	source	EMP	EMP
A921	Host-associated	Animal-distal-gut	source	EMP	EMP
A924	Host-associated	Animal-distal-gut	source	EMP	EMP
A929	Host-associated	Animal-distal-gut	source	EMP	EMP
A931	Host-associated	Animal-distal-gut	source	EMP	EMP
A936	Host-associated	Animal-distal-gut	source	EMP	EMP
A941	Host-associated	Animal-distal-gut	source	EMP	EMP
A951	Host-associated	Animal-distal-gut	source	EMP	EMP
