"Aerosol-non-saline"	"Animal-corpus"	"Animal-distal-gut"	"Animal-proximal-gut"	"Animal-secretion"	"Animal-surface"	"Hypersaline-saline"	"Plant-corpus"	"Plant-surface"	"Sediment-non-saline"	"Sediment-saline"	"Soil-non-saline"	"Surface-non-saline"	"Surface-saline"	"Water-non-saline"	"Water-saline"	"Unknown"
"A1169"	0.0299	0.0127	0.0273	0.0553	0.0143	0.0078	0.0084	0.0969	0.0127	0.5225	0.0313	0.1025	0.0139	0.0139	0.0276	0.0075	0.0155
"A1220"	0.0261	0.0136	0.0652	0.0457	0.0152	0.0095	0.0085	0.06	0.0134	0.398	0.04	0.1394	0.0132	0.0203	0.0677	0.0114	0.0528
"A1230"	0.0204	0.0041	0.0374	0.0369	0.0102	0.006	0.0087	0.1963	0.0095	0.481	0.0251	0.0643	0.0091	0.0115	0.0238	0.0062	0.0495
"A1234"	0.0076	0.0165	0.0023	0.0026	0.0054	0.0089	0.0088	0.0012	0.0287	0.0868	0.0434	0.4542	0.0088	0.0171	0.0246	0.0103	0.2728
"A1259"	0.0073	0.0138	0.0044	0.0032	0.0053	0.0087	0.0083	0.0028	0.0419	0.0429	0.0299	0.7438	0.0168	0.0191	0.0318	0.0134	0.0066
"A1272"	0.0177	0.0113	0.0263	0.0311	0.0072	0.0091	0.01	0.0365	0.0114	0.5018	0.0279	0.2191	0.0123	0.015	0.0326	0.0088	0.0219
"A1317"	0.0182	0.0094	0.0264	0.0416	0.0096	0.006	0.0088	0.0322	0.0107	0.5703	0.0331	0.1101	0.0074	0.0122	0.026	0.01	0.068
"A1339"	0.0199	0.0308	0.0062	0.0038	0.0087	0.0425	0.0188	0.0485	0.096	0.0258	0.0641	0.3259	0.0274	0.0855	0.1666	0.0237	0.0058
"A1341"	0.0062	0.0137	0.0048	0.0051	0.009	0.0112	0.0054	0.0015	0.0075	0.0279	0.0155	0.841	0.0139	0.0098	0.0101	0.0054	0.012
"A1379"	0.0235	0.011	0.0265	0.0221	0.01	0.0115	0.0104	0.0468	0.019	0.3837	0.0391	0.2107	0.0133	0.0198	0.1181	0.0095	0.025
"A1393"	0.015	0.0064	0.0226	0.0234	0.0064	0.0054	0.0084	0.004	0.0136	0.363	0.0228	0.2206	0.0082	0.0078	0.0197	0.0058	0.2469
"A1415"	0.026	0.0115	0.0167	0.0201	0.0126	0.0093	0.0108	0.1366	0.0071	0.2753	0.0249	0.1408	0.0107	0.0123	0.2603	0.0084	0.0166
"A1435"	0.0123	0.0085	0.0177	0.0159	0.0075	0.005	0.0093	0.0563	0.0102	0.5813	0.0264	0.1594	0.0099	0.0163	0.0287	0.0091	0.0262
"A1442"	0.0153	0.0685	0.006	0.003	0.0151	0.0641	0.0086	0.0089	0.2582	0.0215	0.093	0.1484	0.0293	0.0982	0.1179	0.0394	0.0046
"A1490"	0.0181	0.0103	0.0188	0.0255	0.0117	0.0067	0.0069	0.0195	0.0144	0.5018	0.0225	0.2311	0.013	0.0161	0.0283	0.0067	0.0486
"A1522"	0.0159	0.0427	0.0052	0.0047	0.0107	0.0398	0.0117	0.0705	0.1644	0.02	0.1433	0.2541	0.0196	0.0987	0.0575	0.0378	0.0034
"A1529"	0.0094	0.0058	0.0097	0.0107	0.0056	0.0039	0.0085	0.0032	0.0072	0.64	0.0259	0.2013	0.0106	0.007	0.0137	0.0035	0.034
