"Aerosol-non-saline"	"Animal-corpus"	"Animal-distal-gut"	"Animal-proximal-gut"	"Animal-secretion"	"Animal-surface"	"Hypersaline-saline"	"Plant-corpus"	"Plant-surface"	"Sediment-non-saline"	"Sediment-saline"	"Soil-non-saline"	"Surface-non-saline"	"Surface-saline"	"Water-non-saline"	"Water-saline"	"Unknown"
"A7990"	0.007	0.0111	0.0023	0.0015	0.005	0.0066	0.0064	0.0022	0.0125	0.0344	0.0094	0.8436	0.0072	0.0088	0.0179	0.0053	0.0188
"A7996"	0.0118	0.0046	0.01	0.0141	0.008	0.0049	0.0074	0.002	0.0053	0.6429	0.0287	0.1837	0.0087	0.0078	0.0262	0.003	0.0309
"A8042"	0.0037	0.0101	0.0028	0.0024	0.0037	0.0072	0.0073	0.0024	0.025	0.0918	0.0262	0.7069	0.0127	0.0139	0.0236	0.0091	0.0512
"A8065"	0.022	0.0079	0.0249	0.0225	0.0095	0.0053	0.0085	0.267	0.0061	0.3447	0.0285	0.1394	0.0074	0.0114	0.047	0.0063	0.0416
"A8079"	0.0083	0.006	0.0229	0.014	0.0056	0.0048	0.0075	0.0024	0.007	0.6692	0.0238	0.1446	0.0075	0.0073	0.0186	0.0045	0.046
"A8107"	0.017	0.0087	0.0245	0.0268	0.0071	0.0067	0.0086	0.122	0.0122	0.5194	0.0261	0.1205	0.0097	0.0147	0.0381	0.0107	0.0272
"A8150"	0.0177	0.0062	0.0165	0.0176	0.0066	0.0056	0.0052	0.1327	0.0111	0.4775	0.0283	0.1689	0.0079	0.0108	0.032	0.0083	0.0471
"A8184"	0.0061	0.0185	0.0031	0.0015	0.0077	0.0084	0.0081	0.0071	0.0405	0.0601	0.0319	0.6881	0.0127	0.029	0.0494	0.0141	0.0137
"A8185"	0.0178	0.0067	0.0755	0.0492	0.0078	0.0083	0.0116	0.0198	0.0123	0.5612	0.0313	0.0877	0.0086	0.0162	0.0321	0.0099	0.044
"A8194"	0.0145	0.0332	0.0031	0.0038	0.0082	0.0238	0.0097	0.0588	0.1052	0.0279	0.0457	0.4688	0.016	0.0739	0.0678	0.0332	0.0064
"A8200"	0.0063	0.0219	0.0039	0.003	0.0081	0.0102	0.0068	0.0029	0.0468	0.0476	0.0284	0.5211	0.012	0.0185	0.043	0.0145	0.205
"A8246"	0.0115	0.1016	0.0052	0.0055	0.0156	0.1067	0.0111	0.0116	0.1497	0.0185	0.1865	0.1567	0.0263	0.0941	0.0509	0.0437	0.0048
"A8260"	0.0253	0.0081	0.0301	0.0269	0.0107	0.0102	0.0079	0.1907	0.0132	0.2149	0.0357	0.2242	0.0085	0.0156	0.1299	0.0105	0.0376
"A8286"	0.0186	0.0095	0.0149	0.0174	0.0072	0.0075	0.005	0.0818	0.0087	0.5414	0.0315	0.1601	0.0075	0.0114	0.0284	0.0085	0.0406
"A8309"	0.0085	0.0153	0.0035	0.0026	0.0061	0.0129	0.0087	0.0018	0.0345	0.0543	0.0302	0.7013	0.0096	0.0179	0.0619	0.0239	0.007
"A8310"	0.0553	0.034	0.0384	0.0371	0.035	0.0278	0.0074	0.0469	0.0166	0.1396	0.039	0.2009	0.0289	0.0297	0.1147	0.0115	0.1372
"A8334"	0.0184	0.0051	0.0285	0.0322	0.0056	0.0038	0.0095	0.0921	0.0128	0.6083	0.0354	0.0665	0.006	0.0106	0.0294	0.0069	0.0289
"A8361"	0.0132	0.0526	0.0048	0.0025	0.0096	0.0295	0.0086	0.0344	0.1591	0.0409	0.1272	0.2066	0.0264	0.0567	0.0806	0.036	0.1113
"A8364"	0.0135	0.0063	0.0255	0.0175	0.0064	0.0065	0.0089	0.0071	0.006	0.5063	0.03	0.2105	0.0097	0.0122	0.0535	0.0061	0.074
"A8368"	0.0124	0.0773	0.0037	0.0039	0.0116	0.0445	0.0084	0.007	0.3268	0.0228	0.204	0.1256	0.023	0.0585	0.0223	0.0444	0.0038
"A8417"	0.013	0.0073	0.0137	0.0204	0.008	0.0074	0.0108	0.0048	0.0121	0.5908	0.0368	0.1502	0.0097	0.0106	0.0236	0.0071	0.0737
"A8438"	0.0119	0.0495	0.0032	0.0053	0.0133	0.0367	0.0091	0.0134	0.0958	0.0413	0.1339	0.4069	0.0207	0.0627	0.0552	0.0321	0.009
"A8487"	0.0143	0.0075	0.0147	0.0138	0.007	0.0058	0.0061	0.0343	0.014	0.6508	0.0353	0.1031	0.01	0.0111	0.024	0.0075	0.0407
"A8508"	0.028	0.011	0.0584	0.0414	0.0144	0.0105	0.0089	0.0432	0.0146	0.2968	0.0384	0.2503	0.0092	0.0225	0.118	0.0139	0.0205
"A8532"	0.0233	0.0069	0.0315	0.0304	0.0085	0.0089	0.0098	0.0224	0.0133	0.4837	0.0344	0.2119	0.0123	0.0138	0.0311	0.0081	0.0497
"A8547"	0.0089	0.0782	0.0064	0.004	0.0134	0.0599	0.0063	0.0066	0.1471	0.0139	0.1232	0.369	0.0161	0.0657	0.0251	0.0529	0.0033
"A8570"	0.0076	0.0107	0.0096	0.008	0.0059	0.0072	0.0062	0.0017	0.0088	0.4922	0.0438	0.2713	0.0083	0.0097	0.011	0.008	0.09
"A8588"	0.0076	0.0094	0.0029	0.0018	0.0054	0.0079	0.0066	0.0045	0.0221	0.0652	0.0193	0.3143	0.0095	0.013	0.0215	0.0084	0.4806
"A8591"	0.0113	0.0503	0.0036	0.0042	0.0116	0.0611	0.0093	0.0061	0.1803	0.0244	0.1849	0.2219	0.0312	0.1078	0.0428	0.0399	0.0093
"A8621"	0.016	0.0057	0.0129	0.0187	0.0057	0.0057	0.0076	0.0343	0.0076	0.5535	0.0242	0.2015	0.0113	0.0143	0.0365	0.0078	0.0367
"A8644"	0.0131	0.0077	0.0319	0.0298	0.0098	0.007	0.0083	0.0081	0.0113	0.5518	0.0295	0.1973	0.009	0.0107	0.0287	0.0053	0.0407
"A8649"	0.0156	0.0512	0.0048	0.0044	0.0156	0.0548	0.0128	0.0162	0.1302	0.0191	0.0606	0.3264	0.0342	0.0828	0.1326	0.0316	0.0071
"A8689"	0.0183	0.0056	0.0207	0.0216	0.0056	0.0056	0.0076	0.121	0.0097	0.56	0.0225	0.1192	0.0114	0.0121	0.0281	0.008	0.023
"A8705"	0.0131	0.0304	0.0038	0.0022	0.0096	0.0298	0.0083	0.1236	0.1359	0.03	0.0552	0.2755	0.0198	0.095	0.127	0.0374	0.0034
"A8707"	0.0053	0.0098	0.0013	0.0016	0.0051	0.0064	0.0045	0.0024	0.0223	0.0952	0.0243	0.7627	0.0112	0.01	0.015	0.008	0.0149
"A8724"	0.0355	0.0149	0.032	0.0201	0.0133	0.0145	0.0095	0.1626	0.0267	0.1419	0.0462	0.1502	0.013	0.0278	0.2239	0.0141	0.0538
"A8741"	0.01	0.05	0.0052	0.0036	0.0113	0.0311	0.0099	0.0116	0.1903	0.029	0.1339	0.3344	0.0278	0.0628	0.0411	0.0355	0.0125
"A8755"	0.0158	0.0407	0.0041	0.0026	0.0102	0.0327	0.0111	0.0666	0.0927	0.0334	0.0792	0.3386	0.0354	0.0942	0.0988	0.0388	0.0051
"A8793"	0.0151	0.0057	0.0228	0.0231	0.0071	0.0047	0.0052	0.066	0.0053	0.5738	0.0173	0.1385	0.0065	0.0101	0.0208	0.006	0.072
"A8799"	0.0101	0.0082	0.0072	0.0072	0.0065	0.0035	0.0069	0.0041	0.0077	0.6112	0.0226	0.1955	0.0093	0.009	0.02	0.0038	0.0672
"A8815"	0.0102	0.0755	0.0048	0.0038	0.016	0.0847	0.0104	0.0022	0.2236	0.0162	0.1848	0.1895	0.0195	0.0881	0.0313	0.0354	0.004
"A8840"	0.0185	0.0081	0.0407	0.0317	0.0086	0.0088	0.0072	0.0223	0.0113	0.4983	0.035	0.1993	0.011	0.0136	0.0393	0.008	0.0383
"A8866"	0.0233	0.0089	0.0395	0.0507	0.0063	0.0063	0.0083	0.1314	0.0086	0.499	0.0276	0.0965	0.0079	0.01	0.0413	0.0097	0.0247
"A8895"	0.0154	0.0067	0.0434	0.0258	0.0089	0.0059	0.007	0.0041	0.0088	0.4635	0.0276	0.2133	0.0094	0.0115	0.0357	0.0057	0.1073
"A8920"	0.0301	0.0084	0.029	0.0273	0.0094	0.0122	0.0099	0.0853	0.0149	0.1914	0.0386	0.2665	0.01	0.0203	0.1808	0.0176	0.0483
"A8956"	0.0125	0.0221	0.0058	0.0044	0.0122	0.0269	0.0101	0.0236	0.09	0.0333	0.084	0.445	0.0208	0.0699	0.1014	0.0321	0.0059
"A8963"	0.0117	0.0052	0.0308	0.0277	0.0073	0.0042	0.0079	0.0031	0.0087	0.5432	0.027	0.0954	0.0057	0.0085	0.0146	0.0037	0.1953
"A8990"	0.0127	0.0069	0.0172	0.0128	0.0068	0.0059	0.0087	0.0074	0.0128	0.5792	0.0308	0.1694	0.0113	0.0157	0.0288	0.0089	0.0647
"A8997"	0.0056	0.0151	0.0027	0.002	0.004	0.0089	0.0074	0.0023	0.0317	0.1084	0.0328	0.4873	0.0143	0.0217	0.0222	0.0143	0.2193
"A9016"	0.0075	0.0132	0.0023	0.0015	0.0071	0.0096	0.0074	9e-04	0.0252	0.0664	0.0335	0.7074	0.0096	0.0178	0.0374	0.0134	0.0398
"A9040"	0.0116	0.0256	0.0033	0.0033	0.0086	0.017	0.0064	0.1563	0.0763	0.0258	0.0377	0.4622	0.0247	0.0502	0.0628	0.0213	0.0069
"A9062"	0.0124	0.0076	0.0141	0.0144	0.0074	0.0053	0.0062	0.2009	0.0109	0.4893	0.0272	0.1298	0.0089	0.0117	0.0248	0.0079	0.0212
"A9066"	0.0173	0.0378	0.0055	0.0035	0.011	0.0341	0.0091	0.0679	0.1476	0.0253	0.1018	0.3087	0.0254	0.109	0.0551	0.0355	0.0054
"A9069"	0.0162	0.0532	0.0058	0.0048	0.0117	0.0457	0.0113	0.013	0.2164	0.0154	0.0364	0.1339	0.0333	0.0746	0.2902	0.0334	0.0047
"A9088"	0.012	0.1107	0.0061	0.0041	0.0162	0.0759	0.0126	0.005	0.1254	0.0203	0.1672	0.2121	0.0231	0.0905	0.0706	0.0437	0.0045
"A9112"	0.0141	0.008	0.009	0.0113	0.0078	0.0068	0.0089	0.0392	0.0104	0.5485	0.0395	0.1848	0.0102	0.0146	0.0239	0.0067	0.0563
"A9121"	0.0135	0.0221	0.0044	0.0046	0.0104	0.0219	0.0076	0.1452	0.057	0.0488	0.0719	0.3193	0.0178	0.0553	0.1703	0.0199	0.01
"A9126"	0.0169	0.0089	0.0363	0.0281	0.011	0.008	0.0071	0.0138	0.0103	0.5819	0.0687	0.1113	0.0109	0.0151	0.0282	0.0108	0.0327
"A9140"	0.0086	0.0162	0.0031	0.0024	0.007	0.0079	0.0091	0.0021	0.0293	0.096	0.0245	0.3144	0.0108	0.0163	0.0407	0.0137	0.3979
"A9143"	0.0081	0.0088	0.0022	0.0016	0.0043	0.0094	0.0084	0.0152	0.0403	0.0839	0.0367	0.5964	0.0165	0.034	0.0976	0.0164	0.0202
"A9181"	0.019	0.0082	0.0164	0.0196	0.0082	0.0088	0.0074	0.2484	0.0108	0.3866	0.0344	0.1514	0.0083	0.0168	0.0322	0.0111	0.0124
"A9225"	0.0078	0.0128	0.0021	0.0018	0.0085	0.0092	0.0113	0.0046	0.0176	0.0938	0.0339	0.3775	0.0164	0.0229	0.0512	0.0118	0.3168
"A9235"	0.0155	0.049	0.0043	0.003	0.0135	0.0434	0.0097	0.1069	0.152	0.0302	0.1027	0.1855	0.0171	0.1318	0.0694	0.061	0.005
"A9246"	0.0126	0.0054	0.0162	0.014	0.0088	0.0077	0.0082	0.0206	0.0113	0.5108	0.027	0.2487	0.0101	0.0127	0.0403	0.0068	0.0388
"A9258"	0.0175	0.0458	0.0058	0.0035	0.0108	0.0368	0.0087	0.0246	0.1537	0.0354	0.0978	0.3163	0.0291	0.0971	0.0825	0.0289	0.0057
"A9271"	0.0121	0.0426	0.006	0.003	0.0085	0.0417	0.0111	0.1186	0.1276	0.0267	0.1356	0.2134	0.0249	0.1166	0.0571	0.0435	0.011
"A9295"	0.0106	0.0044	0.0159	0.0179	0.0092	0.0068	0.006	0.0038	0.0086	0.5791	0.0331	0.2194	0.0098	0.008	0.0262	0.0067	0.0345
"A9316"	0.03	0.0092	0.1111	0.054	0.018	0.0093	0.0085	0.032	0.0088	0.2356	0.0418	0.1916	0.0107	0.0139	0.1844	0.0067	0.0344
"A9331"	0.0197	0.0068	0.0318	0.0295	0.0093	0.0052	0.0065	0.0503	0.012	0.5601	0.0418	0.1406	0.0047	0.0122	0.0304	0.0085	0.0306
"A9345"	0.0139	0.3136	0.0037	0.0027	0.0124	0.022	0.0078	0.0039	0.1311	0.0151	0.0124	0.225	0.0185	0.0385	0.1504	0.0262	0.0028
"A9354"	0.0354	0.0086	0.06	0.0354	0.0158	0.0071	0.0106	0.1405	0.0109	0.342	0.0279	0.0874	0.0116	0.0117	0.1687	0.007	0.0194
"A9357"	0.0065	0.0199	0.0019	0.0027	0.0067	0.0072	0.0067	0.0043	0.0228	0.0829	0.0258	0.2448	0.0122	0.0186	0.0258	0.0097	0.5015
"A9358"	0.007	0.0067	0.0026	9e-04	0.0057	0.0064	0.005	0.0028	0.0194	0.0446	0.0172	0.8271	0.0076	0.0114	0.0158	0.0096	0.0102
"A9412"	0.0089	0.0414	0.0052	0.0032	0.0105	0.0376	0.0101	0.0073	0.2611	0.026	0.1821	0.2234	0.0263	0.0669	0.0334	0.0366	0.02
"A9415"	0.0079	0.0039	0.0174	0.0124	0.0058	0.0057	0.0076	0.0029	0.0042	0.6674	0.0152	0.0705	0.0082	0.006	0.0118	0.0052	0.1479
"A9422"	0.0116	0.0586	0.0045	0.0041	0.0103	0.0566	0.0075	0.0058	0.1866	0.0285	0.0804	0.3872	0.0251	0.0605	0.0367	0.0307	0.0053
"A9423"	0.0138	0.03	0.0038	0.0031	0.0118	0.0231	0.0121	0.1505	0.1308	0.0507	0.0691	0.2739	0.0207	0.0797	0.0826	0.0352	0.0091
"A9430"	0.0134	0.0063	0.0164	0.0192	0.0072	0.0041	0.0062	0.1075	0.0095	0.5584	0.0269	0.1259	0.0073	0.0107	0.0202	0.0075	0.0533
"A9503"	0.0137	0.0064	0.0322	0.034	0.0093	0.0059	0.0094	0.006	0.0124	0.4703	0.0234	0.153	0.0094	0.0103	0.0165	0.0051	0.1827
"A9521"	0.0091	0.0096	0.0034	0.0028	0.0053	0.0078	0.0052	0.0051	0.0239	0.0461	0.0147	0.3157	0.0096	0.0208	0.0382	0.0125	0.4702
"A9530"	0.0125	0.0668	0.0064	0.0035	0.0111	0.0613	0.0085	0.0075	0.1607	0.0203	0.1177	0.3	0.0173	0.096	0.0604	0.0447	0.0053
"A9561"	0.0203	0.0076	0.0296	0.0239	0.0072	0.0078	0.0066	0.0137	0.0136	0.5172	0.0281	0.2377	0.0135	0.0132	0.036	0.0071	0.0169
"A9582"	0.0142	0.0591	0.0069	0.0036	0.0124	0.0385	0.008	0.0206	0.1982	0.0154	0.0529	0.2909	0.0252	0.0792	0.1385	0.0316	0.0048
"A9587"	0.0087	0.009	0.0097	0.0109	0.0086	0.0054	0.0072	0.0046	0.0064	0.6104	0.0273	0.176	0.0123	0.0079	0.0218	0.0056	0.0682
"A9589"	0.0065	0.0108	0.0024	0.0019	0.0048	0.0071	0.0055	0.0116	0.0152	0.03	0.012	0.8173	0.0118	0.0158	0.0246	0.0112	0.0115
"A9605"	0.0073	0.0162	0.0023	0.002	0.0061	0.0123	0.0076	0.002	0.0254	0.0763	0.0293	0.4805	0.0126	0.0196	0.0257	0.0106	0.2642
"A9611"	0.0255	0.0108	0.0419	0.033	0.0129	0.0126	0.0084	0.1136	0.0229	0.2964	0.0344	0.2032	0.014	0.0197	0.1244	0.0119	0.0144
"A9615"	0.0086	0.014	0.0031	0.0041	0.0036	0.0083	0.0044	0.0088	0.0249	0.0748	0.0247	0.4922	0.0137	0.0184	0.0355	0.0126	0.2483
"A9618"	0.0165	0.0905	0.0064	0.0046	0.0135	0.0729	0.0075	0.0755	0.1163	0.0235	0.0676	0.2872	0.0258	0.0855	0.0586	0.0395	0.0086
"A9620"	0.0169	0.0106	0.03	0.0285	0.011	0.0065	0.0093	0.0032	0.0117	0.4922	0.0293	0.2147	0.0109	0.0114	0.029	0.0062	0.0786
"A9638"	0.0104	0.2652	0.0058	0.0027	0.022	0.0943	0.0103	0.002	0.1466	0.0074	0.0177	0.0202	0.0183	0.0516	0.2532	0.0716	7e-04
"A9642"	0.0141	0.0057	0.0247	0.0214	0.0071	0.0058	0.0061	0.0129	0.0065	0.5516	0.0255	0.2041	0.0089	0.0107	0.0323	0.0039	0.0587
"A9675"	0.0247	0.0127	0.0455	0.0247	0.0133	0.0104	0.0083	0.0396	0.0134	0.3109	0.0374	0.2362	0.0111	0.0164	0.1758	0.0112	0.0084
"A9689"	0.0074	0.0169	0.0034	0.0036	0.0116	0.0095	0.0053	0.0018	0.0087	0.0305	0.018	0.8319	0.0138	0.0103	0.0118	0.0065	0.009
"A9700"	0.013	0.0053	0.0672	0.0587	0.0081	0.0058	0.0085	0.0063	0.0069	0.5587	0.0303	0.1054	0.0087	0.0101	0.0198	0.0037	0.0835
"A9722"	0.0187	0.0092	0.0363	0.0261	0.0086	0.0066	0.0061	0.0727	0.012	0.5693	0.0266	0.1126	0.0105	0.0129	0.0326	0.0113	0.0279
"A9757"	0.0049	0.0135	0.0022	0.0025	0.0061	0.0099	0.0076	0.0016	0.0313	0.0542	0.029	0.7238	0.0097	0.0172	0.0223	0.0149	0.0493
"A9787"	0.0129	0.0058	0.0149	0.0123	0.0084	0.0059	0.0081	0.0171	0.0086	0.5505	0.0314	0.1864	0.009	0.0143	0.0412	0.0084	0.0648
"A9793"	0.0081	0.0156	0.0041	0.004	0.0074	0.0136	0.0093	0.0023	0.0488	0.0848	0.0545	0.6125	0.0105	0.0307	0.0581	0.0179	0.0178
"A9815"	0.0124	0.0109	0.0251	0.0346	0.0075	0.0071	0.008	0.0031	0.0137	0.6016	0.0393	0.1587	0.0105	0.011	0.0267	0.0063	0.0235
"A9855"	0.0068	0.0112	0.002	0.0023	0.0047	0.0083	0.0062	0.0034	0.0446	0.0728	0.0203	0.7388	0.01	0.015	0.0276	0.0142	0.0118
"A9863"	0.0126	0.0055	0.0146	0.0182	0.0076	0.0035	0.0094	0.1771	0.0078	0.5613	0.0328	0.0497	0.0109	0.0125	0.0265	0.0087	0.0413
"A9872"	0.0111	0.0049	0.0147	0.0181	0.009	0.0039	0.0072	0.0019	0.0094	0.6242	0.0232	0.1474	0.0072	0.0089	0.0167	0.0038	0.0884
"A9921"	0.015	0.0338	0.0056	0.0054	0.0155	0.039	0.0121	0.013	0.0593	0.0378	0.1114	0.3836	0.0389	0.0712	0.1118	0.0254	0.0212
"A9962"	0.0198	0.009	0.0566	0.0442	0.0128	0.0096	0.0082	0.0198	0.0076	0.5889	0.0302	0.108	0.0092	0.0106	0.03	0.0067	0.0288
