"","1642.MS00545","1024.MU002.C3.HA.2.66.rhizo.6.11.G1.L00","1642.MS00609","2382.SH004.C1.RH.2.407.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00356","1642.MS00599","1642.MS00388","2382.SH008.C6.HA.1.SH008.rhizo.rhizo.9.12.lane7.NoIndex.L007.sequences","2382.MU002.C3.HA.5.697.rhizo.9.12.lane7.NoIndex.L007.sequences","2382.HE003.C181.HA.5.572.rhizo.4.12.lane7.NoIndex.L007.sequences","2382.HE003.C181.HA.4.768.root.9.12.lane7.NoIndex.L007.sequences","1001.SKD8","2382.SH007.C6.RH.2.507.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00606","2382.MU002.C3.HA.2.482.rhizo.4.12.r1.lane7.NoIndex.L007.sequences","1642.MS00370","2382.RU006.C181.RH.5.398.root.9.11.lane1.NoIndex.L001.sequences","2382.SH008.C6.HA.5.748.root.9.12.lane7.NoIndex.L007.sequences","2382.DPOO1.C1.HA.5.647.rhizo.9.12.lane7.NoIndex.L007.sequences","2382.SH007.C6.RH.2.707.rhizo.9.12.lane7.NoIndex.L007.sequences","2382.SH004.C1.RH.3.413.root.4.12.lane7.NoIndex.L007.sequences","1001.SKM9","2382.SH007.C6.RH.1.503.root.4.12.lane7.NoIndex.L007.sequences","2382.MU002.C3.HA.2.683.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00461","1642.MS00558","1642.MS00559","1642.MS00349","1642.MS00419","1642.MS00360","2382.RU006.C181.RH.5.798.root.9.12.lane7.NoIndex.L007.sequences","2382.DPOO1.C1.HA.2.633.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00637","1642.MS00340","1642.MS00413","1642.MS00500","2382.SH007.C6.RH.2.308.root.9.11.lane1.NoIndex.L001.sequences","2382.SH005.C3.RH.1.253.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00398","1642.MS00555"
"2382.SH004.C1.RH.3.413.root.4.12.lane7.NoIndex.L007.sequences",0.9474,0.8514,0.9396,0.8176,0.9604,0.969,0.937,0.8426,0.884,0.8978,0.5422,0.967,0.8146,0.9462,0.8996,0.9814,0.864,0.4472,0.8768,0.8502,0,0.9806,0.4674,0.5692,0.9488,0.949,0.9528,0.9666,0.9532,0.9624,0.8324,0.6442,0.9396,0.964,0.9548,0.944,0.635,0.736,0.9654,0.9596
"1001.SKM9",0.9938,0.964,0.9946,0.9752,0.9916,0.9786,0.9916,0.9782,0.9844,0.992,0.9856,0.7818,0.9748,0.9952,0.9858,0.9944,0.9902,0.9856,0.981,0.9838,0.9806,0,0.9864,0.9814,0.9902,0.9946,0.9934,0.9956,0.9882,0.9908,0.989,0.985,0.9906,0.9924,0.9938,0.993,0.9656,0.9776,0.9954,0.9918
"2382.SH007.C6.RH.1.503.root.4.12.lane7.NoIndex.L007.sequences",0.9594,0.884,0.9562,0.8766,0.9746,0.9776,0.9664,0.8754,0.8946,0.9002,0.547,0.9708,0.8774,0.9622,0.9086,0.987,0.8838,0.5088,0.908,0.8768,0.4674,0.9864,0,0.618,0.9584,0.9582,0.9626,0.9752,0.9624,0.968,0.8168,0.6428,0.9552,0.9682,0.9674,0.9594,0.7246,0.8026,0.971,0.9676
"2382.MU002.C3.HA.2.683.root.9.12.lane7.NoIndex.L007.sequences",0.952,0.847,0.9416,0.8306,0.9634,0.972,0.932,0.8492,0.8688,0.9018,0.6692,0.9686,0.8378,0.9492,0.8708,0.9796,0.811,0.4712,0.866,0.8568,0.5692,0.9814,0.618,0,0.9434,0.945,0.9544,0.9658,0.95,0.9594,0.813,0.6044,0.9432,0.9644,0.955,0.9476,0.5882,0.678,0.9644,0.9548
"1642.MS00461",0.5446,0.9032,0.5744,0.9178,0.741,0.7392,0.656,0.9134,0.9144,0.9218,0.9514,0.984,0.9168,0.5462,0.9196,0.8804,0.909,0.9444,0.925,0.9194,0.9488,0.9902,0.9584,0.9434,0,0.6006,0.556,0.7408,0.6252,0.6838,0.9202,0.9292,0.6122,0.6828,0.5886,0.538,0.931,0.9184,0.6592,0.6174
"1642.MS00558",0.532,0.8938,0.5604,0.9118,0.715,0.7044,0.6452,0.9046,0.9064,0.9022,0.9472,0.9914,0.9048,0.5714,0.9092,0.8578,0.9054,0.9412,0.907,0.9018,0.949,0.9946,0.9582,0.945,0.6006,0,0.5162,0.7,0.5592,0.6446,0.9152,0.9254,0.5566,0.65,0.5212,0.478,0.9344,0.9198,0.6554,0.6162
"1642.MS00559",0.4956,0.895,0.4888,0.9092,0.7438,0.6844,0.6122,0.899,0.9002,0.905,0.9494,0.9886,0.9076,0.5006,0.9082,0.8916,0.9078,0.9478,0.9124,0.906,0.9528,0.9934,0.9626,0.9544,0.556,0.5162,0,0.7258,0.5232,0.6604,0.9216,0.9322,0.5286,0.6664,0.481,0.5208,0.9308,0.9182,0.6792,0.5622
"1642.MS00349",0.688,0.9302,0.766,0.9432,0.5014,0.809,0.6502,0.9404,0.941,0.9476,0.9664,0.995,0.9452,0.7616,0.9478,0.7906,0.9426,0.9664,0.9452,0.9412,0.9666,0.9956,0.9752,0.9658,0.7408,0.7,0.7258,0,0.6798,0.443,0.9478,0.952,0.7744,0.6232,0.6778,0.6832,0.9558,0.9498,0.6478,0.7852
"1642.MS00419",0.597,0.9014,0.5682,0.9158,0.7134,0.6818,0.5958,0.911,0.9118,0.9084,0.9502,0.99,0.9172,0.5736,0.9132,0.8946,0.9096,0.9476,0.9166,0.9102,0.9532,0.9882,0.9624,0.95,0.6252,0.5592,0.5232,0.6798,0,0.622,0.9198,0.928,0.5622,0.6354,0.499,0.567,0.936,0.9208,0.6702,0.6306
"1642.MS00360",0.6346,0.9204,0.7138,0.9382,0.4786,0.78,0.566,0.9358,0.9322,0.9366,0.9574,0.9868,0.9366,0.7216,0.9372,0.777,0.9278,0.9588,0.9392,0.9356,0.9624,0.9908,0.968,0.9594,0.6838,0.6446,0.6604,0.443,0.622,0,0.9362,0.942,0.7242,0.537,0.6088,0.6322,0.9446,0.9368,0.5876,0.7236
"2382.RU006.C181.RH.5.798.root.9.12.lane7.NoIndex.L007.sequences",0.908,0.8486,0.9066,0.891,0.946,0.9478,0.9292,0.867,0.859,0.8546,0.7384,0.9786,0.8916,0.9138,0.8794,0.9732,0.4158,0.7676,0.8966,0.8674,0.8324,0.989,0.8168,0.813,0.9202,0.9152,0.9216,0.9478,0.9198,0.9362,0,0.748,0.9024,0.9384,0.9212,0.9046,0.8156,0.8408,0.9422,0.9034
