"","1642.MS00588","2382.HE003.C181.HA.1.123.root.6.11.lane1.NoIndex.L001.sequences","2382.SH004.C1.RH.5.223.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00510","2382.MU002.C3.HA.2.482.rhizo.4.12.lane7.NoIndex.L007.sequences","2382.MU002.C3.HA.5.498.root.4.12.lane7.NoIndex.L007.sequences","2382.HE003.C181.HA.5.139.root.6.11.lane1.NoIndex.L001.sequences","1642.MS00556","2382.SH007.C6.RH.3.712.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00495","1642.MS00355","1642.MS00590","1642.MS00374","2382.DPOO1.C1.HA.4.442.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00571","2382.MU002.C3.HA.2.67.root.6.11.lane1.NoIndex.L001.sequences","2382.SH005.C3.RH.4.468.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00492","1642.MS00546","2382.MU002.C3.HA.3.71.root.6.11.lane1.NoIndex.L001.sequences","1642.MS00454","2382.SH008.C6.HA.2.732.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00445","1642.MS00444","1642.MS00441","1642.MS00469","2382.SH004.C1.RH.5.422.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00412","2382.DPOO1.C1.HA.1.23.r1.root.6.11.lane7.NoIndex.L007.sequences","1642.MS00471","1642.MS00503","1642.MS00404","1642.MS00505","1642.MS00613","1642.MS00452","2382.SH004.C1.RH.4.617.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00430","1642.MS00544","1642.MS00428","2382.GM.181.R5.rhizo.10.12.lane7.NoIndex.L007.sequences"
"1642.MS00454",0.0283113040019,0.1058228581854,0.1084857396801,0.0181096617111,0.0944651319335,0.1077447813945,0.1106277654275,0.0245150459333,0.0964579111909,0.0197155307763,0.0341075539123,0.0221530202589,0.0413414907461,0.1043791550415,0.0216314390749,0.0985235205646,0.1033349211356,0.0209115520493,0.0245319844226,0.0978709023333,0,0.1112589971202,0.0241791554899,0.0262988171151,0.0224957146541,0.0193250448071,0.092538045696,0.0273479189947,0.1073598827654,0.0198334771821,0.0184254587334,0.0233523485826,0.0179253834619,0.0392934233192,0.0234942456041,0.0970309432199,0.0228566997523,0.0209015583,0.0210894578046,0.0817651856561
"2382.SH008.C6.HA.2.732.rhizo.9.12.lane7.NoIndex.L007.sequences",0.1074585769376,0.0539637941133,0.049625685102,0.1190732373128,0.0292214431141,0.0514145541408,0.0489153139922,0.0973289935773,0.0238538764745,0.105605212118,0.0926290434157,0.1142079760119,0.1026909123965,0.0375762132328,0.1132549387971,0.054998824844,0.0401240152028,0.1004216556321,0.0959762225325,0.0481749096515,0.1112589971202,0,0.0991402762979,0.1082810627385,0.1016622642884,0.1054502669702,0.02521336089,0.0961293410719,0.0451418753861,0.1051864080329,0.1109125102475,0.0822056797063,0.1080270599318,0.0922856515109,0.0922760752781,0.0233840953207,0.088625448624,0.0963096889186,0.0920463846059,0.0374830570829
"1642.MS00445",0.0309816965951,0.1073137140854,0.1138632133862,0.022459925932,0.0966491559906,0.117030390688,0.1153696070935,0.025444173291,0.0988450786379,0.0233537482252,0.0310173355275,0.0274242938126,0.0439134371536,0.1002258199988,0.0240280735208,0.1049948115363,0.1058426677796,0.0247868584419,0.0272627482844,0.1021014145702,0.0241791554899,0.0991402762979,0,0.0203031416234,0.0211946892688,0.0251944695752,0.0956694086884,0.0234959422729,0.1110761593651,0.0242615652604,0.0239476481894,0.0245846744592,0.0227065324588,0.0356526254247,0.0246744247817,0.0986393197269,0.0203397976236,0.0244992723287,0.0202963561226,0.0842448206268
"1642.MS00444",0.0297222900396,0.1094861826487,0.1157912100814,0.0214363693956,0.096874027763,0.1178389960454,0.1161868859621,0.0309349769224,0.1007149880581,0.0236928008698,0.0321753785397,0.0263984253981,0.0508009192448,0.1063451450768,0.0257921311954,0.1042734147047,0.1040716224281,0.0243960899345,0.0307721906156,0.1053150590438,0.0262988171151,0.1082810627385,0.0203031416234,0,0.0200200671127,0.0257756696283,0.0952238013093,0.0229120476311,0.1138034906629,0.0229155692036,0.0209276725029,0.0291614522561,0.021524490562,0.0396236313311,0.0286592649543,0.1008338577944,0.0203093026086,0.0299465911375,0.0228253791533,0.0872673427197
"1642.MS00441",0.0288701046049,0.1003190091576,0.1054993322136,0.0215365265935,0.0886920197713,0.1092848636262,0.106780000908,0.0244017913177,0.0916745817001,0.0219915808849,0.03191460944,0.0250794309518,0.0464675341251,0.0946468698681,0.02345315358,0.096000931843,0.0981862934607,0.0204905938058,0.0235051655309,0.0934416618927,0.0224957146541,0.1016622642884,0.0211946892688,0.0200200671127,0,0.023288277237,0.0880988038762,0.0233055419439,0.103989798683,0.0213428867217,0.020436420012,0.0232838643738,0.0206462523475,0.0310206533569,0.0220010953975,0.0907229509967,0.0198704152366,0.0219187945438,0.0212325369328,0.0776250186465
"1642.MS00469",0.0258257334173,0.1130029583212,0.1122637813959,0.0212023989489,0.0960126766499,0.1158851738931,0.1196876282748,0.02400832804,0.0980896514455,0.0214941690131,0.0359626356247,0.0231666940454,0.0404323521743,0.1022416214987,0.0225219735157,0.1028940591909,0.1065651604705,0.0229573355393,0.0258565581757,0.1022416142193,0.0193250448071,0.1054502669702,0.0251944695752,0.0257756696283,0.023288277237,0,0.0902405779596,0.0287741921545,0.1162676724982,0.0196993695475,0.0209581138272,0.0266122024429,0.0208173671266,0.0341260173266,0.0261946355729,0.0953459717087,0.0238250389049,0.0215106475037,0.0237036187563,0.0804092834923
"2382.SH004.C1.RH.5.422.rhizo.4.12.lane7.NoIndex.L007.sequences",0.09966107902,0.0454175156335,0.042632208341,0.1025860390173,0.030052985203,0.0528365201825,0.047724920991,0.0919570319798,0.023276491713,0.0963444361792,0.0791467651395,0.1053905112458,0.10056752521,0.0367015059708,0.0871979907298,0.0451050357628,0.0332230808652,0.0951426515351,0.0818434312684,0.0434602454787,0.092538045696,0.02521336089,0.0956694086884,0.0952238013093,0.0880988038762,0.0902405779596,0,0.0901376259353,0.0459838320104,0.0839461142146,0.0839038472754,0.0790478091287,0.0818277297688,0.0919531732505,0.0889042463973,0.0200579427571,0.0855793489573,0.077065557932,0.082264693195,0.03451691126
"1642.MS00412",0.0337372986178,0.1059529944613,0.1110937416815,0.0271302019141,0.090017182024,0.1168835383077,0.1151904556319,0.0286417976897,0.0949193333149,0.0254691429806,0.0265586809381,0.0315052864433,0.0382295853976,0.0964670047163,0.0275041605624,0.1019309734271,0.0999646179812,0.0276138091121,0.0304542770503,0.0996605425523,0.0273479189947,0.0961293410719,0.0234959422729,0.0229120476311,0.0233055419439,0.0287741921545,0.0901376259353,0,0.1116893809759,0.0264704931673,0.0283688953573,0.0262989434836,0.0263759399424,0.0383436745893,0.0266283555576,0.0929703225866,0.0242497260049,0.0279866665359,0.0238913116155,0.0826246537799
"2382.DPOO1.C1.HA.1.23.r1.root.6.11.lane7.NoIndex.L007.sequences",0.1176540932286,0.0216849786966,0.0242869456118,0.1145239122493,0.0438619124582,0.0200531950372,0.0224046529378,0.107081272776,0.0483854903629,0.1151635554418,0.0865968684603,0.1190172820754,0.1132795419304,0.06344178915,0.1040828718357,0.0215106037525,0.0414080123043,0.1122916601886,0.099905117831,0.0207592788241,0.1073598827654,0.0451418753861,0.1110761593651,0.1138034906629,0.103989798683,0.1162676724982,0.0459838320104,0.1116893809759,0,0.10049395343,0.100981908448,0.0966217785424,0.0956142181856,0.1111107763728,0.102289207687,0.0412415887164,0.098249047979,0.0938701982137,0.0999243138992,0.0495134880304
"1642.MS00471",0.0267031045961,0.0992376703246,0.1021331661084,0.0211299672678,0.0865784340966,0.10170997614,0.1048627544926,0.024109919525,0.0875603897828,0.0213582109861,0.0333109420132,0.0236506574599,0.0386834371998,0.0900556680617,0.0219216659416,0.0935996074841,0.0954586625144,0.0210154527779,0.0262004140226,0.0909506612582,0.0198334771821,0.1051864080329,0.0242615652604,0.0229155692036,0.0213428867217,0.0196993695475,0.0839461142146,0.0264704931673,0.10049395343,0,0.0191190310468,0.0238727848227,0.0206837117504,0.0367109803034,0.0237796322455,0.0877984759624,0.0224581144954,0.0213733137984,0.0222079773109,0.0720305769073
"1642.MS00503",0.0264313903589,0.0988800825664,0.1005006115797,0.0179494030464,0.085998602931,0.1000169378782,0.1051131755334,0.0244448787102,0.0884240341523,0.0207133232138,0.0354852327817,0.0207497389442,0.0423620194013,0.0938252812489,0.0207365579797,0.0916875441056,0.1004701943965,0.0200785239678,0.0227848583127,0.0886127573517,0.0184254587334,0.1109125102475,0.0239476481894,0.0209276725029,0.020436420012,0.0209581138272,0.0839038472754,0.0283688953573,0.100981908448,0.0191190310468,0,0.0238197746416,0.0188276633981,0.0329101377045,0.0223349856983,0.0883249322122,0.0229713095697,0.0201455637576,0.0223156561425,0.0728804376961
"1642.MS00404",0.0361595938477,0.0953246458378,0.0997947389644,0.0242205037855,0.0791518508831,0.1044513929259,0.1005397210148,0.025109005071,0.0813740046952,0.0270248263762,0.0312192864244,0.0303553686384,0.0381580910027,0.0828118432932,0.0248141466072,0.0931093343253,0.0886138120667,0.0217191795441,0.0244886526082,0.0889811418233,0.0233523485826,0.0822056797063,0.0245846744592,0.0291614522561,0.0232838643738,0.0266122024429,0.0790478091287,0.0262989434836,0.0966217785424,0.0238727848227,0.0238197746416,0,0.0211510138645,0.036705139504,0.0226076089473,0.0802399709925,0.0225792003844,0.0208798741291,0.0212478760707,0.0664000971441
"1642.MS00505",0.0289558152622,0.0944657423308,0.0993642447726,0.0183418814423,0.0834431169775,0.0983561981121,0.0998965352084,0.0222979622323,0.0846217798647,0.0203381607118,0.032021131798,0.0234478679036,0.039073518961,0.0896258056209,0.0215220499668,0.0880209073904,0.091465063762,0.0185730537134,0.021394169526,0.0875407331253,0.0179253834619,0.1080270599318,0.0227065324588,0.021524490562,0.0206462523475,0.0208173671266,0.0818277297688,0.0263759399424,0.0956142181856,0.0206837117504,0.0188276633981,0.0211510138645,0,0.0335210452523,0.0219021781874,0.0848801470513,0.0222844181477,0.0179473065993,0.0213384550485,0.0708845604295
