"","1642.MS00411","2382.RU006.C181.RH.3.787.rhizo.9.12.lane7.NoIndex.L007.sequences","2382.SH008.C6.HA.1.SH008.rhizo.rhizo.9.12.lane7.NoIndex.L007.sequences","2382.HE003.C181.HA.3.762.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00618","2382.SH008.C6.HA.1.528.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00581","2382.HE003.C181.HA.5.139.root.6.11.lane1.NoIndex.L001.sequences","1642.MS00591","1642.MS00468","2382.SH004.C1.RH.4.417.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00461","1642.MS00427","1642.MS00608","1642.MS00519","2382.SH004.C1.RH.2.408.root.4.12.lane7.NoIndex.L007.sequences","2382.SH008.C6.HA.4.542.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00349","1642.MS00517","1642.MS00446","2382.MU002.C3.HA.2.67.root.6.11.lane1.NoIndex.L001.sequences","1642.MS00513","2382.DPOO1.C1.HA.1.428.root.4.12.lane7.NoIndex.L007.sequences","2382.SH004.C1.RH.5.422.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00447","2382.MU002.C3.HA.4.493.root.4.12.lane7.NoIndex.L007.sequences","2382.RU006.C181.RH.5.398.root.9.11.lane1.NoIndex.L001.sequences","2382.DPOO1.C1.HA.4.442.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00494","1642.MS00397","1642.MS00545","1642.MS00334","1642.MS00514","2382.DPOO1.C1.HA.2.432.rhizo.4.12.lane7.NoIndex.L007.sequences","2382.SH004.C1.RH.1.603.root.9.12.lane7.NoIndex.L007.sequences","2382.SH004.C1.RH.2.607.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00503","1642.MS00638","1642.MS00535","1642.MS00615"
"2382.MU002.C3.HA.2.67.root.6.11.lane1.NoIndex.L001.sequences",0.0965337317091,0.0437380511985,0.0377594081253,0.041711643531,0.1216699484765,0.0182752841235,0.1182096139596,0.0201392492207,0.090107374247,0.0994618257232,0.0411485604479,0.0979484737083,0.0989703060063,0.1242773598804,0.1040594600512,0.0255026345028,0.044437310019,0.1027587904938,0.0930705361716,0.1026853362856,0,0.1082552350517,0.0209095090374,0.0434903664359,0.1164681287738,0.0216525776806,0.0390441497462,0.0543441599654,0.1026040660668,0.0933625573991,0.1020493913159,0.0923494377254,0.0970403025809,0.0643206954614,0.0173718047636,0.0468629479288,0.0929073060199,0.1065210037644,0.0983896857846,0.1118255173837
"1642.MS00513",0.0225388925254,0.0853541358699,0.0885400932664,0.0909649435161,0.0297831949162,0.1181398522803,0.026209971132,0.1164199114982,0.0287120367992,0.0201715067442,0.0905350010107,0.0214953856127,0.0236994212392,0.0254792925407,0.0203249470841,0.1240984887884,0.0880895366371,0.0394109538725,0.0194194382628,0.0235133177303,0.1082552350517,0,0.1209646661569,0.0882446030259,0.0285672284745,0.1096635984062,0.0986545176015,0.0960742141649,0.022441405066,0.0218776045565,0.0203699537693,0.0295090651856,0.0214581548783,0.1061301052587,0.1265793531426,0.0936391014269,0.0183184920183,0.025164305406,0.0203162191582,0.0275018658161
"2382.DPOO1.C1.HA.1.428.root.4.12.lane7.NoIndex.L007.sequences",0.1119719267979,0.0601604288938,0.0514134233886,0.0584157304677,0.1367408001318,0.0207987780375,0.1363602626779,0.0213048168228,0.1019216432425,0.110434907554,0.0489699559134,0.1162711368835,0.1190435527658,0.1402764507163,0.1230206109013,0.0290502461229,0.0493114604545,0.1221918901031,0.1076910059297,0.120121631623,0.0209095090374,0.1209646661569,0,0.0499560127733,0.1341765191791,0.022198248938,0.0498421579308,0.0659347276656,0.1231721466038,0.1092633127667,0.1213142181321,0.1097833708642,0.1158563649064,0.058257260097,0.0170357574382,0.0575218314726,0.1082647639198,0.1233520992024,0.1133331209939,0.1276039753191
"2382.SH004.C1.RH.5.422.rhizo.4.12.lane7.NoIndex.L007.sequences",0.0853838868932,0.0343861063323,0.0246993235204,0.0337935913273,0.100666709215,0.0480788689543,0.0978846404691,0.0451410834416,0.0878094071996,0.0855361607093,0.0162380757887,0.0899350908952,0.0889608049879,0.0997793600656,0.1025462850749,0.0541200006641,0.02018412427,0.0992362085617,0.0789287809169,0.0837970244924,0.0434903664359,0.0882446030259,0.0499560127733,0,0.1075434151924,0.0462395389089,0.051706934877,0.035336727349,0.0865980267582,0.0796284696232,0.0855898334581,0.0949528543476,0.0856159393547,0.0304541136406,0.0399647318774,0.0185662311299,0.0831504560553,0.0896036754346,0.0849935731281,0.1044290242279
"1642.MS00447",0.0257664406035,0.1092670301571,0.1079373412088,0.1119182833822,0.031696592879,0.1185675330277,0.0304576781106,0.1264847168131,0.0369302103281,0.0273606186762,0.1107845839986,0.0281035971558,0.0277126378214,0.0328876534296,0.0260870551923,0.1381477764893,0.1077447088713,0.0397391895367,0.0272637403647,0.0300387397101,0.1164681287738,0.0285672284745,0.1341765191791,0.1075434151924,0,0.1232046861505,0.1141996491202,0.1102214999246,0.034125142936,0.0257572635396,0.0278619732345,0.0275009048803,0.0276229259894,0.1090216918674,0.1389341416355,0.1085391217903,0.0290520032384,0.0289405801267,0.028522947704,0.0337767770031
"2382.MU002.C3.HA.4.493.root.4.12.lane7.NoIndex.L007.sequences",0.1061999098314,0.0542768312666,0.0454671091427,0.0508145541396,0.1238099372304,0.027712686978,0.1215743076561,0.0279916273425,0.1003793173285,0.0984256899706,0.0464422085216,0.1060262216113,0.1118913833165,0.1273853905078,0.1159890065466,0.0320710226416,0.0472841988619,0.1096131544954,0.0992683048226,0.1102918954082,0.0216525776806,0.1096635984062,0.022198248938,0.0462395389089,0.1232046861505,0,0.0477024172174,0.0556462330895,0.1101334566465,0.1052367976107,0.1132510912972,0.1086810842548,0.1081006095868,0.0549502314635,0.0230655180717,0.0466046316785,0.1052909203253,0.1136694645865,0.1053067056151,0.1176640428394
"2382.RU006.C181.RH.5.398.root.9.11.lane1.NoIndex.L001.sequences",0.0879633839834,0.0332559740784,0.0475613527939,0.0424028034502,0.1111796780806,0.0452814681867,0.1124568827615,0.0359501068261,0.0919318342476,0.091988867146,0.0471912813353,0.0911812469644,0.090178771016,0.1122997492218,0.1021024302335,0.0551960980286,0.0488228618618,0.0963581730021,0.0851439958013,0.0899322781899,0.0390441497462,0.0986545176015,0.0498421579308,0.051706934877,0.1141996491202,0.0477024172174,0,0.0653903271484,0.0884773236256,0.0812057801193,0.0898617103368,0.088940929827,0.087921756009,0.0664042376164,0.0410966493264,0.0593896800916,0.0847884638395,0.0918042017323,0.0880216164501,0.1075506890226
"2382.DPOO1.C1.HA.4.442.rhizo.4.12.lane7.NoIndex.L007.sequences",0.0906233401691,0.0416399249137,0.0318927257291,0.0402736578318,0.1076878851628,0.0626237664968,0.1071105986855,0.0610434508696,0.0887564340452,0.1009054431578,0.0395981942906,0.0960036893736,0.093165036664,0.1054800554326,0.1060058517265,0.0664444861902,0.0295118661808,0.0953343780052,0.0883185367362,0.0866132630605,0.0543441599654,0.0960742141649,0.0659347276656,0.035336727349,0.1102214999246,0.0556462330895,0.0653903271484,0,0.0913690405981,0.086519848196,0.0924292375405,0.0972373541158,0.0926031147819,0.033684485668,0.0620957823959,0.0349598052966,0.0911891162872,0.0932115542543,0.0941712449049,0.1103737864661
"1642.MS00494",0.0240692560535,0.081550659153,0.0853581070448,0.0888905417243,0.0281011307142,0.1069519175665,0.0258872151131,0.1095283306749,0.0315885307169,0.0234830764392,0.0877226327244,0.0258904522104,0.028055490034,0.0283224915916,0.0273923872737,0.1241134767687,0.0850507777574,0.048073107922,0.0236428351913,0.0223175029895,0.1026040660668,0.022441405066,0.1231721466038,0.0865980267582,0.034125142936,0.1101334566465,0.0884773236256,0.0913690405981,0,0.0241991401824,0.0228416137616,0.0398417663367,0.0245452574315,0.0837941778167,0.1283692942732,0.0862932475085,0.0228871662175,0.0264660566188,0.0223651100802,0.029353802273
"1642.MS00397",0.0192518975597,0.0793864380686,0.0817125144151,0.0836563080883,0.0313313691255,0.0946605206347,0.0270867499797,0.1017999349182,0.0305473986597,0.0220570613443,0.0806922973857,0.024629005989,0.0211079096866,0.0280442988253,0.0250712095226,0.1051867858468,0.0791769155875,0.0299961157396,0.0214477608807,0.0225858419581,0.0933625573991,0.0218776045565,0.1092633127667,0.0796284696232,0.0257572635396,0.1052367976107,0.0812057801193,0.086519848196,0.0241991401824,0,0.0217850688513,0.021820260493,0.0212541090329,0.0953750637636,0.1143481187485,0.0828709557702,0.0213784780259,0.0256363075688,0.0218705842373,0.0298237733176
"1642.MS00545",0.0213877769258,0.083601372203,0.0875956349926,0.0891956121979,0.0277583772293,0.1054250058506,0.0247887958401,0.1103646733139,0.0299247722058,0.0197323406331,0.0898410582368,0.0240071454912,0.0236914959142,0.0237956961831,0.0235670155667,0.1173908935182,0.085766735244,0.0398865015485,0.0201929232622,0.0230508712105,0.1020493913159,0.0203699537693,0.1213142181321,0.0855898334581,0.0278619732345,0.1132510912972,0.0898617103368,0.0924292375405,0.0228416137616,0.0217850688513,0,0.0322519333906,0.0204757638115,0.1019322602407,0.1273242357356,0.0909819336569,0.0188352533195,0.0240304527087,0.0197903900532,0.0265397547422
"1642.MS00334",0.0248919261604,0.0907922203701,0.0944635464411,0.0936952341022,0.0435270406955,0.0897580997073,0.0366486234955,0.1086938778089,0.0345977899481,0.0301822320659,0.093456758808,0.0297779486003,0.0233520750823,0.0376280451849,0.028070124111,0.1005801308873,0.0939656719846,0.0255135591513,0.0298195281679,0.0384722696425,0.0923494377254,0.0295090651856,0.1097833708642,0.0949528543476,0.0275009048803,0.1086810842548,0.088940929827,0.0972373541158,0.0398417663367,0.021820260493,0.0322519333906,0,0.0295319291584,0.1111580160204,0.1124411909572,0.0966980563992,0.0321601363064,0.0337158965881,0.0312050304421,0.0397472858193
"1642.MS00514",0.0236056950511,0.0818674867718,0.0862026145258,0.0886353798334,0.0297327831435,0.1001290373496,0.0249223193513,0.1058676669526,0.0306015032738,0.0203891904471,0.0874738928237,0.0220770221059,0.024235310934,0.0217878888739,0.0222643491377,0.1127769580826,0.0842594890548,0.0424447477867,0.0204361632958,0.0244896764249,0.0970403025809,0.0214581548783,0.1158563649064,0.0856159393547,0.0276229259894,0.1081006095868,0.087921756009,0.0926031147819,0.0245452574315,0.0212541090329,0.0204757638115,0.0295319291584,0,0.1139273208329,0.1205996379768,0.0891816593156,0.0196629373807,0.0236125453001,0.0218175513695,0.0260103850284
