"","1642.MS00574","2382.GM.181.R3.rhizo.10.12.lane7.NoIndex.L007.sequences","1642.MS00412","1642.MS00452","2382.SH008.C6.HA.2.733.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00407","2382.HE003.C181.HA.2.557.rhizo.4.12.lane7.NoIndex.L007.sequences","2382.SH007.C6.RH.3.712.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00606","2382.HE003.C181.HA.3.563.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00595","1642.MS00536","1642.MS00546","2382.SH005.C3.RH.3.463.root.4.12.lane7.NoIndex.L007.sequences","2382.MU002.C3.HA.2.482.rhizo.4.12.r1.lane7.NoIndex.L007.sequences","1642.MS00331","2382.RU006.C181.RH.1.778.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00342","2382.SH008.C6.HA.3.738.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00453","1642.MS00537","2382.SH008.C6.HA.1.727.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00462","1642.MS00578","1642.MS00446","1642.MS00450","1642.MS00466","1642.MS00550","1642.MS00539","1642.MS00527","2382.RU006.C181.RH.4.155.root.6.11.lane1.NoIndex.L001.sequences","1642.MS00608","1642.MS00499","2382.SH004.C1.RH.4.218.root.9.11.lane1.NoIndex.L001.sequences","2382.GM.181.R3.root.10.12.lane7.NoIndex.L007.sequences","1642.MS00399","2382.SH007.C6.RH.5.722.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00522","2382.HE003.C181.HA.2.127.root.6.11.lane1.NoIndex.L001.sequences","2382.MU002.C3.HA.5.698.root.9.12.lane7.NoIndex.L007.sequences"
"1642.MS00537",0.0192665809277,0.0718490792708,0.0279050831378,0.0217376927868,0.0899674789929,0.0213100716534,0.0865028679835,0.0854856645749,0.0224135186129,0.0912378365605,0.0251474612394,0.0205774768932,0.024667328158,0.0950355157743,0.0858409952041,0.0244082436312,0.1026124106988,0.0507032179351,0.0997608925531,0.0238792282748,0,0.0889464658427,0.0217187549082,0.0200385835268,0.0254133727568,0.0220892630987,0.0188204080055,0.0210661623354,0.0226232736925,0.0249330672084,0.0846115435747,0.0213262172375,0.0208288964789,0.0806721303203,0.0920948789931,0.0209314438296,0.0815115292298,0.0228973265635,0.0856978510116,0.0889107117262
"2382.SH008.C6.HA.1.727.rhizo.9.12.lane7.NoIndex.L007.sequences",0.0821368191197,0.0293367156421,0.0848365307372,0.0817525881738,0.0361069193402,0.0745461726933,0.0271136081937,0.0212832939113,0.0887840592098,0.0438869008499,0.0759583774364,0.083298712731,0.0804417000029,0.0457338376118,0.0286963843629,0.0821514157915,0.0578909022534,0.0854788095936,0.0527285623171,0.08350900706,0.0889464658427,0,0.0814241566599,0.1081488978547,0.0773387374697,0.0857773143342,0.0949138626597,0.091043505681,0.0871807579925,0.0914749222091,0.0571515548215,0.0928597594525,0.0811155985093,0.0383465373444,0.0580939105287,0.098355022012,0.0198849577554,0.101542725876,0.0419346162087,0.0652090323889
"1642.MS00462",0.0199328664306,0.0681045465136,0.0262100042177,0.0216619786124,0.0941573539785,0.0219455508748,0.0828339170576,0.0847691361858,0.0213568335458,0.0889820535308,0.0271833769961,0.0197770369784,0.0207717524664,0.0955883228968,0.0819608444727,0.02453956648,0.1019548449769,0.0586874890066,0.1089148870001,0.0212736950069,0.0217187549082,0.0814241566599,0,0.0257001369258,0.0208108039446,0.0216564669214,0.0201607732126,0.0225734106811,0.0213608855853,0.02604865844,0.084409697834,0.0239568429414,0.0191640662291,0.0840825999384,0.1081326182124,0.0234354161156,0.0791271422291,0.0243943762704,0.0867407724577,0.102495575562
"1642.MS00578",0.0223976618463,0.0838935227993,0.0294457229311,0.0256562664849,0.1007458569629,0.0245230546906,0.0981360561115,0.0985575416701,0.0226646050357,0.1008378285422,0.0287097775421,0.0224798078923,0.0286122816513,0.1022430364575,0.0998879673596,0.0270007335,0.1100915300055,0.0552200116785,0.1106059649143,0.0261832271207,0.0200385835268,0.1081488978547,0.0257001369258,0,0.0279819925853,0.0235291347946,0.0226152714993,0.0194285588854,0.0240355391763,0.0241530492721,0.093795187358,0.0245863688342,0.0239552703802,0.0917915138006,0.1088318665293,0.021086620165,0.0944022551215,0.0227571314024,0.095513324217,0.102619895608
"1642.MS00446",0.0210735672815,0.0684370653139,0.0265556316118,0.0230019634409,0.0930883891722,0.0208250141649,0.0820343062255,0.0851507808759,0.0222100203993,0.0896136872891,0.0284431648233,0.0206494377284,0.0203553689387,0.099252617316,0.0795565077771,0.0251234484761,0.104918997278,0.0502157010266,0.1071775316778,0.0211995206685,0.0254133727568,0.0773387374697,0.0208108039446,0.0279819925853,0,0.0196229291785,0.0237816717562,0.0241699023692,0.0233681601302,0.0248028589797,0.0864787983282,0.0269780187323,0.0210577402473,0.0828139899034,0.103368101142,0.025425970691,0.0768429257361,0.024535702449,0.0848428943715,0.0960243323342
"1642.MS00450",0.0212768922424,0.0759344391735,0.0258604653369,0.0211512352832,0.0990842477202,0.0205871830709,0.0913980444981,0.0913320410967,0.0218556754005,0.0959421435743,0.0296730454124,0.0202078174719,0.0227927099761,0.1020344450095,0.0882772128835,0.0243257241129,0.108437967397,0.0486474840008,0.1103274027278,0.0198063423969,0.0220892630987,0.0857773143342,0.0216564669214,0.0235291347946,0.0196229291785,0,0.0201502175053,0.022637310289,0.0223417428587,0.0235640908232,0.0925892716844,0.024160659791,0.0211786586339,0.088524746728,0.1076034259123,0.0200550042333,0.0856991273354,0.0213244169297,0.0917946509588,0.1026137933772
"1642.MS00466",0.0195468112529,0.0702796396705,0.0275886242766,0.0203301120818,0.0952161868013,0.0183372352048,0.0933528346459,0.0920568173101,0.0227446914275,0.0848539514765,0.0270054217173,0.0199883132605,0.0209404191313,0.0978184742175,0.0867301567057,0.0216897701199,0.0953699562446,0.0454584225896,0.1027433578234,0.0223765716054,0.0188204080055,0.0949138626597,0.0201607732126,0.0226152714993,0.0237816717562,0.0201502175053,0,0.0178518343819,0.0219480915291,0.0221807326992,0.0785785596003,0.0238120048218,0.019062786353,0.0867640170254,0.0875088427269,0.0209016118154,0.0863588527006,0.0214518008648,0.090613286441,0.0916990105418
"1642.MS00550",0.020672265315,0.0768692897873,0.0296910326332,0.0243640965556,0.0978870224716,0.0212565300253,0.0934008626532,0.0927753808676,0.0234174321416,0.0950066096754,0.0261615718895,0.0208538147752,0.0237852129228,0.0996713043559,0.0903518207283,0.0254271099964,0.1031975858245,0.0521115843599,0.1055809041239,0.0233110431769,0.0210661623354,0.091043505681,0.0225734106811,0.0194285588854,0.0241699023692,0.022637310289,0.0178518343819,0,0.0222180464181,0.0242003079446,0.0869216661036,0.0238309926128,0.0201211591898,0.086380019723,0.0968637435903,0.0226818266427,0.0849283534444,0.0224841074979,0.0908569414699,0.094470612192
"1642.MS00539",0.0201734176996,0.0748728637783,0.0240864773958,0.0226436007424,0.0961424901604,0.022411582255,0.0876294605368,0.0897248962617,0.0224559335018,0.0932372488363,0.0279272426628,0.0200891122357,0.0234817023881,0.0999142846088,0.086169645688,0.0249787912737,0.1057027298716,0.0605257161805,0.1078623932207,0.0237869326745,0.0226232736925,0.0871807579925,0.0213608855853,0.0240355391763,0.0233681601302,0.0223417428587,0.0219480915291,0.0222180464181,0,0.0256741650548,0.0900619101656,0.0229883379075,0.0202655210048,0.0873280124035,0.1041285375056,0.0221907476435,0.0835670624638,0.0225051491621,0.0912027724111,0.0989726077562
"1642.MS00527",0.0261065744253,0.0743572092267,0.0270448901751,0.0252291348514,0.0945365324204,0.0260642852702,0.0899309987843,0.0891772902976,0.026055798042,0.0902612438031,0.027838593514,0.0249624507967,0.0271595601891,0.0970224478532,0.0843716708603,0.0276136258498,0.1048276811752,0.0518701166285,0.1049082792471,0.0262073010445,0.0249330672084,0.0914749222091,0.02604865844,0.0241530492721,0.0248028589797,0.0235640908232,0.0221807326992,0.0242003079446,0.0256741650548,0,0.0895970431186,0.02677364676,0.0250170813116,0.0851839200773,0.0999398385023,0.0242642134403,0.082566395542,0.0224549184628,0.0886057187381,0.0937436480862
"2382.RU006.C181.RH.4.155.root.6.11.lane1.NoIndex.L001.sequences",0.0922031040585,0.0406396471173,0.0889899695142,0.0835225486802,0.0373986623002,0.0726289077171,0.0437233195401,0.0490673452684,0.0964800124761,0.0315318496441,0.0753885671835,0.0802899728015,0.0825223496123,0.0365473424031,0.0578332377304,0.0657466602409,0.02284251232,0.0854763045143,0.036407590725,0.0856712860407,0.0846115435747,0.0571515548215,0.084409697834,0.093795187358,0.0864787983282,0.0925892716844,0.0785785596003,0.0869216661036,0.0900619101656,0.0895970431186,0,0.1028695433651,0.0803015564632,0.027077646237,0.0356583957547,0.0829546980135,0.0460607257083,0.0960785025662,0.0344041215841,0.0293912900785
"1642.MS00608",0.0228200690746,0.0757019533575,0.029054433899,0.023869248789,0.1040249770193,0.0262347276118,0.0953602894664,0.092911461477,0.0226808328653,0.1012075220028,0.0255188047775,0.0211330306448,0.026453934854,0.1067458918046,0.094767559738,0.0284670701729,0.1118622350598,0.0526461621239,0.1160545624554,0.0254146891266,0.0213262172375,0.0928597594525,0.0239568429414,0.0245863688342,0.0269780187323,0.024160659791,0.0238120048218,0.0238309926128,0.0229883379075,0.02677364676,0.1028695433651,0,0.0238415857191,0.0944992146021,0.1078623769567,0.0247289731165,0.0889652863531,0.0241197576604,0.1003478442395,0.105780178951
"1642.MS00499",0.0201948026245,0.0671518772163,0.026163150925,0.020466949915,0.0907051934602,0.0205779258745,0.0815095798457,0.0820184258515,0.0198512095751,0.0862783519221,0.0275659793482,0.0188150995575,0.021905965859,0.091801609102,0.0811264890977,0.024276063143,0.0976182823244,0.0474953573097,0.1015234576951,0.0220806052618,0.0208288964789,0.0811155985093,0.0191640662291,0.0239552703802,0.0210577402473,0.0211786586339,0.019062786353,0.0201211591898,0.0202655210048,0.0250170813116,0.0803015564632,0.0238415857191,0,0.0812466114802,0.0957313307977,0.0230313600848,0.0782338331465,0.0230167159144,0.0840369084706,0.0921908334628
