"","2382.SH008.C6.HA.2.733.root.9.12.lane7.NoIndex.L007.sequences","2382.SH005.C3.RH.5.59.root.6.11.lane1.NoIndex.L001.sequences","1642.MS00608","2382.RU006.C181.RH.1.777.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00577","2382.GM.181.R4.root.10.12.lane7.NoIndex.L007.sequences","2382.GM.181.R2.rhizo.10.12.lane7.NoIndex.L007.sequences","1642.MS00440","2382.RU006.C181.RH.1.578.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00366","1642.MS00526","1024.MU002.C3.HA.2.66.rhizo.6.11.G1.L00","2382.RU006.C181.RH.2.582.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00445","2382.RU006.C181.RH.2.782.rhizo.9.12.lane7.NoIndex.L007.sequences","2382.SH004.C1.RH.1.203.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00332","1642.MS00605","2382.SH008.C6.HA.4.542.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00488","2382.GM.181.R2.root.10.12.lane7.NoIndex.L007.sequences","1642.MS00618","2382.SH007.C6.RH.2.708.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00524","1642.MS00622","1642.MS00421","2382.SH004.C1.RH.1.602.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00625","1642.MS00574","1642.MS00341","2382.DPOO1.C1.HA.1.23.r1.root.6.11.lane7.NoIndex.L007.sequences","2382.MU002.C3.HA.2.683.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00499","2382.RU006.C181.RH.3.588.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00494","1642.MS00377","1642.MS00615","2382.SH004.C1.RH.5.422.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00598","2382.HE003.C181.HA.3.763.root.9.12.lane7.NoIndex.L007.sequences"
"2382.GM.181.R2.root.10.12.lane7.NoIndex.L007.sequences",0.0199375308364,0.0206871518921,0.1233005888475,0.0514147948118,0.1025223051535,0.0214901506111,0.0389746667973,0.0986353161315,0.0265411181893,0.0887354903257,0.1111086440335,0.0484308584425,0.0513959698344,0.1112574377008,0.0618986018944,0.0346285964416,0.0894542971615,0.1205204348322,0.0509997264984,0.1305393411085,0,0.1283481825401,0.0162779871905,0.1222385791143,0.1059629813055,0.0922978240039,0.0475757573029,0.1117103853966,0.1088173087204,0.087634129088,0.0194851848977,0.0223475981242,0.1006244566179,0.0192419627966,0.1036426569831,0.1028588362291,0.1198460679201,0.0514936055482,0.1118183656396,0.0162684963503
"1642.MS00618",0.1108733931461,0.1120604302005,0.0288487741456,0.0937401988917,0.0265348445155,0.1391960032245,0.0864132897516,0.0287731810568,0.1115626104669,0.043857966903,0.0241671130013,0.0934633404037,0.0931364579942,0.0276676251357,0.1011800273807,0.1096881785053,0.0468201462899,0.0282022528214,0.0929263717587,0.0247618196763,0.1283481825401,0,0.1274752892757,0.0207983402539,0.0232885543074,0.0289930479324,0.0958983091522,0.0221917902262,0.0242996011776,0.0393116125867,0.1085077234188,0.1160401258366,0.0269865373767,0.111284011233,0.0258932602217,0.0405603599434,0.0268934108208,0.0927764201774,0.0245550393935,0.1252034440231
"2382.SH007.C6.RH.2.708.root.9.12.lane7.NoIndex.L007.sequences",0.0150172069907,0.0178812886548,0.1235960852822,0.0509124106002,0.107110199259,0.0290247883893,0.0539225732888,0.1026401057538,0.0312465691404,0.0963279601287,0.1141812460341,0.0461771355713,0.0512960881731,0.1177455925026,0.0697726309079,0.0281038370142,0.0952863104721,0.1230595374408,0.0484429731235,0.1313510853524,0.0162779871905,0.1274752892757,0,0.1246981462314,0.1099334301835,0.0943039230586,0.0480582373776,0.1134152705563,0.1087059839761,0.0978847009621,0.0156231048262,0.0186361328257,0.1068819196385,0.0214384803705,0.1102508066547,0.1086194077598,0.123544536017,0.0468466573623,0.1149546240024,0.0149722556413
"1642.MS00524",0.1064840289793,0.1045350178451,0.0253898359137,0.0864829037606,0.0235709995204,0.123714361946,0.0797756910432,0.0233798711075,0.1017801435015,0.0412317941702,0.0209034204112,0.0871708176183,0.0841726886394,0.0250234205463,0.0931033702731,0.1016426239174,0.0424670029534,0.0247131127813,0.0856848066347,0.0226196950485,0.1222385791143,0.0207983402539,0.1246981462314,0,0.0223107644311,0.0234506788342,0.0892585118056,0.020389822702,0.0216840668113,0.037731250353,0.1059947717971,0.1084903486132,0.0227306026143,0.102255757057,0.0228364566661,0.0377425717433,0.0245403522913,0.0854578183185,0.0234623804202,0.1237872971664
"1642.MS00622",0.0950152174847,0.0986712786648,0.0228482189005,0.0832645440931,0.0224817751449,0.1155005642496,0.075111581064,0.0249033108921,0.0933656772962,0.0389450094725,0.0223148835566,0.0839683526297,0.0824277984313,0.0254126701793,0.0885185751459,0.0994667127236,0.0407718760704,0.0236577367851,0.0830667908049,0.0232744732124,0.1059629813055,0.0232885543074,0.1099334301835,0.0223107644311,0,0.0241453932726,0.0853118237854,0.0194540352563,0.0202136408575,0.034079744788,0.0962081996656,0.1023432964925,0.0221291837423,0.0942454664853,0.0218398595149,0.0360530622283,0.0242109125098,0.0833449587204,0.0211231117165,0.1036203760321
"1642.MS00421",0.0814180794064,0.0808897427768,0.0226450678105,0.0719755282307,0.0210481608305,0.0917444924895,0.0670159207795,0.0183609365141,0.0785236872348,0.0268120739531,0.0209750711526,0.0714610798329,0.0669813269781,0.0206768893543,0.0721759838744,0.0794172654752,0.0254093902912,0.0233674271383,0.0683288027244,0.0239811157968,0.0922978240039,0.0289930479324,0.0943039230586,0.0234506788342,0.0241453932726,0,0.0754127473763,0.0233681317093,0.0210467116253,0.0252165541085,0.0834245844476,0.0875096236894,0.0203545462708,0.0781254640503,0.0218355442016,0.0249457181333,0.0258106548485,0.0710457448196,0.0225337090684,0.0919724512275
"2382.SH004.C1.RH.1.602.rhizo.9.12.lane7.NoIndex.L007.sequences",0.0367895619634,0.0516946209298,0.0927314495234,0.027906774821,0.0917377078527,0.0585806291617,0.0292039648549,0.0810816869866,0.0492928665213,0.093832749778,0.0844647311965,0.0260096152117,0.028078089535,0.0897999686224,0.0382720036681,0.0366971912469,0.0926154356225,0.0907136348851,0.0199665464872,0.1036025754659,0.0475757573029,0.0958983091522,0.0480582373776,0.0892585118056,0.0853118237854,0.0754127473763,0,0.0826389222984,0.081343569156,0.0789874950541,0.0467963334286,0.0472978647209,0.0818986378251,0.0442280632991,0.0793601035427,0.0896748084992,0.0963823580564,0.0159575101053,0.0854088385961,0.0471004279999
"1642.MS00625",0.0995141452901,0.1046879030375,0.0238566924799,0.0811117580089,0.0210585429624,0.1300742294354,0.0738884770115,0.022341753661,0.0975469435331,0.0437896890797,0.020706299106,0.0821265544901,0.0787718821361,0.0248638608087,0.0864298409785,0.0995636022074,0.0409857406827,0.0236215305925,0.0797741739662,0.0230099467442,0.1117103853966,0.0221917902262,0.1134152705563,0.020389822702,0.0194540352563,0.0233681317093,0.0826389222984,0,0.0189764954169,0.0392353519512,0.0993267113104,0.1068755896445,0.0207627157145,0.0980126897547,0.0209263937902,0.0372371981125,0.0237103081573,0.0807734728582,0.0209444164646,0.1076307623627
"1642.MS00574",0.0933438731894,0.0981647443096,0.0217935061405,0.0797627623228,0.0187423061239,0.1115082419082,0.071273997373,0.0210645676285,0.0912576245396,0.0359158971181,0.0200159628463,0.0808789456123,0.0769633141375,0.0235130414371,0.0832764711739,0.0933337592664,0.0370537196884,0.0208355935825,0.0777868928757,0.0218732005051,0.1088173087204,0.0242996011776,0.1087059839761,0.0216840668113,0.0202136408575,0.0210467116253,0.081343569156,0.0189764954169,0,0.0322708900554,0.0929443099504,0.0991477007958,0.0196351153778,0.0918743148564,0.0215616261996,0.0325770981489,0.023964897024,0.0790679312,0.0197658993794,0.1061225505043
"1642.MS00341",0.0817897914594,0.0785540008471,0.0325616499698,0.0749806138422,0.0316985078679,0.0812660134296,0.0661585215159,0.0253958166835,0.0783672426493,0.0198994913238,0.0385854300619,0.0759424218528,0.0734869169659,0.0267224953211,0.0745576842534,0.0799162526408,0.0192359055837,0.0317232951999,0.0748723856196,0.0351559671519,0.087634129088,0.0393116125867,0.0978847009621,0.037731250353,0.034079744788,0.0252165541085,0.0789874950541,0.0392353519512,0.0322708900554,0,0.0823973482984,0.0864301163221,0.030334736867,0.0767257862523,0.0404182641902,0.0172543244495,0.0375372146748,0.0774686417596,0.0337233833349,0.0921486999642
"2382.DPOO1.C1.HA.1.23.r1.root.6.11.lane7.NoIndex.L007.sequences",0.0151329354002,0.0219608301111,0.1072106815049,0.0475043371239,0.0921205330061,0.0376490301207,0.0539657014199,0.09006461577,0.0346946251493,0.0866330924901,0.0984900310117,0.0401919511626,0.0472281321235,0.1011965370019,0.0664799288613,0.0329440960709,0.0843684407432,0.1067410635028,0.0421680826855,0.1167056118416,0.0194851848977,0.1085077234188,0.0156231048262,0.1059947717971,0.0962081996656,0.0834245844476,0.0467963334286,0.0993267113104,0.0929443099504,0.0823973482984,0,0.0178848959886,0.0924172577888,0.0240812812157,0.0960879446392,0.0952028438392,0.1078556853111,0.0456890586286,0.0989939302813,0.0187523600808
"2382.MU002.C3.HA.2.683.root.9.12.lane7.NoIndex.L007.sequences",0.0151227680115,0.0195412745947,0.1154159007317,0.0469327880715,0.094623982077,0.0340846584841,0.0569190009181,0.0904079525163,0.0376489942801,0.085846470017,0.1009200340619,0.0368859361753,0.0445450325425,0.1047470062662,0.0661783263804,0.02883644371,0.0866020719779,0.1120969735188,0.0401937497967,0.1177938362598,0.0223475981242,0.1160401258366,0.0186361328257,0.1084903486132,0.1023432964925,0.0875096236894,0.0472978647209,0.1068755896445,0.0991477007958,0.0864301163221,0.0178848959886,0,0.0942733072578,0.0297715965832,0.0966555645159,0.0947652221934,0.111257312996,0.0412012018026,0.1026926583686,0.0226698105565
"1642.MS00499",0.0898395476544,0.0898583778042,0.0226548445942,0.0786984679105,0.0206611730745,0.102589383109,0.0713427138777,0.0205308686808,0.0875063662117,0.0350653123273,0.0191762054371,0.0814956645783,0.0764435497391,0.0226355690319,0.0835599639834,0.0897726149468,0.0356409533646,0.0229856338872,0.0755734684942,0.0218373393482,0.1006244566179,0.0269865373767,0.1068819196385,0.0227306026143,0.0221291837423,0.0203545462708,0.0818986378251,0.0207627157145,0.0196351153778,0.030334736867,0.0924172577888,0.0942733072578,0,0.0854884598499,0.0205418413726,0.0308411763425,0.0242742712507,0.0760365109279,0.0209017053396,0.1027068660983
