"","1642.MS00629","1642.MS00383","1642.MS00510","1642.MS00444","1642.MS00567","1642.MS00618","1642.MS00612","1642.MS00503","1642.MS00431","2382.SH005.C3.RH.5.473.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00385","1642.MS00509","1642.MS00496","1642.MS00442","1642.MS00407","2382.SH008.C6.HA.1.SH008.root.root.9.12.lane7.NoIndex.L007.sequences","2382.SH008.C6.HA.1.527.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00433","1642.MS00478","2382.SH004.C1.RH.2.408.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00473","2382.RU006.C181.RH.3.587.rhizo.4.12.lane7.NoIndex.L007.sequences","2382.SH008.C6.HA.4.543.root.4.12.lane7.NoIndex.L007.sequences","2382.SH004.C1.RH.1.203.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00459","2382.SH004.C1.RH.4.15.root.6.11.lane1.NoIndex.L001.sequences","2382.HE003.C181.HA.5.573.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00338","1642.MS00465","1642.MS00626","1642.MS00633","1642.MS00516","1642.MS00620","1642.MS00464","2382.HE003.C181.HA.5.139.root.6.11.lane1.NoIndex.L001.sequences","2382.SH007.C6.RH.2.508.root.4.12.lane7.NoIndex.L007.sequences","2382.MU002.C3.HA.3.71.root.6.11.lane1.NoIndex.L001.sequences","1642.MS00498","2382.SH004.C1.RH.1.402.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00438"
"1642.MS00473",0.0244463933334,0.0253441935856,0.0228820835797,0.0250908835056,0.0222363222478,0.0260633839811,0.023958830402,0.0212545733342,0.0202637489669,0.0899613303139,0.0255372221969,0.0258764790954,0.0207405255447,0.023540296306,0.0224197171788,0.1039321291932,0.0820123513842,0.0228046872126,0.0258680317013,0.1134889888005,0,0.0734161936326,0.0910008453385,0.0941139192607,0.0208703113269,0.0896484348482,0.1092889069881,0.0341401087889,0.0256534454101,0.0237549066956,0.0276837110583,0.0215204235458,0.0270231811252,0.0222983524752,0.0984090793605,0.0911230202267,0.0901226061088,0.022762308075,0.0817304797523,0.0232795983596
"2382.RU006.C181.RH.3.587.rhizo.4.12.lane7.NoIndex.L007.sequences",0.0740994118278,0.0752513068151,0.0888032230181,0.0880688947713,0.0853722718113,0.094032374545,0.0908025181125,0.0759686611248,0.0664355125698,0.0380045879406,0.0708399311863,0.0882440102729,0.0765181816421,0.0843843981414,0.0687647365513,0.0507422423926,0.0312470812609,0.0698337444277,0.0978068536455,0.0645872207196,0.0734161936326,0,0.0408790432938,0.0438884527345,0.0837739018223,0.0381620111411,0.0451889988512,0.0754132336461,0.0823965236002,0.0843082717075,0.0952907796834,0.0853426678204,0.0912956785831,0.0750821420502,0.0411657639556,0.0402901402952,0.0411523984645,0.0789724028855,0.0313632487063,0.0753651841157
"2382.SH008.C6.HA.4.543.root.4.12.lane7.NoIndex.L007.sequences",0.0883564899131,0.0863105504256,0.0995400582363,0.0975214045368,0.0933157899048,0.1098557411029,0.1052808282059,0.0880661971192,0.0781653154271,0.0191917549462,0.0792318421252,0.0946451496418,0.0883673372642,0.0974435740786,0.0797801100206,0.015307644899,0.031845354808,0.0811288186022,0.1075908602977,0.0218436993439,0.0910008453385,0.0408790432938,0,0.022682515977,0.0956236715517,0.0229329026804,0.0213343711603,0.0790215531354,0.0929300827632,0.1000543571592,0.1122443477405,0.1001764077898,0.1179652739312,0.0959472192428,0.02201476625,0.0178869766347,0.0215869471188,0.0894554749213,0.0304890573149,0.0880703271311
"2382.SH004.C1.RH.1.203.root.9.11.lane1.NoIndex.L001.sequences",0.0933051929599,0.0915167351871,0.1067931592179,0.1090804105624,0.102392907373,0.1192202562193,0.1120287547638,0.0951112163752,0.0833239498115,0.0238570478241,0.0849501546596,0.1011513262891,0.0974067728808,0.1077855090479,0.0857141970252,0.0263219123062,0.0348353185606,0.0885562221322,0.1167585057247,0.0307911121693,0.0941139192607,0.0438884527345,0.022682515977,0,0.1047948891193,0.0193793510179,0.0305617857282,0.0823198330857,0.0976660317861,0.1067025587107,0.1155407537628,0.1066092282835,0.1252514648012,0.0988146359903,0.0294320274844,0.0238163886183,0.029219627846,0.0959443107555,0.029765475769,0.0942216204954
"1642.MS00459",0.0258453910785,0.0247432016491,0.0209093972697,0.026639058901,0.0226363898383,0.0259977824275,0.0256132718311,0.0218271328307,0.0210664848629,0.0975635237912,0.0250632741042,0.0220976347297,0.0195144971649,0.0249937316929,0.0214754224694,0.110644540597,0.0902034720757,0.0224735999559,0.0239305953283,0.1208368911428,0.0208703113269,0.0837739018223,0.0956236715517,0.1047948891193,0,0.0995762628695,0.111293609627,0.0342722639143,0.0246238470698,0.0239258728269,0.0248709965194,0.0214312041402,0.0235028527013,0.0212917150727,0.1019314925535,0.1000342552596,0.097390582052,0.022964667951,0.0921831168529,0.0224755357256
"2382.SH004.C1.RH.4.15.root.6.11.lane1.NoIndex.L001.sequences",0.0910768816625,0.0870526558949,0.102948106049,0.1032250802337,0.0991507398485,0.1147538019143,0.1066401040542,0.092435699433,0.0809186650261,0.0236498843269,0.0813389034891,0.0982688565377,0.0929698084355,0.1014897865106,0.0815292165517,0.0275160368912,0.0324562007936,0.0831171573758,0.1125788105578,0.0264053725721,0.0896484348482,0.0381620111411,0.0229329026804,0.0193793510179,0.0995762628695,0,0.0337284769718,0.0810171528202,0.0929358890989,0.1051473817676,0.111687901153,0.1027134654175,0.1211773514993,0.0950015919927,0.0282218725885,0.0235473531491,0.0307649403842,0.0921111959426,0.0289030055855,0.090723260372
"2382.HE003.C181.HA.5.573.root.4.12.lane7.NoIndex.L007.sequences",0.1008939988834,0.1082395463286,0.1171113866156,0.1093708701463,0.1120883807002,0.1201718068421,0.1216276548672,0.1052742070963,0.0963831052714,0.0291974963838,0.0930470189533,0.1114488597976,0.1037278471851,0.1115465508762,0.0983998649667,0.0184866874851,0.0507987877314,0.0961997269915,0.1238260021813,0.0297851382274,0.1092889069881,0.0451889988512,0.0213343711603,0.0305617857282,0.111293609627,0.0337284769718,0,0.0957494406239,0.1127576217607,0.1043190292956,0.1323690438377,0.1218612532781,0.1314800247325,0.1099474715755,0.012553057733,0.0170574924716,0.0225305667056,0.1046562872992,0.0427681420816,0.1051426344699
"1642.MS00338",0.041394671098,0.0206693213791,0.0297282965657,0.0271884749486,0.0331151794141,0.0453377343566,0.0404097595053,0.0313026740565,0.0242120381591,0.0777214536242,0.0230640886836,0.029989120377,0.034766522215,0.0334627623393,0.0252618659461,0.0899799768913,0.0859971016882,0.0292151132975,0.0313316721445,0.0911238897593,0.0341401087889,0.0754132336461,0.0790215531354,0.0823198330857,0.0342722639143,0.0810171528202,0.0957494406239,0,0.032176360672,0.0405091238887,0.0370899493737,0.0352131421704,0.0576062098193,0.0371443043228,0.0958891127649,0.0828721747223,0.0855474704731,0.0298555128701,0.086884928462,0.0255787300659
"1642.MS00465",0.033616691676,0.0246138450519,0.0197238790052,0.0294450211614,0.0204716417884,0.0348545216569,0.0288198867544,0.0197263354964,0.0229329691724,0.0913703289076,0.0273411527223,0.0213849979213,0.0204096754323,0.0281167071834,0.0223678417104,0.1054502033478,0.0901292141745,0.0273121871474,0.0221791020356,0.109545856776,0.0256534454101,0.0823965236002,0.0929300827632,0.0976660317861,0.0246238470698,0.0929358890989,0.1127576217607,0.032176360672,0,0.0322183278198,0.0265782672945,0.0239807694628,0.0356479110823,0.0235222425845,0.1050967910951,0.0950384711454,0.0970259216399,0.020119636029,0.0899726697226,0.0236227391664
"1642.MS00626",0.0243649891751,0.0312523809507,0.0272365999292,0.0335255612809,0.0275902236875,0.0239092266995,0.0265935705987,0.0269308579707,0.0250774348683,0.1022191597628,0.0312053224387,0.0303794119838,0.0242290947842,0.0270496542028,0.0270356210474,0.1121938653609,0.0915522045865,0.0275766585623,0.0310765320373,0.131789767803,0.0237549066956,0.0843082717075,0.1000543571592,0.1067025587107,0.0239258728269,0.1051473817676,0.1043190292956,0.0405091238887,0.0322183278198,0,0.0304942205975,0.024131414375,0.0272367043372,0.0249756146768,0.1014124643393,0.1003806885837,0.0972613281769,0.0277898243148,0.0937714728947,0.0268149507954
"1642.MS00633",0.0333438231651,0.0310823045133,0.0243899279879,0.027018641357,0.0243985333566,0.0268224869981,0.0253680552137,0.0250561590649,0.0273541330768,0.1098949630187,0.0344294417114,0.0256987322949,0.0260360506491,0.0285261190895,0.0277282850318,0.1267215006747,0.1029561492546,0.0311370181909,0.024529714054,0.1341232328986,0.0276837110583,0.0952907796834,0.1122443477405,0.1155407537628,0.0248709965194,0.111687901153,0.1323690438377,0.0370899493737,0.0265782672945,0.0304942205975,0,0.0246667592596,0.0250050252677,0.0266050107768,0.1233632516,0.1170409154747,0.1122481184323,0.0249138711932,0.1049764962429,0.0269640467207
"1642.MS00516",0.0267295005749,0.026920952448,0.0211736273223,0.0278348705822,0.0213144994741,0.0251150750426,0.0225915037853,0.0205705259636,0.0223359010645,0.0990135254852,0.0273264544171,0.0227397797218,0.0209944128046,0.0246177184448,0.0240194149186,0.1170563744677,0.0920663986309,0.0252128370993,0.0236698972633,0.1264195088457,0.0215204235458,0.0853426678204,0.1001764077898,0.1066092282835,0.0214312041402,0.1027134654175,0.1218612532781,0.0352131421704,0.0239807694628,0.024131414375,0.0246667592596,0,0.0285382725482,0.0237346974793,0.1120328014047,0.1046352084055,0.1035457434663,0.0220553530968,0.0931161569016,0.0231335480508
"1642.MS00620",0.0294943371021,0.0340110002427,0.0357854428594,0.0349628608358,0.0334049816846,0.0267669381306,0.0252989498401,0.0419368023983,0.0408995362426,0.1221612867135,0.0350907459028,0.0397678265325,0.0269566200896,0.0277287453516,0.0328951051796,0.1363522405622,0.0980788395577,0.0308214534072,0.028202940625,0.1469692825,0.0270231811252,0.0912956785831,0.1179652739312,0.1252514648012,0.0235028527013,0.1211773514993,0.1314800247325,0.0576062098193,0.0356479110823,0.0272367043372,0.0250050252677,0.0285382725482,0,0.0324425314982,0.1282364015755,0.1186955051817,0.1253653841767,0.034214813329,0.099505731368,0.0388457495925
"1642.MS00464",0.0259940066527,0.0275777637549,0.0230660477285,0.0275815363449,0.0231514984255,0.0281638602321,0.0270306840725,0.0218768879601,0.0213965658491,0.0929287470726,0.0268227874413,0.0253287215096,0.0205726152797,0.0271196458377,0.0225518905482,0.1112649549467,0.082037681727,0.024486507907,0.0259788309594,0.120778556225,0.0222983524752,0.0750821420502,0.0959472192428,0.0988146359903,0.0212917150727,0.0950015919927,0.1099474715755,0.0371443043228,0.0235222425845,0.0249756146768,0.0266050107768,0.0237346974793,0.0324425314982,0,0.1054816113155,0.0978547351222,0.0981955461676,0.0231849271117,0.0847789672012,0.0254479537851
