"","2382.GM.181.R1.root.10.12.lane7.NoIndex.L007.sequences","1642.MS00570","2382.DPOO1.C1.HA.4.643.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00601","2382.HE003.C181.HA.4.767.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00389","1642.MS00342","2382.MU002.C3.HA.5.79.root.6.11.lane1.NoIndex.L001.sequences","2382.GM.181.R4.rhizo.10.12.lane7.NoIndex.L007.sequences","1642.MS00589","1642.MS00605","2382.SH004.C1.RH.5.623.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00464","1642.MS00608","1642.MS00554","2382.SH004.C1.RH.4.618.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00582","1642.MS00448","2382.SH005.C3.RH.4.55.root.6.11.lane1.NoIndex.L001.sequences","1642.MS00565","2382.SH008.C6.HA.1.728.root.9.12.lane7.NoIndex.L007.sequences","2382.HE003.C181.HA.3.363.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00524","1642.MS00390","2382.MU002.C3.HA.2.283.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00371","2382.SH008.C6.HA.2.533.root.4.12.lane7.NoIndex.L007.sequences","2382.SH007.C6.RH.2.308.root.9.11.lane1.NoIndex.L001.sequences","2382.SH007.C6.RH.4.318.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00609","2382.DPOO1.C1.HA.5.447.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00366","1642.MS00485","2382.SH007.C6.RH.4.718.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00551","1642.MS00414","1642.MS00493","1642.MS00617","1642.MS00634","1642.MS00387"
"1642.MS00524",0.1166776721471,0.032889157743,0.1061770232173,0.0251704125977,0.0959611618517,0.0281038830855,0.0751244689569,0.097416946463,0.0851812660712,0.0260301405067,0.0267172155715,0.1112337820198,0.0251283174283,0.0275070143791,0.0287291768771,0.1178286431659,0.0228730958275,0.024322302848,0.1016344800175,0.0254602183429,0.1206627233806,0.1047514019675,0,0.0376220663424,0.1000084793824,0.04881547343,0.0959435336609,0.0985278856986,0.1082465743496,0.0235951980431,0.0888426379654,0.0442409148526,0.0256332907731,0.1343210137373,0.0241485040228,0.0253857480847,0.02193379698,0.0228176572465,0.0308471014153,0.0254483914025
"1642.MS00390",0.0941697383999,0.0297678614995,0.0947510160475,0.0335600219473,0.09926049938,0.0204716968266,0.0467714508533,0.0850652767439,0.0835427958567,0.0361386771078,0.0339323672493,0.0943817228689,0.0355354663914,0.0362707994212,0.0273070034875,0.0965192984675,0.0356182539658,0.0254551031364,0.0916790516531,0.0267148299312,0.0998006626991,0.0886621088559,0.0376220663424,0,0.0882284414136,0.0296079079308,0.0859179227342,0.0861801751501,0.0928194722839,0.0357067911974,0.0896062890287,0.0259327582557,0.0279543377426,0.1078631265312,0.0361160376289,0.0233714718831,0.0323693437358,0.0392647328483,0.0479919286833,0.0256293733061
"2382.MU002.C3.HA.2.283.root.9.11.lane1.NoIndex.L001.sequences",0.0201251036041,0.1052286497208,0.0200812340213,0.1002833244651,0.0484194519732,0.0804356326808,0.1055321474468,0.0172737729881,0.058979577806,0.110394784198,0.1189133837348,0.0205860982476,0.1034052491132,0.118380645272,0.1020477466365,0.0275863188531,0.1039464712351,0.1060775711078,0.0191600218136,0.0879830007783,0.0167507434114,0.0224865585068,0.1000084793824,0.0882284414136,0,0.1037801177618,0.0369745342309,0.021119843701,0.0155902444881,0.1170242861947,0.0455747212538,0.0782314103175,0.1055871395348,0.0228870881351,0.0898574263821,0.0888872620232,0.0938917613234,0.102461118621,0.1285401848632,0.0842860965907
"1642.MS00371",0.0973121064693,0.0424215414749,0.098943668904,0.0441447179843,0.0967400344635,0.0286407253911,0.036858176623,0.0842007591204,0.0725627046773,0.0515838468,0.0439102875281,0.0951960086662,0.0405342798015,0.0456835971348,0.0434453911153,0.0956493072323,0.0508696820436,0.0417985269822,0.0948059815855,0.0402387577103,0.102508040443,0.0856890354364,0.04881547343,0.0296079079308,0.1037801177618,0,0.0795417549376,0.0851583922459,0.1005630990924,0.0448622672337,0.0847117922025,0.0244822456354,0.0442133446924,0.1043343437282,0.0472570194482,0.0298405152204,0.0398750882046,0.0496390098804,0.054121651897,0.0318373674293
"2382.SH008.C6.HA.2.533.root.4.12.lane7.NoIndex.L007.sequences",0.0353070629559,0.0890793664867,0.0343961626643,0.097876873472,0.0546844248268,0.0741258596672,0.1048058776458,0.0305056109855,0.0457637261357,0.1124815894844,0.1013157432749,0.0347987249979,0.0879045349887,0.1027715681751,0.1027137189461,0.0360543319229,0.1011846391649,0.1051273915441,0.0290280260954,0.0874077747094,0.0318632214877,0.0311839574211,0.0959435336609,0.0859179227342,0.0369745342309,0.0795417549376,0,0.0306733638056,0.0401109921465,0.0976467346027,0.0332881214653,0.0764537035177,0.1137908131743,0.0379353802243,0.099598420772,0.0870664362829,0.0881810762258,0.1006841551133,0.0983636938373,0.0792896253419
"2382.SH007.C6.RH.2.308.root.9.11.lane1.NoIndex.L001.sequences",0.0248208706282,0.0913053804532,0.0231877524577,0.0977239654288,0.0390888712138,0.0790433401443,0.0847701045576,0.0217658995568,0.0443913339254,0.1090640602427,0.1038725968564,0.0211936020137,0.0905207035338,0.1038199183095,0.0992962333083,0.0193929143325,0.1011976963558,0.1007768886868,0.0203419349434,0.085963858357,0.0208182823202,0.0181565745346,0.0985278856986,0.0861801751501,0.021119843701,0.0851583922459,0.0306733638056,0,0.0175249837924,0.1018395624133,0.0404889884639,0.077796870949,0.1045073147242,0.0210564956422,0.0893076065324,0.0872052445128,0.0906211675819,0.0990724933528,0.1100479572341,0.0796313397339
"2382.SH007.C6.RH.4.318.root.9.11.lane1.NoIndex.L001.sequences",0.0193221506873,0.1015354622485,0.0237885957022,0.1082848814145,0.0422043582267,0.0857463052106,0.1093392175863,0.0201885644109,0.0519225288591,0.1201699535879,0.1170437990066,0.0199433204774,0.1017393981659,0.1161332400269,0.1073916971804,0.0225671487913,0.1130229622392,0.1124784295759,0.0183594312167,0.0916742062223,0.0178839524177,0.0184456174592,0.1082465743496,0.0928194722839,0.0155902444881,0.1005630990924,0.0401109921465,0.0175249837924,0,0.1156842041299,0.0500718315276,0.0847627364196,0.1122777759358,0.019732643057,0.0981933878134,0.0962333983042,0.0992542753022,0.1096349274801,0.1261739693605,0.0902210090297
"1642.MS00609",0.1227833444699,0.0291657324394,0.1071089335391,0.0227074558894,0.0937341213716,0.0282179948589,0.0573990124166,0.1021119892114,0.0820617740014,0.0246718908149,0.0238419609606,0.1100125721697,0.023063770697,0.0228860021972,0.0261801156495,0.117790786373,0.0233105622309,0.025404512763,0.1030982594391,0.0217447994786,0.1214290974115,0.1031815727795,0.0235951980431,0.0357067911974,0.1170242861947,0.0448622672337,0.0976467346027,0.1018395624133,0.1156842041299,0,0.0899186732399,0.0405074822257,0.0237739149405,0.1339917033418,0.0294934407981,0.0264297217602,0.0216830357955,0.0220014395816,0.0350286648661,0.0242771689293
"2382.DPOO1.C1.HA.5.447.rhizo.4.12.lane7.NoIndex.L007.sequences",0.058193483245,0.0887168026248,0.0384486194906,0.0911242164247,0.0388957846191,0.0764196722636,0.0899867024503,0.0392771996763,0.0392785697545,0.1094669809411,0.0959097939178,0.0514518621006,0.0817672455417,0.0972616158441,0.0988043296138,0.0557615262059,0.0968732784428,0.1011067561265,0.04296290046,0.083622521549,0.0525986397767,0.0439108877444,0.0888426379654,0.0896062890287,0.0455747212538,0.0847117922025,0.0332881214653,0.0404889884639,0.0500718315276,0.0899186732399,0,0.0865198415892,0.1055134377343,0.0636325168927,0.0861863619342,0.0860503227997,0.083323997528,0.0942774653996,0.08812589468,0.0753813844896
"1642.MS00366",0.0823513488813,0.0350923858202,0.0890204781833,0.041529678267,0.0918404867143,0.0252580303226,0.0274865123281,0.0765106961608,0.0758226560323,0.0419261075435,0.0401819744206,0.0867801372535,0.0386695142963,0.0444503905975,0.0383267386205,0.0891237769769,0.0442206584296,0.0330226535515,0.0819126465363,0.0354778466762,0.0907063877071,0.0789890915377,0.0442409148526,0.0259327582557,0.0782314103175,0.0244822456354,0.0764537035177,0.077796870949,0.0847627364196,0.0405074822257,0.0865198415892,0,0.0373940821704,0.0948254430204,0.0396969662371,0.0280488371326,0.0376125446287,0.0435837725249,0.0530027374372,0.0296863190348
"1642.MS00485",0.1241357368982,0.0246481294868,0.1133801160402,0.023997322368,0.1076724615793,0.025462548154,0.057331502121,0.1010420515231,0.0925783115445,0.0205881600249,0.0259478113187,0.1169000363102,0.0244189532159,0.0249443806231,0.0211952037017,0.1248563004186,0.0236214839901,0.0214594456234,0.1056537899759,0.0206581887219,0.1251568979967,0.1053607079855,0.0256332907731,0.0279543377426,0.1055871395348,0.0442133446924,0.1137908131743,0.1045073147242,0.1122777759358,0.0237739149405,0.1055134377343,0.0373940821704,0,0.1348379838213,0.0306741599257,0.0241060606616,0.0231803537552,0.0249779520222,0.0422908764066,0.0269144392173
