"","1642.MS00422","2382.HE003.C181.HA.3.562.rhizo.4.12.lane7.NoIndex.L007.sequences","2382.SH005.C3.RH.2.457.rhizo.4.12.lane7.NoIndex.L007.sequences","2382.SH004.C1.RH.1.203.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00579","1642.MS00499","1642.MS00402","2382.DPOO1.C1.HA.1.628.root.9.12.lane7.NoIndex.L007.sequences","2382.HE003.C181.HA.1.553.root.4.12.lane7.NoIndex.L007.sequences","2382.SH005.C3.RH.4.467.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00420","1642.MS00465","1642.MS00488","2382.MU002.C3.HA.2.683.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00399","2382.HE003.C181.HA.4.135.root.6.11.lane1.NoIndex.L001.sequences","1642.MS00611","2382.SH007.C6.RH.4.718.root.9.12.lane7.NoIndex.L007.sequences","2382.SH007.C6.RH.4.318.root.9.11.lane1.NoIndex.L001.sequences","2382.DPOO1.C1.HA.2.27.root.6.11.lane1.NoIndex.L001.sequences","2382.HE003.C181.HA.3.131.root.6.11.lane1.NoIndex.L001.sequences","2382.SH005.C3.RH.4.55.root.6.11.lane1.NoIndex.L001.sequences","1642.MS00640","1642.MS00397","2382.HE003.C181.HA.2.558.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00415","2382.RU006.C181.RH.5.598.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00343","1642.MS00364","1642.MS00393","1642.MS00520","2382.SH004.C1.RH.3.213.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00450","2382.RU006.C181.RH.2.583.root.4.12.lane7.NoIndex.L007.sequences","2382.SH008.C6.HA.1.SH008.root.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00584","1001.SKB7","1642.MS00614","1642.MS00411","1642.MS00532"
"2382.HE003.C181.HA.3.131.root.6.11.lane1.NoIndex.L001.sequences",0.0931641513767,0.0374281200289,0.0447867588043,0.0296991385692,0.1076354151859,0.0996981995872,0.0913964097878,0.0224901631291,0.0118234812572,0.0415925941572,0.1035069636083,0.1003462271559,0.1174419372128,0.0253538180733,0.0968275516238,0.0137441961453,0.099423878469,0.0229505549939,0.0175818647254,0.0158400435914,0,0.0207338369862,0.1105666742059,0.087920470519,0.0128957967465,0.0978078050139,0.0319602619346,0.0921145067743,0.0961913248646,0.0900811931056,0.0946077789527,0.026232825902,0.1029931211829,0.0247230335057,0.020655190964,0.1161725371915,0.0834317320001,0.1140100352111,0.092738953331,0.1025017241397
"2382.SH005.C3.RH.4.55.root.6.11.lane1.NoIndex.L001.sequences",0.0895498689036,0.039539370907,0.0425847936243,0.0253653963617,0.1041129671985,0.0949243517089,0.0902337636051,0.02704422979,0.0230379408913,0.0385603838037,0.1014482234378,0.0959779731187,0.1141256880677,0.0271604191969,0.0954793296479,0.019677906328,0.0967043562449,0.0269988868648,0.0175410671154,0.0206322126823,0.0207338369862,0,0.1066261406923,0.0829914274443,0.0246611698701,0.0961224794228,0.0305589667382,0.0934376557956,0.0928833446785,0.0867848249867,0.0915231037204,0.0250555581329,0.1015473270394,0.0248596796379,0.0206648347621,0.1125850313408,0.0869310553742,0.1051407356259,0.0897236089546,0.0976077953636
"1642.MS00640",0.0272996162925,0.1067609426904,0.1079662145797,0.1142765069958,0.0238318033842,0.0253592077153,0.0294365110206,0.1126693102025,0.1202583866771,0.1028132672312,0.029490578825,0.0232037483129,0.0246779967806,0.1196996257421,0.0244914206325,0.1107830401414,0.0268948160835,0.1353388751851,0.1124143100242,0.1118898449882,0.1105666742059,0.1066261406923,0,0.02692684529,0.1140478492064,0.0288365492025,0.1120566652808,0.0409777666235,0.0603750242271,0.02775126423,0.0219918634228,0.1079467530514,0.0263579623729,0.1088300364161,0.1175504532166,0.0223629271723,0.1826478050416,0.0339543933439,0.0291773779996,0.0238170045415
"1642.MS00397",0.0195208794898,0.0821107797717,0.0832992891888,0.0894133876694,0.0248361773737,0.0234290553037,0.0225941777047,0.0917298695888,0.0980167571772,0.0798607327424,0.0237743874161,0.0232664797795,0.0245909074269,0.0965759042902,0.0201941490814,0.0866403148677,0.0262114496541,0.1117264569162,0.0890488152849,0.0887532206975,0.087920470519,0.0829914274443,0.02692684529,0,0.0922125099494,0.0212163376173,0.0877840508905,0.0252553944927,0.0422628184958,0.0196455604304,0.0235445253849,0.0847619598439,0.0229805286475,0.0843694808056,0.0937603255572,0.0278001431876,0.1558598142554,0.0335206185719,0.019965074968,0.0232245261868
"2382.HE003.C181.HA.2.558.root.4.12.lane7.NoIndex.L007.sequences",0.0983338453135,0.0411775257722,0.0479148728433,0.0370040147156,0.1108354336933,0.102116963472,0.0953553738488,0.0264086970747,0.0146408378722,0.0456794807034,0.1116488131727,0.1032543192486,0.1257212963681,0.0264459118388,0.1030017229374,0.0149208742152,0.1067453834378,0.0258234896754,0.0220477018681,0.0195579965113,0.0128957967465,0.0246611698701,0.1140478492064,0.0922125099494,0,0.1059187019237,0.0301348734124,0.1006148323696,0.1048057080696,0.0935562979404,0.1005772188607,0.029254578926,0.1105140397803,0.0245577244757,0.0225353519454,0.1217339099839,0.1076640684617,0.1181332636808,0.0991664789179,0.1056003866193
"1642.MS00415",0.0223406028555,0.0935449674634,0.0940842368889,0.1014171371649,0.0267220944174,0.0249838641704,0.0235519493798,0.1048767860716,0.1116107767864,0.0894663299784,0.01921376142,0.0265264247551,0.0244104628336,0.1095295947668,0.0209730212999,0.0990760041192,0.0280115398265,0.1268379269034,0.1024889122811,0.1012170663257,0.0978078050139,0.0961224794228,0.0288365492025,0.0212163376173,0.1059187019237,0,0.1031237412838,0.0270045178057,0.0469529941147,0.0222935276544,0.0258661513354,0.0964780972709,0.0229947263717,0.0987447514878,0.1089884112671,0.0268439140989,0.1744851869473,0.0326633954627,0.0198380774846,0.0240129267334
"2382.RU006.C181.RH.5.598.root.4.12.lane7.NoIndex.L007.sequences",0.0956526726593,0.0568630122531,0.0630629015477,0.0501096080886,0.1080640125663,0.0994953499805,0.0971720880586,0.0453729114602,0.0395209226559,0.0590007892247,0.1075934513542,0.0995636671275,0.1197061372605,0.0454392756431,0.0969217096238,0.0313606591254,0.1058056886116,0.0450485758554,0.029926493636,0.035328835989,0.0319602619346,0.0305589667382,0.1120566652808,0.0877840508905,0.0301348734124,0.1031237412838,0,0.0952497505433,0.0915321525155,0.0898544529821,0.0950466670992,0.0445490167325,0.1079452984238,0.0151274484379,0.0388705888275,0.1183634591909,0.1065630385591,0.1268764193404,0.0964118708522,0.1038173698874
"1642.MS00343",0.0293616012484,0.0865101889141,0.0870554384827,0.089240520452,0.0401389221287,0.0348915247408,0.0291861147459,0.0993469053356,0.099199781091,0.0837850217231,0.0275813617559,0.036163773841,0.0413018638537,0.1026967313198,0.0276012482769,0.0952103407576,0.0412279734187,0.110757312849,0.0974119129129,0.0906632333459,0.0921145067743,0.0934376557956,0.0409777666235,0.0252553944927,0.1006148323696,0.0270045178057,0.0952497505433,0,0.0334651668433,0.0253375130051,0.0372662575376,0.0873864042063,0.0349167308394,0.0892257215295,0.1010415551806,0.0410984708794,0.1566090258425,0.0511743809542,0.025380784441,0.0376178679952
"1642.MS00364",0.0510895732553,0.0977938417348,0.0995095165583,0.0962237280138,0.0614531068922,0.053979012458,0.0509642051361,0.1059126857789,0.1047256326426,0.0928533924675,0.0510573088699,0.0550457767796,0.0618965949414,0.1053687042091,0.045826877207,0.0972191545008,0.0630065547375,0.1105390676891,0.0984000756914,0.0924291447515,0.0961913248646,0.0928833446785,0.0603750242271,0.0422628184958,0.1048057080696,0.0469529941147,0.0915321525155,0.0334651668433,0,0.0432576459456,0.0586071951188,0.0942594109415,0.0631115164203,0.0891515955514,0.1029185243927,0.0639659681103,0.1548434739822,0.0767156096841,0.0465193031457,0.0593201772768
"1642.MS00393",0.0190913826,0.0808801785464,0.0855200828625,0.0930929391399,0.0249334972106,0.0214832989488,0.0216524225644,0.0934367920007,0.0989584698051,0.0809634578084,0.0238229985169,0.023465985541,0.0257904094399,0.1000888320416,0.0208720137755,0.0901498674337,0.0270549784739,0.111429899649,0.0929766125146,0.0907922400297,0.0900811931056,0.0867848249867,0.02775126423,0.0196455604304,0.0935562979404,0.0222935276544,0.0898544529821,0.0253375130051,0.0432576459456,0,0.0255385541939,0.0898674678109,0.0233403064088,0.0847091236281,0.0979473560532,0.028465336726,0.1598963257985,0.0319875271768,0.0200826807104,0.0219545994458
"1642.MS00520",0.0254852235426,0.0962527859913,0.0988010566445,0.100150400589,0.0218785549044,0.0240744044577,0.0281244848518,0.1005193661641,0.1062788843433,0.0942360763391,0.0250765728042,0.0200676555076,0.0226461714477,0.104530394447,0.0217462085753,0.0958803451094,0.0269059856193,0.1143722475958,0.0966134695979,0.0950232410757,0.0946077789527,0.0915231037204,0.0219918634228,0.0235445253849,0.1005772188607,0.0258661513354,0.0950466670992,0.0372662575376,0.0586071951188,0.0255385541939,0,0.0968885605504,0.0237954145736,0.0935370441715,0.1018002840048,0.0212835021616,0.1638370483608,0.0336820358686,0.0254505858052,0.0242929371291
"2382.SH004.C1.RH.3.213.root.9.11.lane1.NoIndex.L001.sequences",0.0901757096319,0.0409277511758,0.0291403557933,0.016154463864,0.1065235658159,0.0978984739824,0.091662701799,0.0274223363661,0.0252679791192,0.0284241563608,0.1026862188759,0.0975062732486,0.120292582214,0.0261954320024,0.0965574894622,0.0264131956584,0.1002990581991,0.0230685654149,0.022419499113,0.0228122121988,0.026232825902,0.0250555581329,0.1079467530514,0.0847619598439,0.029254578926,0.0964780972709,0.0445490167325,0.0873864042063,0.0942594109415,0.0898674678109,0.0968885605504,0,0.1054239119461,0.0371814058155,0.0231858053955,0.1157636017477,0.0816883185514,0.1121016997808,0.0913675946374,0.0987526988008
"1642.MS00450",0.022253855743,0.0976163014878,0.1011535132551,0.1084766076159,0.0235615917109,0.0234627321642,0.0236005669936,0.107972769029,0.1172194443141,0.0961305552128,0.0237491084484,0.0246540152278,0.0220525966168,0.1168422318414,0.0214431841154,0.1036593753309,0.0239132184684,0.1354143920875,0.1063022824922,0.1081813137388,0.1029931211829,0.1015473270394,0.0263579623729,0.0229805286475,0.1105140397803,0.0229947263717,0.1079452984238,0.0349167308394,0.0631115164203,0.0233403064088,0.0237954145736,0.1054239119461,0,0.1045422466727,0.1147164957163,0.026167010632,0.1844664257361,0.0279989576151,0.0219515467457,0.0222805906794
