"","2382.RU006.C181.RH.2.783.root.9.12.lane7.NoIndex.L007.sequences","2382.MU002.C3.HA.2.683.root.9.12.lane7.NoIndex.L007.sequences","2382.SH005.C3.RH.4.268.root.9.11.lane1.NoIndex.L001.sequences","2382.DPOO1.C1.HA.1.627.rhizo.9.12.lane7.NoIndex.L007.sequences","2382.GM.181.R2.rhizo.10.12.lane7.NoIndex.L007.sequences","1642.MS00578","2382.RU006.C181.RH.2.582.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00474","1642.MS00584","1642.MS00489","1642.MS00429","2382.SH004.C1.RH.3.613.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00445","2382.SH005.C3.RH.5.59.root.6.11.lane1.NoIndex.L001.sequences","1642.MS00409","2382.RU006.C181.RH.4.792.rhizo.9.12.lane7.NoIndex.L007.sequences","2382.HE003.C181.HA.1.353.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00586","1642.MS00393","1642.MS00391","2382.RU006.C181.RH.1.577.rhizo.4.12.lane7.NoIndex.L007.sequences","2382.RU006.C181.RH.2.782.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00511","1642.MS00467","2382.HE003.C181.HA.5.773.root.9.12.lane7.NoIndex.L007.sequences","2382.MU002.C3.HA.4.293.root.9.11.lane1.NoIndex.L001.sequences","2382.SH004.C1.RH.2.407.rhizo.4.12.lane7.NoIndex.L007.sequences","2382.RU006.C181.RH.1.777.rhizo.9.12.lane7.NoIndex.L007.sequences","2382.SH008.C6.HA.3.111.r1.root.6.11.lane7.NoIndex.L007.sequences","1642.MS00581","1642.MS00585","2382.MU002.C3.HA.5.698.root.9.12.lane7.NoIndex.L007.sequences","2382.SH007.C6.RH.1.502.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00638","2382.SH004.C1.RH.1.403.root.4.12.lane7.NoIndex.L007.sequences","2382.RU006.C181.RH.4.592.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00417","1642.MS00568","2382.SH004.C1.RH.4.617.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00625"
"2382.RU006.C181.RH.1.577.rhizo.4.12.lane7.NoIndex.L007.sequences",0.0347408702825,0.0555653763112,0.0395791476054,0.0378636183379,0.0314624493305,0.0951694714715,0.0231724903931,0.0841446432331,0.0983907565073,0.0882387509933,0.0791853537119,0.0667657397813,0.0872777550176,0.0528684652317,0.0710128550338,0.0206886895708,0.0528957173353,0.0984941388317,0.0721285345003,0.0830897478042,0,0.0243719290558,0.0820967783881,0.0815089805108,0.0469150266859,0.0407056734467,0.0403598423695,0.0196468937285,0.0627595795534,0.0906258126712,0.0823832756687,0.0576281900442,0.0391177024427,0.0815862625873,0.0633460629846,0.0204508525885,0.0753823424559,0.0804029558202,0.0416945277936,0.0798957629068
"2382.RU006.C181.RH.2.782.rhizo.9.12.lane7.NoIndex.L007.sequences",0.0410663411459,0.0694384144767,0.0525557615461,0.0426301946079,0.0372055678833,0.1024200671392,0.0331934747769,0.0901505961388,0.1090139480402,0.107767413763,0.0865202905229,0.0797490399931,0.0940049971362,0.0605110862223,0.0747984087909,0.0233085234279,0.0693683311401,0.1078815208655,0.0771452094967,0.0888313460825,0.0243719290558,0,0.0900918308494,0.0955189059442,0.0610500152171,0.04845650838,0.0504071268281,0.0272941913314,0.0700229520802,0.1011297820653,0.0889168486304,0.0611044340796,0.0453673350032,0.0855747324302,0.0749704734692,0.021512872467,0.0801667723665,0.0873554361732,0.0491459575362,0.0882492520734
"1642.MS00511",0.0931372549138,0.0937799577995,0.0897861211268,0.0875428955327,0.1040015408311,0.0179333570074,0.0847425025211,0.0174837692403,0.0197145490934,0.0177167527212,0.0247196458246,0.1091852433839,0.0209762554365,0.0889823056599,0.0185631562444,0.0833474404824,0.1040843172196,0.0196876449459,0.0201884643466,0.0185053356569,0.0820967783881,0.0900918308494,0,0.0162416950602,0.0935651365911,0.083282749538,0.0870805750545,0.0878104216789,0.0977439514725,0.0214380884514,0.0231170176531,0.0923853453902,0.0905759625324,0.0237961008691,0.0940615859121,0.086121368957,0.0207012110705,0.0198006861046,0.0904756037848,0.0227875867786
"1642.MS00467",0.101343812434,0.0989978441463,0.0960545878124,0.0933753590077,0.0809079550966,0.0210132823178,0.0875433382108,0.0186304641528,0.0229725536664,0.0178296248273,0.0256386584498,0.1183368451763,0.021552278526,0.0948028180115,0.0185325255199,0.088444243767,0.1094297349507,0.0211608753782,0.0199592624864,0.0207855960347,0.0815089805108,0.0955189059442,0.0162416950602,0,0.1038000946042,0.0889358201033,0.0903724264118,0.0894591512193,0.1025896263464,0.0251640709003,0.023499762139,0.0984792404854,0.0978204297136,0.024257276375,0.1049589749616,0.0940949531832,0.0206731934029,0.0251687486454,0.0920010235405,0.0233139319186
"2382.HE003.C181.HA.5.773.root.9.12.lane7.NoIndex.L007.sequences",0.0281181001332,0.0186050076,0.0168543095974,0.0503234421535,0.0511029981119,0.1041667859898,0.0423609412138,0.0998865385485,0.1091135620752,0.1171653818214,0.0953312548981,0.0200343667743,0.1032029505685,0.020083914623,0.0843533050408,0.0444727197191,0.0136831119562,0.1115508742839,0.0883980768318,0.0936145817835,0.0469150266859,0.0610500152171,0.0935651365911,0.1038000946042,0,0.019842331922,0.0383130054136,0.0397958036688,0.0204311020797,0.1087781524372,0.0991260075756,0.0213573187891,0.0448971513602,0.0982709525454,0.0208326488986,0.0631340323153,0.0900886639514,0.0943234340118,0.039269986017,0.1023194770628
"2382.MU002.C3.HA.4.293.root.9.11.lane1.NoIndex.L001.sequences",0.0335816405288,0.0167116136143,0.0189279835335,0.04354665599,0.0409832894743,0.0927444544757,0.0346533240692,0.0840270541851,0.0956657026605,0.0975597007642,0.0907809920444,0.0238958213522,0.0912979115113,0.0210655274378,0.0722816632405,0.0401099067893,0.0232772645244,0.1018341689449,0.0756212783268,0.0813763557337,0.0407056734467,0.04845650838,0.083282749538,0.0889358201033,0.019842331922,0,0.0377473407164,0.0365621107472,0.0219697477295,0.1036993115296,0.0837742811366,0.024123173543,0.0353482541207,0.0836410315572,0.0230155282581,0.0495207741644,0.078497730078,0.0812079616823,0.032708652224,0.0955561188612
"2382.SH004.C1.RH.2.407.rhizo.4.12.lane7.NoIndex.L007.sequences",0.055965780851,0.0378029473815,0.0359973821218,0.0250246764011,0.0336889602299,0.0963363758579,0.0289638176069,0.0876533910128,0.0993576947216,0.0993347162899,0.0808515457624,0.054895087709,0.0927639437122,0.0375028115931,0.0727021543403,0.0388605481828,0.0442544167708,0.1006608224417,0.0766748527002,0.0848334319486,0.0403598423695,0.0504071268281,0.0870805750545,0.0903724264118,0.0383130054136,0.0377473407164,0,0.0327958295027,0.0454866687871,0.0941858060274,0.0877164185836,0.0509065912655,0.0201143606596,0.0857169297223,0.0319464697935,0.0486339677224,0.0777579816049,0.0855556161317,0.0169161842013,0.0860361488334
"2382.RU006.C181.RH.1.777.rhizo.9.12.lane7.NoIndex.L007.sequences",0.0443250159278,0.0479031652473,0.0373527145409,0.0292073779686,0.0302458593426,0.0982759896724,0.0217643681224,0.0868469644034,0.100870202682,0.0962101110219,0.0843913120808,0.0635345304863,0.0910860965999,0.0477212969763,0.0730498327811,0.0218499259495,0.0450050303545,0.1015529107536,0.0747634175905,0.0851916199441,0.0196468937285,0.0272941913314,0.0878104216789,0.0894591512193,0.0397958036688,0.0365621107472,0.0327958295027,0,0.0597847232405,0.0943857523083,0.0849329029575,0.0587091299645,0.0349458348689,0.0834026157336,0.051482602823,0.0331812402181,0.0780563791241,0.0851198279516,0.0326892377079,0.082360826535
"2382.SH008.C6.HA.3.111.r1.root.6.11.lane7.NoIndex.L007.sequences",0.0391545133176,0.0205546028065,0.0174367920569,0.0670047765406,0.0555905817516,0.10960716306,0.0503157758899,0.1067934801231,0.1179743692712,0.1145367524262,0.1026569711552,0.0206367033243,0.1103029861255,0.0158031708605,0.0870356317083,0.0621592463214,0.0202946515755,0.122282466958,0.0926329619649,0.0950417042795,0.0627595795534,0.0700229520802,0.0977439514725,0.1025896263464,0.0204311020797,0.0219697477295,0.0454866687871,0.0597847232405,0,0.1222768445233,0.1059080492259,0.0205972930302,0.0429116447723,0.1006473335769,0.0182634879092,0.0654685916029,0.094778241519,0.1003611707975,0.0445010952324,0.1183536821797
"1642.MS00581",0.1136082177699,0.1098593655791,0.1015485912354,0.0918616209961,0.0873906486521,0.0234294751743,0.0898222125575,0.0214783788992,0.0223631234699,0.0244799071369,0.0320290809372,0.131593570134,0.0250741882566,0.1076439245736,0.0227026203578,0.089541954741,0.1213420846804,0.0211360283499,0.0249414123319,0.0247962483246,0.0906258126712,0.1011297820653,0.0214380884514,0.0251640709003,0.1087781524372,0.1036993115296,0.0941858060274,0.0943857523083,0.1222768445233,0,0.0195958196302,0.1112715487921,0.0969133031883,0.0255310050323,0.1097001161203,0.0964344298304,0.0254774591806,0.0220169735826,0.0956590926099,0.0230484295546
"1642.MS00585",0.0972466063079,0.0994523168659,0.0894241106148,0.0800790858719,0.0775022928251,0.0229970553004,0.0830151924492,0.0200484752603,0.0235157220052,0.021915829749,0.0287426068315,0.115576864922,0.0258156830297,0.0966965678973,0.0206068801374,0.0791508016822,0.1074593606109,0.0232197291853,0.0226280232774,0.0249597660033,0.0823832756687,0.0889168486304,0.0231170176531,0.023499762139,0.0991260075756,0.0837742811366,0.0877164185836,0.0849329029575,0.1059080492259,0.0195958196302,0,0.0970340711047,0.0929610820636,0.0224551320208,0.1013017760084,0.0881413763968,0.0233035221761,0.0200586759572,0.0862160072918,0.0201282507583
"2382.MU002.C3.HA.5.698.root.9.12.lane7.NoIndex.L007.sequences",0.0302562432516,0.024054103791,0.0236827607054,0.0646259815567,0.0765390418977,0.1017425110039,0.0509651565823,0.0981850208835,0.1056525815266,0.1087762020253,0.0943063014901,0.0216337746348,0.1035793107593,0.0204620802115,0.0795970275061,0.0588024057322,0.0231734394509,0.1126784353399,0.0867933058616,0.0865720926691,0.0576281900442,0.0611044340796,0.0923853453902,0.0984792404854,0.0213573187891,0.024123173543,0.0509065912655,0.0587091299645,0.0205972930302,0.1112715487921,0.0970340711047,0,0.0510195950733,0.0938162983283,0.0277800654329,0.059328910008,0.0929623680531,0.0911109067565,0.0500509918242,0.1125184699336
